style,tip
top:48px;left:9px;,"1st quarter, 11:36.0 remaining<br>Mouhamed Gueye missed 3-pointer from 23 ft<br>Atlanta tied 0-0"
top:131px;left:239px;,"1st quarter, 11:24.0 remaining<br>CJ McCollum made 2-pointer from 10 ft<br>Atlanta now leads 2-0"
top:36px;left:82px;,"1st quarter, 10:53.0 remaining<br>Jalen Johnson missed 2-pointer from 16 ft<br>Atlanta leads 2-0"
top:39px;left:243px;,"1st quarter, 10:49.0 remaining<br>Mouhamed Gueye missed 2-pointer from 1 ft<br>Atlanta leads 2-0"
top:41px;left:245px;,"1st quarter, 10:26.0 remaining<br>Mouhamed Gueye made 2-pointer from 1 ft<br>Atlanta now leads 4-2"
top:34px;left:245px;,"1st quarter, 9:56.0 remaining<br>Jock Landale made 2-pointer from 1 ft<br>Atlanta now leads 6-4"
top:111px;left:232px;,"1st quarter, 9:23.0 remaining<br>Jalen Johnson missed 2-pointer from 8 ft<br>Atlanta leads 6-4"
top:239px;left:401px;,"1st quarter, 8:49.0 remaining<br>Jalen Johnson missed 3-pointer from 26 ft<br>Atlanta tied 6-6"
top:30px;left:240px;,"1st quarter, 8:47.0 remaining<br>Mouhamed Gueye missed 2-pointer from 0 ft<br>Atlanta tied 6-6"
top:30px;left:240px;,"1st quarter, 8:46.0 remaining<br>Jock Landale missed 2-pointer from 0 ft<br>Atlanta tied 6-6"
top:251px;left:102px;,"1st quarter, 8:15.0 remaining<br>CJ McCollum missed 3-pointer from 26 ft<br>Atlanta trails 6-8"
top:273px;left:328px;,"1st quarter, 7:33.0 remaining<br>Jock Landale made 3-pointer from 26 ft<br>Atlanta now trails 9-10"
top:43px;left:249px;,"1st quarter, 7:04.0 remaining<br>Jalen Johnson made 2-pointer from 2 ft<br>Atlanta now trails 11-12"
top:236px;left:85px;,"1st quarter, 6:47.0 remaining<br>Jalen Johnson made 3-pointer from 26 ft<br>Atlanta now tied 14-14"
top:156px;left:468px;,"1st quarter, 6:17.0 remaining<br>Nickeil Alexander-Walker missed 3-pointer from 26 ft<br>Atlanta tied 14-14"
top:44px;left:244px;,"1st quarter, 6:01.0 remaining<br>Jalen Johnson made 2-pointer from 1 ft<br>Atlanta now leads 16-14"
top:252px;left:115px;,"1st quarter, 5:32.0 remaining<br>Jalen Johnson missed 3-pointer from 25 ft<br>Atlanta leads 16-14"
top:183px;left:448px;,"1st quarter, 4:52.0 remaining<br>Zaccharie Risacher made 3-pointer from 26 ft<br>Atlanta now leads 19-14"
top:193px;left:242px;,"1st quarter, 4:00.0 remaining<br>Jalen Johnson made 2-pointer from 16 ft<br>Atlanta now leads 21-16"
top:70px;left:210px;,"1st quarter, 3:27.0 remaining<br>Zaccharie Risacher made 2-pointer from 5 ft<br>Atlanta now leads 23-19"
top:293px;left:223px;,"1st quarter, 1:33.0 remaining<br>Zaccharie Risacher made 3-pointer from 26 ft<br>Atlanta now tied 27-27"
top:289px;left:221px;,"1st quarter, 0:33.0 remaining<br>CJ McCollum missed 3-pointer from 26 ft<br>Atlanta trails 27-30"
top:98px;left:194px;,"1st quarter, 0:18.0 remaining<br>CJ McCollum missed 2-pointer from 8 ft<br>Atlanta trails 27-30"
top:239px;left:91px;,"1st quarter, 0:04.0 remaining<br>Corey Kispert missed 3-pointer from 26 ft<br>Atlanta trails 27-30"
top:269px;left:349px;,"2nd quarter, 11:54.0 remaining<br>Zaccharie Risacher missed 3-pointer from 26 ft<br>Atlanta trails 27-30"
top:54px;left:276px;,"2nd quarter, 11:05.0 remaining<br>CJ McCollum missed 2-pointer from 4 ft<br>Atlanta trails 27-32"
top:118px;left:239px;,"2nd quarter, 11:00.0 remaining<br>Zaccharie Risacher made 2-pointer from 9 ft<br>Atlanta now trails 29-32"
top:55px;left:393px;,"2nd quarter, 10:32.0 remaining<br>Gabe Vincent missed 2-pointer from 15 ft<br>Atlanta trails 29-32"
top:88px;left:158px;,"2nd quarter, 10:08.0 remaining<br>CJ McCollum made 2-pointer from 10 ft<br>Atlanta now trails 31-32"
top:203px;left:443px;,"2nd quarter, 9:12.0 remaining<br>CJ McCollum missed 3-pointer from 27 ft<br>Atlanta trails 31-36"
top:277px;left:162px;,"2nd quarter, 8:42.0 remaining<br>Nickeil Alexander-Walker missed 3-pointer from 26 ft<br>Atlanta trails 31-38"
top:42px;left:248px;,"2nd quarter, 8:38.0 remaining<br>Corey Kispert made 2-pointer from 1 ft<br>Atlanta now trails 33-38"
top:32px;left:239px;,"2nd quarter, 7:39.0 remaining<br>Zaccharie Risacher missed 2-pointer from 0 ft<br>Atlanta trails 33-40"
top:193px;left:52px;,"2nd quarter, 7:15.0 remaining<br>Zaccharie Risacher missed 3-pointer from 25 ft<br>Atlanta trails 33-40"
top:30px;left:240px;,"2nd quarter, 7:12.0 remaining<br>Jock Landale made 2-pointer from 0 ft<br>Atlanta now trails 35-40"
top:46px;left:234px;,"2nd quarter, 6:24.0 remaining<br>Jalen Johnson made 2-pointer from 2 ft<br>Atlanta now trails 40-44"
top:46px;left:242px;,"2nd quarter, 5:54.0 remaining<br>Corey Kispert made 2-pointer from 2 ft<br>Atlanta now trails 42-46"
top:42px;left:232px;,"2nd quarter, 4:54.0 remaining<br>Jock Landale made 2-pointer from 1 ft<br>Atlanta now trails 46-49"
top:231px;left:88px;,"2nd quarter, 4:26.0 remaining<br>Jalen Johnson missed 3-pointer from 25 ft<br>Atlanta trails 46-49"
top:36px;left:236px;,"2nd quarter, 3:44.0 remaining<br>Jock Landale made 2-pointer from 1 ft<br>Atlanta now tied 51-51"
top:32px;left:43px;,"2nd quarter, 3:08.0 remaining<br>CJ McCollum made 2-pointer from 20 ft<br>Atlanta now leads 53-51"
top:55px;left:471px;,"2nd quarter, 2:45.0 remaining<br>Nickeil Alexander-Walker made 3-pointer from 23 ft<br>Atlanta now leads 56-51"
top:46px;left:248px;,"2nd quarter, 2:25.0 remaining<br>Jalen Johnson made 2-pointer from 2 ft<br>Atlanta now leads 58-51"
top:13px;left:12px;,"2nd quarter, 2:01.0 remaining<br>Nickeil Alexander-Walker made 3-pointer from 23 ft<br>Atlanta now leads 61-51"
top:32px;left:240px;,"2nd quarter, 1:38.0 remaining<br>Mouhamed Gueye made 2-pointer from 0 ft<br>Atlanta now leads 63-51"
top:41px;left:232px;,"2nd quarter, 0:34.0 remaining<br>Jock Landale missed 2-pointer from 1 ft<br>Atlanta leads 64-54"
top:174px;left:147px;,"2nd quarter, 0:00.0 remaining<br>CJ McCollum made 2-pointer from 17 ft<br>Atlanta now leads 66-54"
top:27px;left:247px;,"3rd quarter, 11:28.0 remaining<br>CJ McCollum made 2-pointer from 1 ft<br>Atlanta now leads 68-54"
top:241px;left:111px;,"3rd quarter, 10:55.0 remaining<br>Jalen Johnson missed 3-pointer from 25 ft<br>Atlanta leads 68-56"
top:238px;left:101px;,"3rd quarter, 10:47.0 remaining<br>Jalen Johnson missed 3-pointer from 25 ft<br>Atlanta leads 68-56"
top:28px;left:253px;,"3rd quarter, 10:14.0 remaining<br>Nickeil Alexander-Walker made 2-pointer from 1 ft<br>Atlanta now leads 70-56"
top:203px;left:62px;,"3rd quarter, 9:42.0 remaining<br>CJ McCollum made 3-pointer from 25 ft<br>Atlanta now leads 73-58"
top:48px;left:6px;,"3rd quarter, 9:14.0 remaining<br>CJ McCollum missed 3-pointer from 23 ft<br>Atlanta leads 73-60"
top:58px;left:242px;,"3rd quarter, 9:05.0 remaining<br>Jalen Johnson made 2-pointer from 3 ft<br>Atlanta now leads 75-60"
top:280px;left:248px;,"3rd quarter, 8:22.0 remaining<br>Nickeil Alexander-Walker missed 3-pointer from 25 ft<br>Atlanta leads 75-62"
top:277px;left:323px;,"3rd quarter, 8:08.0 remaining<br>Mouhamed Gueye made 3-pointer from 26 ft<br>Atlanta now leads 78-62"
top:277px;left:202px;,"3rd quarter, 6:28.0 remaining<br>Gabe Vincent missed 3-pointer from 25 ft<br>Atlanta leads 78-66"
top:277px;left:225px;,"3rd quarter, 5:44.0 remaining<br>Jalen Johnson missed 3-pointer from 25 ft<br>Atlanta leads 78-68"
top:78px;left:145px;,"3rd quarter, 5:14.0 remaining<br>Nickeil Alexander-Walker missed 2-pointer from 11 ft<br>Atlanta leads 79-70"
top:31px;left:240px;,"3rd quarter, 5:11.0 remaining<br>Jock Landale missed 2-pointer from 0 ft<br>Atlanta leads 79-70"
top:38px;left:247px;,"3rd quarter, 5:10.0 remaining<br>Jock Landale made 2-pointer from 1 ft<br>Atlanta now leads 81-70"
top:88px;left:227px;,"3rd quarter, 4:43.0 remaining<br>Jalen Johnson missed 2-pointer from 6 ft<br>Atlanta leads 82-72"
top:36px;left:227px;,"3rd quarter, 4:19.0 remaining<br>Christian Koloko missed 2-pointer from 1 ft<br>Atlanta leads 82-72"
top:45px;left:72px;,"3rd quarter, 4:11.0 remaining<br>Nickeil Alexander-Walker made 2-pointer from 17 ft<br>Atlanta now leads 84-72"
