style,tip
top:26px;left:204px;,"1st quarter, 11:04.0 remaining<br>Devin Carter missed 2-pointer from 4 ft<br>Sacramento trails 0-2"
top:27px;left:237px;,"1st quarter, 10:44.0 remaining<br>Malik Monk made 2-pointer from 0 ft<br>Sacramento now tied 2-2"
top:24px;left:-3px;,"1st quarter, 9:39.0 remaining<br>Precious Achiuwa missed 3-pointer from 24 ft<br>Sacramento trails 4-6"
top:127px;left:207px;,"1st quarter, 9:11.0 remaining<br>Malik Monk missed 2-pointer from 10 ft<br>Sacramento trails 4-6"
top:31px;left:240px;,"1st quarter, 9:07.0 remaining<br>Maxime Raynaud made 2-pointer from 0 ft<br>Sacramento now tied 6-6"
top:91px;left:228px;,"1st quarter, 8:36.0 remaining<br>Maxime Raynaud missed 2-pointer from 6 ft<br>Sacramento tied 6-6"
top:33px;left:242px;,"1st quarter, 8:31.0 remaining<br>Precious Achiuwa made 2-pointer from 0 ft<br>Sacramento now leads 8-6"
top:259px;left:127px;,"1st quarter, 8:02.0 remaining<br>Devin Carter missed 3-pointer from 26 ft<br>Sacramento leads 8-6"
top:65px;left:242px;,"1st quarter, 7:58.0 remaining<br>Precious Achiuwa made 2-pointer from 4 ft<br>Sacramento now leads 10-6"
top:191px;left:161px;,"1st quarter, 7:15.0 remaining<br>DeMar DeRozan made 2-pointer from 18 ft<br>Sacramento now leads 12-9"
top:91px;left:226px;,"1st quarter, 6:54.0 remaining<br>Precious Achiuwa made 2-pointer from 6 ft<br>Sacramento now leads 14-11"
top:31px;left:214px;,"1st quarter, 6:34.0 remaining<br>Malik Monk missed 2-pointer from 3 ft<br>Sacramento tied 14-14"
top:27px;left:262px;,"1st quarter, 5:15.0 remaining<br>Dylan Cardwell missed 2-pointer from 2 ft<br>Sacramento trails 14-16"
top:59px;left:469px;,"1st quarter, 4:37.0 remaining<br>Malik Monk missed 3-pointer from 23 ft<br>Sacramento trails 14-19"
top:26px;left:242px;,"1st quarter, 4:11.0 remaining<br>Malik Monk made 2-pointer from 0 ft<br>Sacramento now trails 16-19"
top:32px;left:7px;,"1st quarter, 3:48.0 remaining<br>Maxime Raynaud made 3-pointer from 23 ft<br>Sacramento now trails 19-21"
top:49px;left:133px;,"1st quarter, 3:08.0 remaining<br>Nique Clifford missed 2-pointer from 11 ft<br>Sacramento trails 19-23"
top:39px;left:10px;,"1st quarter, 2:45.0 remaining<br>Daeqwon Plowden made 3-pointer from 23 ft<br>Sacramento now trails 22-23"
top:53px;left:167px;,"1st quarter, 2:18.0 remaining<br>Killian Hayes made 2-pointer from 8 ft<br>Sacramento now tied 24-24"
top:277px;left:259px;,"1st quarter, 1:54.0 remaining<br>Nique Clifford made 3-pointer from 25 ft<br>Sacramento now leads 27-24"
top:251px;left:345px;,"1st quarter, 1:08.0 remaining<br>Killian Hayes missed 3-pointer from 24 ft<br>Sacramento tied 27-27"
top:149px;left:20px;,"1st quarter, 0:46.0 remaining<br>DaQuan Jeffries made 3-pointer from 25 ft<br>Sacramento now leads 30-27"
top:26px;left:249px;,"1st quarter, 0:25.0 remaining<br>DaQuan Jeffries missed 2-pointer from 1 ft<br>Sacramento leads 30-27"
top:264px;left:325px;,"2nd quarter, 11:34.0 remaining<br>Daeqwon Plowden missed 3-pointer from 25 ft<br>Sacramento leads 30-27"
top:110px;left:238px;,"2nd quarter, 11:25.0 remaining<br>Precious Achiuwa made 2-pointer from 8 ft<br>Sacramento now leads 32-27"
top:110px;left:344px;,"2nd quarter, 10:41.0 remaining<br>DeMar DeRozan missed 2-pointer from 13 ft<br>Sacramento leads 32-29"
top:278px;left:275px;,"2nd quarter, 9:45.0 remaining<br>Daeqwon Plowden missed 3-pointer from 25 ft<br>Sacramento leads 32-31"
top:34px;left:261px;,"2nd quarter, 9:34.0 remaining<br>Precious Achiuwa made 2-pointer from 2 ft<br>Sacramento now leads 34-31"
top:23px;left:246px;,"2nd quarter, 9:21.0 remaining<br>DeMar DeRozan made 2-pointer from 1 ft<br>Sacramento now leads 36-31"
top:24px;left:242px;,"2nd quarter, 9:05.0 remaining<br>Daeqwon Plowden made 2-pointer from 1 ft<br>Sacramento now leads 38-31"
top:183px;left:350px;,"2nd quarter, 8:11.0 remaining<br>DeMar DeRozan missed 2-pointer from 19 ft<br>Sacramento leads 38-33"
top:31px;left:240px;,"2nd quarter, 8:06.0 remaining<br>Precious Achiuwa made 2-pointer from 0 ft<br>Sacramento now leads 40-33"
top:34px;left:227px;,"2nd quarter, 7:21.0 remaining<br>DeMar DeRozan missed 2-pointer from 1 ft<br>Sacramento leads 40-33"
top:42px;left:127px;,"2nd quarter, 6:56.0 remaining<br>DeMar DeRozan made 2-pointer from 11 ft<br>Sacramento now leads 42-35"
top:179px;left:254px;,"2nd quarter, 6:07.0 remaining<br>Malik Monk made 2-pointer from 15 ft<br>Sacramento now leads 46-40"
top:177px;left:230px;,"2nd quarter, 5:31.0 remaining<br>Precious Achiuwa missed 2-pointer from 15 ft<br>Sacramento leads 46-42"
top:31px;left:241px;,"2nd quarter, 5:10.0 remaining<br>DeMar DeRozan made 2-pointer from 0 ft<br>Sacramento now leads 48-44"
top:264px;left:329px;,"2nd quarter, 4:38.0 remaining<br>Nique Clifford missed 3-pointer from 25 ft<br>Sacramento leads 49-46"
top:77px;left:248px;,"2nd quarter, 4:34.0 remaining<br>Precious Achiuwa missed 2-pointer from 5 ft<br>Sacramento leads 49-46"
top:55px;left:283px;,"2nd quarter, 3:56.0 remaining<br>Malik Monk made 2-pointer from 5 ft<br>Sacramento now leads 51-49"
top:88px;left:228px;,"2nd quarter, 2:52.0 remaining<br>Malik Monk missed 2-pointer from 6 ft<br>Sacramento trails 51-53"
top:28px;left:253px;,"2nd quarter, 2:06.0 remaining<br>Maxime Raynaud missed 2-pointer from 1 ft<br>Sacramento trails 51-58"
top:44px;left:8px;,"2nd quarter, 1:46.0 remaining<br>Nique Clifford missed 3-pointer from 23 ft<br>Sacramento trails 51-61"
top:219px;left:77px;,"2nd quarter, 1:17.0 remaining<br>Maxime Raynaud made 3-pointer from 25 ft<br>Sacramento now trails 54-63"
top:196px;left:262px;,"2nd quarter, 0:50.0 remaining<br>DeMar DeRozan missed 2-pointer from 17 ft<br>Sacramento trails 54-64"
top:174px;left:328px;,"2nd quarter, 0:15.0 remaining<br>DeMar DeRozan missed 2-pointer from 17 ft<br>Sacramento trails 54-64"
top:193px;left:54px;,"3rd quarter, 11:40.0 remaining<br>Malik Monk missed 3-pointer from 25 ft<br>Sacramento trails 54-66"
top:37px;left:242px;,"3rd quarter, 11:18.0 remaining<br>Devin Carter made 2-pointer from 1 ft<br>Sacramento now trails 56-68"
top:208px;left:437px;,"3rd quarter, 10:25.0 remaining<br>Devin Carter missed 3-pointer from 27 ft<br>Sacramento trails 56-68"
top:122px;left:278px;,"3rd quarter, 9:52.0 remaining<br>Maxime Raynaud made 2-pointer from 10 ft<br>Sacramento now trails 58-70"
top:146px;left:147px;,"3rd quarter, 9:28.0 remaining<br>DeMar DeRozan made 2-pointer from 15 ft<br>Sacramento now trails 60-73"
top:128px;left:248px;,"3rd quarter, 8:38.0 remaining<br>Precious Achiuwa made 2-pointer from 10 ft<br>Sacramento now trails 62-75"
top:122px;left:224px;,"3rd quarter, 7:45.0 remaining<br>DeMar DeRozan made 2-pointer from 9 ft<br>Sacramento now trails 64-78"
top:123px;left:270px;,"3rd quarter, 7:07.0 remaining<br>Malik Monk made 2-pointer from 10 ft<br>Sacramento now trails 66-78"
top:54px;left:91px;,"3rd quarter, 6:51.0 remaining<br>DeMar DeRozan missed 2-pointer from 15 ft<br>Sacramento trails 66-78"
top:39px;left:243px;,"3rd quarter, 6:03.0 remaining<br>Precious Achiuwa made 2-pointer from 1 ft<br>Sacramento now trails 68-78"
top:44px;left:233px;,"3rd quarter, 5:25.0 remaining<br>DeMar DeRozan made 2-pointer from 2 ft<br>Sacramento now trails 70-79"
top:195px;left:340px;,"3rd quarter, 4:59.0 remaining<br>DeMar DeRozan missed 2-pointer from 19 ft<br>Sacramento trails 70-82"
top:39px;left:229px;,"3rd quarter, 4:27.0 remaining<br>Nique Clifford missed 2-pointer from 1 ft<br>Sacramento trails 72-82"
top:244px;left:395px;,"3rd quarter, 3:55.0 remaining<br>Daeqwon Plowden missed 3-pointer from 26 ft<br>Sacramento trails 72-84"
top:223px;left:416px;,"3rd quarter, 3:27.0 remaining<br>Killian Hayes missed 3-pointer from 26 ft<br>Sacramento trails 72-84"
top:265px;left:353px;,"3rd quarter, 2:50.0 remaining<br>Killian Hayes missed 3-pointer from 26 ft<br>Sacramento trails 72-85"
top:43px;left:232px;,"3rd quarter, 2:31.0 remaining<br>DaQuan Jeffries made 2-pointer from 2 ft<br>Sacramento now trails 74-85"
top:44px;left:239px;,"3rd quarter, 2:08.0 remaining<br>Nique Clifford missed 2-pointer from 1 ft<br>Sacramento trails 75-85"
top:262px;left:134px;,"3rd quarter, 2:03.0 remaining<br>Daeqwon Plowden missed 3-pointer from 25 ft<br>Sacramento trails 75-85"
top:88px;left:249px;,"3rd quarter, 1:50.0 remaining<br>Dylan Cardwell missed 2-pointer from 6 ft<br>Sacramento trails 75-85"
top:42px;left:13px;,"3rd quarter, 1:47.0 remaining<br>Nique Clifford missed 3-pointer from 23 ft<br>Sacramento trails 75-85"
top:256px;left:114px;,"3rd quarter, 1:42.0 remaining<br>DaQuan Jeffries missed 3-pointer from 26 ft<br>Sacramento trails 75-85"
top:143px;left:203px;,"3rd quarter, 1:06.0 remaining<br>Killian Hayes made 2-pointer from 12 ft<br>Sacramento now trails 77-87"
top:136px;left:323px;,"3rd quarter, 0:40.0 remaining<br>Nique Clifford missed 2-pointer from 13 ft<br>Sacramento trails 77-87"
top:37px;left:239px;,"3rd quarter, 0:20.0 remaining<br>DaQuan Jeffries made 2-pointer from 1 ft<br>Sacramento now trails 79-87"
top:362px;left:30px;,"3rd quarter, 0:00.0 remaining<br>Killian Hayes made 3-pointer from 39 ft<br>Sacramento now trails 82-88"
top:258px;left:108px;,"4th quarter, 11:24.0 remaining<br>Nique Clifford missed 3-pointer from 26 ft<br>Sacramento trails 82-91"
top:85px;left:472px;,"4th quarter, 10:45.0 remaining<br>DaQuan Jeffries made 3-pointer from 24 ft<br>Sacramento now trails 85-93"
top:143px;left:245px;,"4th quarter, 10:01.0 remaining<br>Nique Clifford missed 2-pointer from 11 ft<br>Sacramento trails 85-95"
top:59px;left:470px;,"4th quarter, 9:52.0 remaining<br>Daeqwon Plowden made 3-pointer from 23 ft<br>Sacramento now trails 88-95"
top:42px;left:244px;,"4th quarter, 9:22.0 remaining<br>Dylan Cardwell made 2-pointer from 1 ft<br>Sacramento now trails 90-97"
top:53px;left:249px;,"4th quarter, 8:54.0 remaining<br>Dylan Cardwell missed 2-pointer from 2 ft<br>Sacramento trails 91-97"
top:280px;left:302px;,"4th quarter, 8:44.0 remaining<br>Killian Hayes made 3-pointer from 26 ft<br>Sacramento now trails 94-97"
top:33px;left:471px;,"4th quarter, 8:03.0 remaining<br>Daeqwon Plowden made 3-pointer from 23 ft<br>Sacramento now tied 97-97"
top:105px;left:142px;,"4th quarter, 7:06.0 remaining<br>Killian Hayes missed 2-pointer from 12 ft<br>Sacramento trails 97-99"
top:268px;left:343px;,"4th quarter, 6:37.0 remaining<br>Nique Clifford missed 3-pointer from 26 ft<br>Sacramento trails 97-102"
top:43px;left:244px;,"4th quarter, 5:32.0 remaining<br>DaQuan Jeffries made 2-pointer from 1 ft<br>Sacramento now trails 99-108"
top:132px;left:340px;,"4th quarter, 5:01.0 remaining<br>Maxime Raynaud missed 2-pointer from 14 ft<br>Sacramento trails 99-111"
top:93px;left:250px;,"4th quarter, 4:41.0 remaining<br>Maxime Raynaud made 2-pointer from 6 ft<br>Sacramento now trails 101-111"
top:254px;left:201px;,"4th quarter, 4:07.0 remaining<br>DeMar DeRozan made 2-pointer from 23 ft<br>Sacramento now trails 103-114"
top:55px;left:7px;,"4th quarter, 3:30.0 remaining<br>DeMar DeRozan made 3-pointer from 23 ft<br>Sacramento now trails 106-117"
top:259px;left:115px;,"4th quarter, 3:03.0 remaining<br>DeMar DeRozan missed 3-pointer from 26 ft<br>Sacramento trails 106-117"
top:248px;left:375px;,"4th quarter, 2:26.0 remaining<br>Daeqwon Plowden made 3-pointer from 26 ft<br>Sacramento now trails 109-117"
top:32px;left:234px;,"4th quarter, 2:02.0 remaining<br>DeMar DeRozan missed 2-pointer from 1 ft<br>Sacramento trails 109-117"
top:48px;left:250px;,"4th quarter, 0:58.0 remaining<br>DaQuan Jeffries missed 2-pointer from 2 ft<br>Sacramento trails 110-120"
top:283px;left:276px;,"4th quarter, 0:53.0 remaining<br>Malik Monk missed 3-pointer from 26 ft<br>Sacramento trails 110-120"
top:37px;left:240px;,"4th quarter, 0:13.0 remaining<br>DaQuan Jeffries made 2-pointer from 1 ft<br>Sacramento now trails 113-123"
