Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Maxey,43:00,.658,.639,.333,.222,0.0,14.2,8.3,31.0,1.2,2.7,13.2,24.5,128,121,5.6
Paul George,36:22,.613,.579,.579,.263,3.4,28.8,18.3,9.4,5.6,3.2,12.4,30.8,112,100,7.4
Joel Embiid,35:48,.587,.500,.316,.684,0.0,14.6,8.6,9.2,0.0,6.5,0.0,31.9,126,123,7.0
VJ Edgecombe,30:44,.591,.591,.364,.000,12.0,5.7,8.3,14.6,0.0,0.0,8.3,18.1,129,131,0.0
Dominick Barlow,15:24,.798,1.000,.000,2.000,8.0,5.7,6.6,0.0,0.0,0.0,0.0,5.6,175,131,-6.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Quentin Grimes,28:32,.680,.600,.600,.400,0.0,3.1,1.8,13.8,1.8,0.0,14.5,11.2,132,129,-0.1
Kelly Oubre Jr.,27:40,.712,.700,.600,.600,4.4,12.6,9.2,0.0,1.8,0.0,13.7,12.2,127,122,-1.4
Justin Edwards,7:58,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,100,135,-7.1
Andre Drummond,6:20,.000,.000,.000,.000,19.4,13.8,16.1,18.9,0.0,18.5,0.0,7.3,108,119,-1.7
Adem Bona,5:52,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,200,135,-1.4
Cameron Payne,2:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,134,-15.7
MarJon Beauchamp,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kyle Lowry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jabari Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Trendon Watford,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.623,.585,.415,.354,17.9,61.8,43.6,47.5,7.5,12.2,8.7,100.0,125.7,121.4,
