Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tyrese Maxey,43:00,10,18,.556,3,6,.500,3,4,.750,0,7,7,8,1,1,3,2,26,22.6,+13
Paul George,36:22,9,19,.474,4,11,.364,4,5,.800,1,12,13,2,4,1,3,5,26,21.3,-5
Joel Embiid,35:48,8,19,.421,3,6,.500,10,13,.769,0,6,6,2,0,2,0,0,29,22.3,+5
VJ Edgecombe,30:44,5,11,.455,3,4,.750,0,0,,3,2,5,3,0,0,1,4,13,9.5,+3
Dominick Barlow,15:24,1,1,1.000,0,0,,1,2,.500,1,1,2,0,0,0,0,4,3,1.7,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Quentin Grimes,28:32,2,5,.400,2,3,.667,2,2,1.000,0,1,1,3,1,0,1,3,8,6.5,+13
Kelly Oubre Jr.,27:40,3,5,.600,1,3,.333,2,3,.667,1,4,5,0,1,0,1,3,9,7.0,-1
Justin Edwards,7:58,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+13
Andre Drummond,6:20,0,1,.000,0,0,,0,0,,1,1,2,1,0,1,0,2,0,0.9,+3
Adem Bona,5:52,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-4
Cameron Payne,2:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
MarJon Beauchamp,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kyle Lowry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jabari Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Trendon Watford,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,82,.488,16,34,.471,22,29,.759,7,34,41,19,7,5,9,25,118,,
