style,tip
top:163px;left:187px;,"1st quarter, 11:15.0 remaining<br>VJ Edgecombe missed 2-pointer from 14 ft<br>Philadelphia trails 0-2"
top:173px;left:244px;,"1st quarter, 10:53.0 remaining<br>Joel Embiid missed 2-pointer from 14 ft<br>Philadelphia trails 0-5"
top:277px;left:230px;,"1st quarter, 10:14.0 remaining<br>Paul George made 3-pointer from 25 ft<br>Philadelphia now trails 4-5"
top:44px;left:167px;,"1st quarter, 8:53.0 remaining<br>Joel Embiid missed 2-pointer from 7 ft<br>Philadelphia trails 6-8"
top:165px;left:212px;,"1st quarter, 8:41.0 remaining<br>Paul George missed 2-pointer from 14 ft<br>Philadelphia trails 6-8"
top:44px;left:268px;,"1st quarter, 8:02.0 remaining<br>Joel Embiid made 2-pointer from 3 ft<br>Philadelphia now trails 8-10"
top:45px;left:134px;,"1st quarter, 7:01.0 remaining<br>Joel Embiid missed 2-pointer from 11 ft<br>Philadelphia trails 8-13"
top:255px;left:122px;,"1st quarter, 6:29.0 remaining<br>Joel Embiid made 3-pointer from 25 ft<br>Philadelphia now trails 11-13"
top:228px;left:397px;,"1st quarter, 5:48.0 remaining<br>VJ Edgecombe missed 3-pointer from 25 ft<br>Philadelphia trails 11-15"
top:47px;left:264px;,"1st quarter, 5:30.0 remaining<br>Tyrese Maxey made 2-pointer from 3 ft<br>Philadelphia now trails 13-15"
top:175px;left:248px;,"1st quarter, 4:48.0 remaining<br>Joel Embiid made 2-pointer from 15 ft<br>Philadelphia now tied 15-15"
top:284px;left:249px;,"1st quarter, 4:15.0 remaining<br>Joel Embiid missed 3-pointer from 25 ft<br>Philadelphia trails 15-17"
top:41px;left:470px;,"1st quarter, 3:11.0 remaining<br>Kelly Oubre Jr. made 3-pointer from 23 ft<br>Philadelphia now trails 19-23"
top:216px;left:232px;,"1st quarter, 2:21.0 remaining<br>Joel Embiid missed 2-pointer from 19 ft<br>Philadelphia trails 20-26"
top:221px;left:407px;,"1st quarter, 1:58.0 remaining<br>Joel Embiid made 3-pointer from 25 ft<br>Philadelphia now trails 23-28"
top:190px;left:441px;,"1st quarter, 0:46.0 remaining<br>Kelly Oubre Jr. missed 3-pointer from 26 ft<br>Philadelphia trails 23-33"
top:118px;left:12px;,"1st quarter, 0:23.0 remaining<br>Paul George missed 3-pointer from 24 ft<br>Philadelphia trails 23-36"
top:52px;left:12px;,"2nd quarter, 11:45.0 remaining<br>Quentin Grimes made 3-pointer from 23 ft<br>Philadelphia now trails 28-36"
top:86px;left:166px;,"2nd quarter, 11:07.0 remaining<br>Tyrese Maxey made 2-pointer from 9 ft<br>Philadelphia now trails 30-39"
top:243px;left:377px;,"2nd quarter, 10:14.0 remaining<br>Paul George missed 3-pointer from 25 ft<br>Philadelphia trails 32-42"
top:42px;left:209px;,"2nd quarter, 10:06.0 remaining<br>Adem Bona made 2-pointer from 3 ft<br>Philadelphia now trails 34-42"
top:58px;left:214px;,"2nd quarter, 9:47.0 remaining<br>Quentin Grimes missed 2-pointer from 4 ft<br>Philadelphia trails 34-43"
top:269px;left:382px;,"2nd quarter, 9:26.0 remaining<br>Tyrese Maxey made 3-pointer from 28 ft<br>Philadelphia now trails 37-46"
top:116px;left:89px;,"2nd quarter, 9:02.0 remaining<br>Paul George made 2-pointer from 17 ft<br>Philadelphia now trails 39-48"
top:88px;left:242px;,"2nd quarter, 8:33.0 remaining<br>Tyrese Maxey missed 2-pointer from 6 ft<br>Philadelphia trails 39-50"
top:32px;left:476px;,"2nd quarter, 8:16.0 remaining<br>Quentin Grimes missed 3-pointer from 24 ft<br>Philadelphia trails 39-50"
