Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Matas Buzelis,38:32,.602,.548,.476,.333,3.4,21.2,13.8,13.1,1.1,5.4,14.2,28.2,111,108,-0.7
Josh Giddey,34:52,.682,.591,.273,.455,3.7,31.2,19.9,42.0,2.4,6.0,27.5,20.2,120,102,6.1
Isaac Okoro,29:42,.444,.429,.429,.286,4.4,9.1,7.2,4.5,0.0,7.0,20.2,12.9,82,111,-8.3
Tre Jones,29:20,.567,.567,.267,.267,4.4,24.7,16.4,35.2,2.9,0.0,19.3,27.4,105,108,-2.7
Leonard Miller,16:20,.665,.500,.500,2.000,7.9,16.6,13.1,0.0,2.6,0.0,0.0,8.9,153,110,-2.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Collin Sexton,30:22,.659,.536,.429,.929,0.0,3.0,1.8,10.0,2.8,0.0,9.2,27.7,130,112,0.5
Patrick Williams,22:58,.400,.400,.600,.000,5.6,7.9,7.0,0.0,0.0,3.0,0.0,8.4,97,115,-7.1
Lachlan Olbrich,22:27,.725,1.000,.000,4.000,17.3,16.1,16.6,11.6,0.0,3.1,15.3,11.2,141,113,-1.1
Rob Dillingham,15:27,.800,.800,.600,.000,8.4,5.9,6.9,19.6,0.0,0.0,50.0,25.1,80,118,-11.7
Nick Richards,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Anfernee Simons,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Guerschon Yabusele,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.614,.561,.402,.524,27.0,81.1,58.9,63.4,7.1,15.9,18.6,100.0,109.4,110.3,
