Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Matas Buzelis,38:32,10,21,.476,3,10,.300,6,7,.857,1,9,10,3,1,3,4,3,29,21.3,+14
Josh Giddey,34:52,6,11,.545,1,3,.333,5,5,1.000,1,12,13,10,2,3,5,2,18,22.3,-15
Isaac Okoro,29:42,3,7,.429,0,3,.000,1,2,.500,1,3,4,1,0,3,2,4,7,3.7,-6
Tre Jones,29:20,8,15,.533,1,4,.250,2,4,.500,1,8,9,6,2,0,4,2,19,15.4,+3
Leonard Miller,16:20,1,2,.500,0,1,.000,3,4,.750,1,3,4,0,1,0,0,1,5,5.8,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Collin Sexton,30:22,6,14,.429,3,6,.500,11,13,.846,0,1,1,2,2,0,2,2,26,18.7,+4
Patrick Williams,22:58,2,5,.400,0,3,.000,0,0,,1,2,3,0,0,1,0,0,4,3.3,+5
Lachlan Olbrich,22:27,2,2,1.000,0,0,,4,8,.500,3,4,7,2,0,1,1,3,8,9.0,-4
Rob Dillingham,15:27,3,5,.600,2,3,.667,0,0,,1,1,2,2,0,0,5,3,8,1.9,-5
Nick Richards,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Anfernee Simons,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Guerschon Yabusele,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,41,82,.500,10,33,.303,32,43,.744,10,43,53,26,8,11,23,20,124,,
