Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Rayan Rupert,30:26,6,10,.600,2,3,.667,0,0,,1,3,4,2,2,0,0,6,14,12.0,+6
Cedric Coward,24:13,10,19,.526,2,6,.333,2,3,.667,3,6,9,4,4,0,3,2,24,21.2,+13
GG Jackson II,21:14,3,14,.214,0,4,.000,4,4,1.000,1,3,4,3,0,0,2,1,10,2.7,+18
Olivier-Maxence Prosper,15:28,5,8,.625,1,3,.333,1,1,1.000,1,3,4,1,1,0,1,3,12,9.5,+4
Javon Small,15:28,2,5,.400,2,3,.667,0,0,,1,1,2,4,3,0,0,4,6,8.5,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jahmai Mashack,29:53,8,12,.667,0,1,.000,1,1,1.000,1,1,2,2,1,0,2,2,17,12.4,+1
Walter Clayton,29:53,3,9,.333,1,6,.167,0,0,,1,2,3,6,2,0,5,2,7,3.6,+1
Adama-Alpha Bal,27:34,1,8,.125,1,5,.200,0,0,,0,2,2,3,2,0,0,5,3,0.5,-7
Tyler Burton,26:34,7,15,.467,3,7,.429,1,3,.333,0,5,5,3,1,1,0,3,18,13.6,-16
DeJon Jarreau,19:17,5,7,.714,0,0,,4,5,.800,1,1,2,3,1,2,1,4,14,13.6,-19
Cam Spencer,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Jaylen Wells,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,50,107,.467,12,38,.316,13,17,.765,10,27,37,31,17,3,14,32,125,,
