1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Chicago,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Memphis
12:00.0,Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession)
11:45.0,T. Jones makes 2-pt layup from 2 ft (assist by J. Giddey),+2,2-0,,
11:34.0,,,2-0,,C. Coward misses 3-pt jump shot from 25 ft
11:33.0,,,2-0,,Offensive rebound by J. Small
11:33.0,,,2-0,,J. Small misses 2-pt layup from 5 ft (block by J. Giddey)
11:30.0,Defensive rebound by T. Jones,,2-0,,
11:26.0,Shooting foul by C. Coward (drawn by M. Buzelis),,2-0,,
11:26.0,M. Buzelis makes free throw 1 of 2,+1,3-0,,
11:26.0,M. Buzelis makes free throw 2 of 2,+1,4-0,,
11:11.0,,,4-2,+2,C. Coward makes 2-pt layup from 4 ft (assist by J. Small)
10:52.0,Shooting foul by J. Small (drawn by T. Jones),,4-2,,
10:52.0,T. Jones makes free throw 1 of 2,+1,5-2,,
10:52.0,T. Jones misses free throw 2 of 2,,5-2,,
10:50.0,,,5-2,,Defensive rebound by O. Prosper
10:45.0,,,5-2,,G. Jackson misses 2-pt layup from 3 ft (block by M. Buzelis)
10:43.0,Defensive rebound by J. Giddey,,5-2,,
10:29.0,M. Buzelis makes 2-pt hook shot from 3 ft (assist by J. Giddey),+2,7-2,,
10:22.0,,,7-2,,Personal foul by I. Okoro (drawn by C. Coward)
10:10.0,,,7-2,,G. Jackson misses 2-pt dunk from 3 ft
10:07.0,Defensive rebound by M. Buzelis,,7-2,,
9:57.0,I. Okoro misses 3-pt jump shot from 23 ft,,7-2,,
9:54.0,,,7-2,,Defensive rebound by O. Prosper
9:45.0,,,7-5,+3,J. Small makes 3-pt jump shot from 27 ft (assist by G. Jackson)
9:31.0,Turnover by J. Giddey (lost ball; steal by C. Coward),,7-5,,
