style,tip
top:41px;left:225px;,"1st quarter, 11:45.0 remaining<br>Tre Jones made 2-pointer from 2 ft<br>Chicago now leads 2-0"
top:53px;left:265px;,"1st quarter, 10:29.0 remaining<br>Matas Buzelis made 2-pointer from 3 ft<br>Chicago now leads 7-2"
top:39px;left:473px;,"1st quarter, 9:57.0 remaining<br>Isaac Okoro missed 3-pointer from 23 ft<br>Chicago leads 7-2"
top:282px;left:226px;,"1st quarter, 9:05.0 remaining<br>Matas Buzelis missed 3-pointer from 25 ft<br>Chicago leads 7-5"
top:257px;left:142px;,"1st quarter, 8:32.0 remaining<br>Matas Buzelis missed 3-pointer from 25 ft<br>Chicago leads 7-5"
top:136px;left:265px;,"1st quarter, 8:09.0 remaining<br>Josh Giddey missed 2-pointer from 11 ft<br>Chicago leads 7-5"
top:37px;left:228px;,"1st quarter, 7:53.0 remaining<br>Collin Sexton missed 2-pointer from 1 ft<br>Chicago leads 7-5"
top:121px;left:351px;,"1st quarter, 7:43.0 remaining<br>Collin Sexton missed 2-pointer from 14 ft<br>Chicago leads 7-5"
top:68px;left:298px;,"1st quarter, 7:14.0 remaining<br>Josh Giddey made 2-pointer from 7 ft<br>Chicago now leads 9-7"
top:39px;left:265px;,"1st quarter, 6:09.0 remaining<br>Isaac Okoro made 2-pointer from 3 ft<br>Chicago now leads 12-11"
top:24px;left:262px;,"1st quarter, 4:49.0 remaining<br>Lachlan Olbrich made 2-pointer from 2 ft<br>Chicago now tied 17-17"
top:41px;left:225px;,"1st quarter, 3:22.0 remaining<br>Tre Jones missed 2-pointer from 2 ft<br>Chicago trails 17-21"
top:26px;left:449px;,"1st quarter, 3:16.0 remaining<br>Tre Jones missed 2-pointer from 21 ft<br>Chicago trails 17-21"
top:37px;left:237px;,"1st quarter, 3:07.0 remaining<br>Rob Dillingham made 2-pointer from 1 ft<br>Chicago now trails 19-21"
top:39px;left:221px;,"1st quarter, 2:28.0 remaining<br>Collin Sexton missed 2-pointer from 2 ft<br>Chicago trails 19-23"
top:274px;left:179px;,"1st quarter, 1:58.0 remaining<br>Collin Sexton made 3-pointer from 25 ft<br>Chicago now trails 22-23"
top:43px;left:235px;,"1st quarter, 1:38.0 remaining<br>Rob Dillingham missed 2-pointer from 1 ft<br>Chicago trails 22-25"
top:47px;left:262px;,"1st quarter, 0:58.0 remaining<br>Collin Sexton made 2-pointer from 3 ft<br>Chicago now trails 25-26"
top:37px;left:267px;,"1st quarter, 0:36.0 remaining<br>Collin Sexton made 2-pointer from 3 ft<br>Chicago now trails 27-28"
top:44px;left:222px;,"1st quarter, 0:04.0 remaining<br>Tre Jones made 2-pointer from 2 ft<br>Chicago now leads 30-28"
top:29px;left:14px;,"2nd quarter, 11:25.0 remaining<br>Collin Sexton made 3-pointer from 23 ft<br>Chicago now leads 33-30"
top:154px;left:29px;,"2nd quarter, 10:54.0 remaining<br>Patrick Williams missed 3-pointer from 24 ft<br>Chicago leads 33-30"
top:27px;left:471px;,"2nd quarter, 10:35.0 remaining<br>Isaac Okoro missed 3-pointer from 23 ft<br>Chicago leads 33-30"
top:34px;left:470px;,"2nd quarter, 10:02.0 remaining<br>Collin Sexton missed 3-pointer from 23 ft<br>Chicago leads 33-32"
top:127px;left:12px;,"2nd quarter, 9:34.0 remaining<br>Matas Buzelis missed 3-pointer from 25 ft<br>Chicago trails 33-34"
top:33px;left:223px;,"2nd quarter, 8:29.0 remaining<br>Isaac Okoro made 2-pointer from 2 ft<br>Chicago now trails 35-38"
top:278px;left:149px;,"2nd quarter, 7:13.0 remaining<br>Josh Giddey missed 3-pointer from 26 ft<br>Chicago trails 36-43"
top:36px;left:286px;,"2nd quarter, 6:48.0 remaining<br>Josh Giddey missed 2-pointer from 5 ft<br>Chicago trails 36-45"
top:239px;left:110px;,"2nd quarter, 6:44.0 remaining<br>Isaac Okoro missed 3-pointer from 25 ft<br>Chicago trails 36-45"
top:167px;left:32px;,"2nd quarter, 6:21.0 remaining<br>Tre Jones missed 3-pointer from 25 ft<br>Chicago trails 36-45"
top:43px;left:219px;,"2nd quarter, 6:01.0 remaining<br>Tre Jones missed 2-pointer from 2 ft<br>Chicago trails 36-47"
top:36px;left:267px;,"2nd quarter, 5:58.0 remaining<br>Tre Jones made 2-pointer from 3 ft<br>Chicago now trails 38-47"
top:77px;left:339px;,"2nd quarter, 5:19.0 remaining<br>Josh Giddey made 2-pointer from 11 ft<br>Chicago now trails 41-49"
top:62px;left:236px;,"2nd quarter, 4:52.0 remaining<br>Patrick Williams made 2-pointer from 3 ft<br>Chicago now trails 44-49"
top:33px;left:222px;,"2nd quarter, 4:19.0 remaining<br>Lachlan Olbrich made 2-pointer from 2 ft<br>Chicago now trails 46-49"
top:290px;left:249px;,"2nd quarter, 3:55.0 remaining<br>Josh Giddey made 3-pointer from 26 ft<br>Chicago now tied 49-49"
top:246px;left:97px;,"2nd quarter, 3:20.0 remaining<br>Collin Sexton missed 3-pointer from 26 ft<br>Chicago trails 49-51"
top:24px;left:243px;,"2nd quarter, 3:16.0 remaining<br>Patrick Williams made 2-pointer from 1 ft<br>Chicago now tied 51-51"
top:51px;left:285px;,"2nd quarter, 2:43.0 remaining<br>Matas Buzelis missed 2-pointer from 5 ft<br>Chicago trails 51-53"
top:164px;left:32px;,"2nd quarter, 2:28.0 remaining<br>Patrick Williams missed 3-pointer from 25 ft<br>Chicago trails 51-53"
top:272px;left:318px;,"2nd quarter, 1:52.0 remaining<br>Matas Buzelis made 3-pointer from 25 ft<br>Chicago now trails 54-56"
top:37px;left:7px;,"2nd quarter, 1:24.0 remaining<br>Matas Buzelis missed 3-pointer from 23 ft<br>Chicago trails 54-56"
top:29px;left:244px;,"2nd quarter, 0:54.0 remaining<br>Matas Buzelis made 2-pointer from 0 ft<br>Chicago now tied 56-56"
top:38px;left:244px;,"2nd quarter, 0:23.0 remaining<br>Matas Buzelis made 2-pointer from 1 ft<br>Chicago now leads 58-56"
top:62px;left:232px;,"3rd quarter, 11:37.0 remaining<br>Josh Giddey made 2-pointer from 3 ft<br>Chicago now leads 60-56"
top:46px;left:7px;,"3rd quarter, 11:11.0 remaining<br>Matas Buzelis missed 3-pointer from 23 ft<br>Chicago leads 60-58"
top:44px;left:221px;,"3rd quarter, 10:38.0 remaining<br>Matas Buzelis made 2-pointer from 2 ft<br>Chicago now leads 62-61"
top:292px;left:194px;,"3rd quarter, 10:13.0 remaining<br>Matas Buzelis made 3-pointer from 27 ft<br>Chicago now leads 65-61"
top:43px;left:15px;,"3rd quarter, 8:37.0 remaining<br>Tre Jones missed 3-pointer from 23 ft<br>Chicago trails 66-69"
top:55px;left:261px;,"3rd quarter, 8:29.0 remaining<br>Tre Jones missed 2-pointer from 3 ft<br>Chicago trails 66-69"
top:46px;left:472px;,"3rd quarter, 8:02.0 remaining<br>Tre Jones missed 3-pointer from 23 ft<br>Chicago trails 66-71"
top:221px;left:72px;,"3rd quarter, 7:31.0 remaining<br>Matas Buzelis made 3-pointer from 25 ft<br>Chicago now trails 69-71"
top:185px;left:43px;,"3rd quarter, 6:17.0 remaining<br>Leonard Miller missed 3-pointer from 25 ft<br>Chicago trails 71-75"
top:42px;left:247px;,"3rd quarter, 5:13.0 remaining<br>Leonard Miller made 2-pointer from 1 ft<br>Chicago now trails 75-84"
top:58px;left:198px;,"3rd quarter, 4:00.0 remaining<br>Collin Sexton missed 2-pointer from 5 ft<br>Chicago trails 77-84"
top:70px;left:244px;,"3rd quarter, 3:36.0 remaining<br>Matas Buzelis missed 2-pointer from 4 ft<br>Chicago trails 77-84"
top:30px;left:240px;,"3rd quarter, 3:35.0 remaining<br>Matas Buzelis made 2-pointer from 0 ft<br>Chicago now trails 79-84"
top:41px;left:11px;,"3rd quarter, 2:49.0 remaining<br>Rob Dillingham made 3-pointer from 23 ft<br>Chicago now trails 84-86"
top:144px;left:263px;,"3rd quarter, 2:09.0 remaining<br>Josh Giddey missed 2-pointer from 12 ft<br>Chicago trails 84-88"
top:185px;left:437px;,"3rd quarter, 1:07.0 remaining<br>Patrick Williams missed 3-pointer from 25 ft<br>Chicago trails 86-91"
top:288px;left:292px;,"3rd quarter, 1:01.0 remaining<br>Josh Giddey missed 3-pointer from 26 ft<br>Chicago trails 86-91"
top:69px;left:13px;,"3rd quarter, 0:37.0 remaining<br>Rob Dillingham missed 3-pointer from 23 ft<br>Chicago trails 86-94"
top:55px;left:227px;,"3rd quarter, 0:34.0 remaining<br>Tre Jones made 2-pointer from 3 ft<br>Chicago now trails 88-94"
top:49px;left:215px;,"4th quarter, 11:39.0 remaining<br>Isaac Okoro missed 2-pointer from 3 ft<br>Chicago trails 88-98"
top:49px;left:266px;,"4th quarter, 11:30.0 remaining<br>Tre Jones made 2-pointer from 3 ft<br>Chicago now trails 90-98"
top:208px;left:57px;,"4th quarter, 10:57.0 remaining<br>Rob Dillingham made 3-pointer from 26 ft<br>Chicago now trails 93-98"
top:293px;left:245px;,"4th quarter, 10:32.0 remaining<br>Matas Buzelis missed 3-pointer from 26 ft<br>Chicago trails 93-100"
top:48px;left:11px;,"4th quarter, 10:23.0 remaining<br>Tre Jones made 3-pointer from 23 ft<br>Chicago now trails 96-100"
top:84px;left:231px;,"4th quarter, 9:26.0 remaining<br>Matas Buzelis made 2-pointer from 5 ft<br>Chicago now trails 98-105"
top:236px;left:401px;,"4th quarter, 8:51.0 remaining<br>Collin Sexton made 3-pointer from 26 ft<br>Chicago now trails 102-105"
top:57px;left:275px;,"4th quarter, 8:11.0 remaining<br>Collin Sexton missed 2-pointer from 4 ft<br>Chicago trails 102-105"
top:49px;left:243px;,"4th quarter, 7:43.0 remaining<br>Matas Buzelis made 2-pointer from 2 ft<br>Chicago now tied 105-105"
top:51px;left:218px;,"4th quarter, 6:42.0 remaining<br>Collin Sexton made 2-pointer from 3 ft<br>Chicago now leads 107-105"
top:57px;left:224px;,"4th quarter, 5:18.0 remaining<br>Isaac Okoro made 2-pointer from 3 ft<br>Chicago now leads 111-109"
top:58px;left:275px;,"4th quarter, 3:24.0 remaining<br>Matas Buzelis missed 2-pointer from 4 ft<br>Chicago leads 114-113"
top:208px;left:60px;,"4th quarter, 3:01.0 remaining<br>Matas Buzelis missed 3-pointer from 25 ft<br>Chicago leads 114-113"
top:296px;left:224px;,"4th quarter, 2:28.0 remaining<br>Collin Sexton missed 3-pointer from 27 ft<br>Chicago leads 114-113"
top:48px;left:217px;,"4th quarter, 2:17.0 remaining<br>Matas Buzelis missed 2-pointer from 3 ft<br>Chicago leads 114-113"
top:55px;left:217px;,"4th quarter, 1:49.0 remaining<br>Josh Giddey made 2-pointer from 3 ft<br>Chicago now tied 116-116"
top:43px;left:273px;,"4th quarter, 1:01.0 remaining<br>Tre Jones made 2-pointer from 4 ft<br>Chicago now trails 118-120"
top:44px;left:261px;,"4th quarter, 0:32.0 remaining<br>Tre Jones made 2-pointer from 3 ft<br>Chicago now tied 120-120"
top:38px;left:244px;,"4th quarter, 0:07.0 remaining<br>Josh Giddey made 2-pointer from 1 ft<br>Chicago now trails 122-123"
