style,tip
top:242px;left:102px;,"1st quarter, 11:34.0 remaining<br>Cedric Coward missed 3-pointer from 25 ft<br>Memphis trails 0-2"
top:74px;left:263px;,"1st quarter, 11:33.0 remaining<br>Javon Small missed 2-pointer from 5 ft<br>Memphis trails 0-2"
top:36px;left:275px;,"1st quarter, 11:11.0 remaining<br>Cedric Coward made 2-pointer from 4 ft<br>Memphis now trails 2-4"
top:57px;left:226px;,"1st quarter, 10:45.0 remaining<br>GG Jackson II missed 2-pointer from 3 ft<br>Memphis trails 2-5"
top:57px;left:226px;,"1st quarter, 10:10.0 remaining<br>GG Jackson II missed 2-pointer from 3 ft<br>Memphis trails 2-7"
top:296px;left:294px;,"1st quarter, 9:45.0 remaining<br>Javon Small made 3-pointer from 27 ft<br>Memphis now trails 5-7"
top:44px;left:224px;,"1st quarter, 9:28.0 remaining<br>Rayan Rupert missed 2-pointer from 2 ft<br>Memphis trails 5-7"
top:57px;left:473px;,"1st quarter, 9:22.0 remaining<br>Olivier-Maxence Prosper missed 3-pointer from 23 ft<br>Memphis trails 5-7"
top:232px;left:86px;,"1st quarter, 8:52.0 remaining<br>GG Jackson II missed 3-pointer from 25 ft<br>Memphis trails 5-7"
top:44px;left:212px;,"1st quarter, 7:58.0 remaining<br>GG Jackson II missed 2-pointer from 3 ft<br>Memphis trails 5-7"
top:120px;left:32px;,"1st quarter, 7:33.0 remaining<br>GG Jackson II made 2-pointer from 23 ft<br>Memphis now tied 7-7"
top:147px;left:197px;,"1st quarter, 7:06.0 remaining<br>Walter Clayton made 2-pointer from 12 ft<br>Memphis now tied 9-9"
top:42px;left:233px;,"1st quarter, 6:38.0 remaining<br>Tyler Burton made 2-pointer from 1 ft<br>Memphis now leads 11-9"
top:215px;left:427px;,"1st quarter, 6:20.0 remaining<br>Rayan Rupert missed 3-pointer from 26 ft<br>Memphis leads 11-10"
top:292px;left:250px;,"1st quarter, 5:54.0 remaining<br>Walter Clayton missed 3-pointer from 26 ft<br>Memphis trails 11-12"
top:75px;left:205px;,"1st quarter, 5:29.0 remaining<br>DeJon Jarreau made 2-pointer from 6 ft<br>Memphis now trails 13-14"
top:211px;left:418px;,"1st quarter, 5:04.0 remaining<br>Tyler Burton made 3-pointer from 25 ft<br>Memphis now leads 17-15"
top:58px;left:211px;,"1st quarter, 4:22.0 remaining<br>DeJon Jarreau made 2-pointer from 4 ft<br>Memphis now leads 19-17"
top:64px;left:249px;,"1st quarter, 4:03.0 remaining<br>Tyler Burton missed 2-pointer from 4 ft<br>Memphis leads 19-17"
top:38px;left:474px;,"1st quarter, 3:58.0 remaining<br>Walter Clayton missed 3-pointer from 23 ft<br>Memphis leads 19-17"
top:55px;left:260px;,"1st quarter, 3:55.0 remaining<br>DeJon Jarreau made 2-pointer from 3 ft<br>Memphis now leads 21-17"
top:57px;left:10px;,"1st quarter, 3:27.0 remaining<br>Adama-Alpha Bal missed 3-pointer from 23 ft<br>Memphis leads 21-17"
top:136px;left:354px;,"1st quarter, 2:40.0 remaining<br>Walter Clayton made 2-pointer from 16 ft<br>Memphis now leads 23-19"
top:280px;left:305px;,"1st quarter, 2:21.0 remaining<br>Tyler Burton missed 3-pointer from 26 ft<br>Memphis leads 23-19"
top:44px;left:257px;,"1st quarter, 1:33.0 remaining<br>Tyler Burton missed 2-pointer from 2 ft<br>Memphis leads 25-22"
top:108px;left:247px;,"1st quarter, 1:26.0 remaining<br>Jahmai Mashack missed 2-pointer from 8 ft<br>Memphis leads 25-22"
