Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Victor Wembanyama,30:41,.453,.333,.143,.476,16.9,42.0,30.1,24.7,3.2,3.8,10.6,40.8,107,89,-1.4
Stephon Castle,29:20,.768,.769,.308,.231,8.8,31.9,21.0,47.7,0.0,0.0,17.3,26.0,143,101,9.2
Devin Vassell,24:09,.727,.727,.636,.000,10.7,9.7,10.2,5.4,6.1,4.8,0.0,20.1,148,90,11.9
Julian Champagnie,22:52,.688,.688,.875,.000,5.7,15.4,10.8,0.0,4.3,0.0,0.0,15.4,137,95,4.1
De'Aaron Fox,20:32,.636,.667,.333,.111,0.0,11.4,6.0,40.1,2.4,0.0,9.6,22.4,132,101,3.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keldon Johnson,23:18,.901,.875,.250,.250,0.0,0.0,0.0,28.1,2.1,0.0,0.0,16.8,188,105,15.2
Luke Kornet,21:24,.500,.500,.000,.000,0.0,5.5,2.9,0.0,2.3,0.0,33.3,6.2,60,103,-8.9
Dylan Harper,21:08,.875,.875,.375,.000,0.0,5.5,2.9,12.8,2.3,0.0,20.0,20.9,127,103,4.3
Harrison Barnes,18:24,.500,.500,1.000,.000,0.0,6.4,3.3,5.6,0.0,0.0,0.0,7.2,117,108,-6.6
Carter Bryant,10:55,1.000,1.000,.000,.000,0.0,10.7,5.6,21.9,0.0,0.0,0.0,8.1,210,107,7.9
Lindy Waters III,6:37,.129,.000,1.000,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,31,110,-30.8
Jordan McLaughlin,5:20,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,9.3,0.0,50.0,16.5,69,88,0.9
Kelly Olynyk,5:20,.568,,,,0.0,43.9,23.1,36.7,9.3,0.0,0.0,7.3,169,76,19.5
Bismack Biyombo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mason Plumlee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.649,.629,.393,.225,24.3,78.0,52.6,71.4,13.4,4.9,10.1,100.0,130.6,97.7,
