Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Victor Wembanyama,30:41,7,21,.333,0,3,.000,9,10,.900,4,11,15,6,2,1,3,1,23,20.3,+14
Stephon Castle,29:20,9,13,.692,2,4,.500,2,3,.667,2,8,10,10,0,0,3,2,22,23.1,+19
Devin Vassell,24:09,6,11,.545,4,7,.571,0,0,,2,2,4,1,3,1,0,3,16,15.9,+4
Julian Champagnie,22:52,4,8,.500,3,7,.429,0,0,,1,3,4,0,2,0,0,0,11,10.6,+17
De'Aaron Fox,20:32,6,9,.667,0,3,.000,0,1,.000,0,2,2,6,1,0,1,0,12,12.5,+22
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Keldon Johnson,23:18,6,8,.750,2,2,1.000,2,2,1.000,0,0,0,5,1,0,0,0,16,17.3,+26
Luke Kornet,21:24,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,1,0,2,1.3,+19
Dylan Harper,21:08,6,8,.750,2,3,.667,0,0,,0,1,1,2,1,0,2,0,14,11.5,+19
Harrison Barnes,18:24,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,0,0,3,2.3,+30
Carter Bryant,10:55,2,2,1.000,0,0,,0,0,,0,1,1,2,0,0,0,0,4,5.1,-1
Lindy Waters III,6:37,0,3,.000,0,3,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-1.5,-3
Jordan McLaughlin,5:20,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,1,0,2,1.7,-3
Kelly Olynyk,5:20,0,0,,0,0,,1,2,.500,0,2,2,2,1,0,0,0,1,3.6,-3
Bismack Biyombo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mason Plumlee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,49,89,.551,14,35,.400,15,20,.750,9,32,41,35,13,2,11,6,127,,
