1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,San Antonio,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Milwaukee
12:00.0,Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession)
11:43.0,S. Castle makes 2-pt layup from 1 ft (assist by V. Wembanyama),+2,2-0,,
11:43.0,Shooting foul by P. Nance (drawn by S. Castle),,2-0,,
11:43.0,S. Castle makes free throw 1 of 1,+1,3-0,,
11:26.0,,,3-0,,O. Dieng misses 2-pt jump shot from 9 ft
11:23.0,Defensive rebound by V. Wembanyama,,3-0,,
11:13.0,J. Champagnie misses 3-pt jump shot from 23 ft,,3-0,,
11:10.0,Offensive rebound by D. Vassell,,3-0,,
11:05.0,V. Wembanyama misses 2-pt layup from 3 ft,,3-0,,
11:02.0,,,3-0,,Defensive rebound by M. Turner
10:52.0,,,3-0,,G. Trent misses 2-pt layup from 5 ft
10:49.0,,,3-0,,Offensive rebound by M. Turner
10:46.0,,,3-0,,R. Rollins misses 3-pt jump shot from 26 ft
10:42.0,Defensive rebound by V. Wembanyama,,3-0,,
10:38.0,D. Vassell misses 3-pt jump shot from 24 ft,,3-0,,
10:35.0,,,3-0,,Defensive rebound by P. Nance
10:12.0,,,3-2,+2,P. Nance makes 2-pt jump shot from 6 ft
10:03.0,D. Fox makes 2-pt jump shot from 11 ft,+2,5-2,,
9:51.0,,,5-2,,M. Turner misses 3-pt jump shot from 27 ft
9:49.0,Defensive rebound by Team,,5-2,,
9:36.0,Shooting foul by R. Rollins (drawn by S. Castle),,5-2,,
9:36.0,S. Castle misses free throw 1 of 2,,5-2,,
9:36.0,Offensive rebound by Team,,5-2,,
9:36.0,S. Castle makes free throw 2 of 2,+1,6-2,,
9:21.0,,,6-2,,Turnover by R. Rollins (lost ball; steal by D. Vassell)
9:14.0,D. Fox misses 3-pt jump shot from 26 ft,,6-2,,
9:11.0,,,6-2,,Defensive rebound by O. Dieng
9:05.0,,,6-4,+2,M. Turner makes 2-pt dunk from 1 ft (assist by O. Dieng)
8:55.0,S. Castle makes 3-pt jump shot from 25 ft (assist by D. Fox),+3,9-4,,
8:28.0,,,9-4,,M. Turner misses 3-pt jump shot from 27 ft
8:24.0,Defensive rebound by S. Castle,,9-4,,
8:15.0,S. Castle makes 2-pt layup from 1 ft,+2,11-4,,
8:15.0,,,11-4,,Milwaukee full timeout
7:52.0,,,11-6,+2,G. Trent makes 2-pt jump shot from 14 ft (assist by R. Rollins)
7:25.0,V. Wembanyama misses 3-pt jump shot from 23 ft,,11-6,,
7:22.0,,,11-6,,Defensive rebound by O. Dieng
7:21.0,,,11-8,+2,O. Dieng makes 2-pt layup from 2 ft
7:21.0,,,11-8,,Shooting foul by D. Vassell (drawn by O. Dieng)
7:21.0,,,11-9,+1,O. Dieng makes free throw 1 of 1
7:11.0,V. Wembanyama makes 2-pt dunk from 1 ft (assist by S. Castle),+2,13-9,,
7:05.0,,,13-9,,Turnover by O. Dieng (lost ball; steal by D. Vassell)
7:02.0,D. Vassell misses 2-pt layup from 4 ft (block by R. Rollins),,13-9,,
7:00.0,Offensive rebound by S. Castle,,13-9,,
6:47.0,S. Castle misses 3-pt jump shot from 24 ft,,13-9,,
6:45.0,Offensive rebound by D. Vassell,,13-9,,
6:35.0,D. Vassell misses 2-pt jump shot from 13 ft,,13-9,,
6:33.0,Offensive rebound by J. Champagnie,,13-9,,
6:28.0,S. Castle makes 2-pt dunk from 2 ft (assist by V. Wembanyama),+2,15-9,,
6:05.0,,,15-11,+2,R. Rollins makes 2-pt layup from 1 ft (assist by O. Dieng)
5:41.0,D. Vassell makes 3-pt jump shot from 23 ft (assist by S. Castle),+3,18-11,,
5:33.0,,,18-11,,R. Rollins misses 3-pt jump shot from 27 ft
5:31.0,Defensive rebound by D. Vassell,,18-11,,
5:23.0,J. Champagnie makes 3-pt jump shot from 24 ft (assist by S. Castle),+3,21-11,,
5:09.0,,,21-14,+3,M. Turner makes 3-pt jump shot from 27 ft (assist by G. Trent)
5:06.0,San Antonio full timeout,,21-14,,
5:06.0,D. Harper enters the game for J. Champagnie,,21-14,,
5:06.0,K. Johnson enters the game for D. Fox,,21-14,,
5:06.0,L. Kornet enters the game for V. Wembanyama,,21-14,,
5:06.0,,,21-14,,A. Green enters the game for P. Nance
5:06.0,,,21-14,,J. Sims enters the game for G. Trent
4:47.0,Turnover by S. Castle (lost ball; steal by M. Turner),,21-14,,
4:41.0,,,21-14,,Turnover by R. Rollins (bad pass; steal by D. Vassell)
4:36.0,Turnover by D. Harper (bad pass; steal by O. Dieng),,21-14,,
4:33.0,,,21-14,,O. Dieng misses 2-pt layup from 3 ft (block by D. Vassell)
4:33.0,,,21-14,,Offensive rebound by Team
4:19.0,,,21-16,+2,O. Dieng makes 2-pt jump shot from 16 ft
4:01.0,D. Harper makes 3-pt jump shot from 25 ft (assist by K. Johnson),+3,24-16,,
3:35.0,,,24-16,,M. Turner misses 2-pt jump shot from 19 ft
3:34.0,,,24-16,,Offensive rebound by J. Sims
3:33.0,,,24-16,,Turnover by Team (shot clock)
3:33.0,H. Barnes enters the game for S. Castle,,24-16,,
3:33.0,,,24-16,,P. Nance enters the game for O. Dieng
3:33.0,,,24-16,,T. Prince enters the game for M. Turner
3:21.0,D. Vassell makes 2-pt jump shot from 18 ft (assist by K. Johnson),+2,26-16,,
3:05.0,,,26-16,,T. Prince misses 2-pt jump shot from 9 ft
3:02.0,,,26-16,,Offensive rebound by P. Nance
2:58.0,,,26-16,,R. Rollins misses 3-pt jump shot from 26 ft
2:54.0,Defensive rebound by L. Kornet,,26-16,,
2:33.0,D. Vassell makes 3-pt jump shot from 26 ft (assist by K. Johnson),+3,29-16,,
2:10.0,,,29-18,+2,J. Sims makes 2-pt jump shot from 14 ft (assist by A. Green)
1:51.0,Turnover by D. Harper (lost ball; steal by R. Rollins),,29-18,,
1:48.0,,,29-18,,Shooting foul by D. Vassell (drawn by R. Rollins)
1:48.0,,,29-19,+1,R. Rollins makes free throw 1 of 2
1:48.0,D. Fox enters the game for D. Vassell,,29-19,,
