style,tip
top:118px;left:267px;,"1st quarter, 11:26.0 remaining<br>Ousmane Dieng missed 2-pointer from 9 ft<br>Milwaukee trails 0-3"
top:58px;left:197px;,"1st quarter, 10:52.0 remaining<br>Gary Trent Jr. missed 2-pointer from 5 ft<br>Milwaukee trails 0-3"
top:122px;left:-1px;,"1st quarter, 10:46.0 remaining<br>Ryan Rollins missed 3-pointer from 26 ft<br>Milwaukee trails 0-3"
top:93px;left:248px;,"1st quarter, 10:12.0 remaining<br>Pete Nance made 2-pointer from 6 ft<br>Milwaukee now trails 2-3"
top:293px;left:175px;,"1st quarter, 9:51.0 remaining<br>Myles Turner missed 3-pointer from 27 ft<br>Milwaukee trails 2-5"
top:41px;left:231px;,"1st quarter, 9:05.0 remaining<br>Myles Turner made 2-pointer from 1 ft<br>Milwaukee now trails 4-6"
top:255px;left:95px;,"1st quarter, 8:28.0 remaining<br>Myles Turner missed 3-pointer from 27 ft<br>Milwaukee trails 4-9"
top:5px;left:382px;,"1st quarter, 7:52.0 remaining<br>Gary Trent Jr. made 2-pointer from 14 ft<br>Milwaukee now trails 6-11"
top:44px;left:231px;,"1st quarter, 7:21.0 remaining<br>Ousmane Dieng made 2-pointer from 2 ft<br>Milwaukee now trails 8-11"
top:42px;left:237px;,"1st quarter, 6:05.0 remaining<br>Ryan Rollins made 2-pointer from 1 ft<br>Milwaukee now trails 11-15"
top:296px;left:244px;,"1st quarter, 5:33.0 remaining<br>Ryan Rollins missed 3-pointer from 27 ft<br>Milwaukee trails 11-18"
top:296px;left:236px;,"1st quarter, 5:09.0 remaining<br>Myles Turner made 3-pointer from 27 ft<br>Milwaukee now trails 14-21"
top:58px;left:226px;,"1st quarter, 4:33.0 remaining<br>Ousmane Dieng missed 2-pointer from 3 ft<br>Milwaukee trails 14-21"
top:127px;left:367px;,"1st quarter, 4:19.0 remaining<br>Ousmane Dieng made 2-pointer from 16 ft<br>Milwaukee now trails 16-21"
top:188px;left:339px;,"1st quarter, 3:35.0 remaining<br>Myles Turner missed 2-pointer from 19 ft<br>Milwaukee trails 16-24"
top:108px;left:285px;,"1st quarter, 3:05.0 remaining<br>Taurean Prince missed 2-pointer from 9 ft<br>Milwaukee trails 16-26"
top:278px;left:176px;,"1st quarter, 2:58.0 remaining<br>Ryan Rollins missed 3-pointer from 26 ft<br>Milwaukee trails 16-26"
top:167px;left:236px;,"1st quarter, 2:10.0 remaining<br>Jericho Sims made 2-pointer from 14 ft<br>Milwaukee now trails 18-29"
top:134px;left:145px;,"1st quarter, 1:17.0 remaining<br>Ryan Rollins made 2-pointer from 14 ft<br>Milwaukee now trails 22-31"
top:55px;left:3px;,"1st quarter, 0:49.0 remaining<br>Taurean Prince missed 3-pointer from 24 ft<br>Milwaukee trails 22-33"
top:143px;left:30px;,"1st quarter, 0:05.0 remaining<br>Taurean Prince missed 3-pointer from 24 ft<br>Milwaukee trails 22-37"
