style,tip
top:36px;left:250px;,"1st quarter, 11:43.0 remaining<br>Stephon Castle made 2-pointer from 1 ft<br>San Antonio now leads 2-0"
top:21px;left:9px;,"1st quarter, 11:13.0 remaining<br>Julian Champagnie missed 3-pointer from 23 ft<br>San Antonio leads 3-0"
top:59px;left:257px;,"1st quarter, 11:05.0 remaining<br>Victor Wembanyama missed 2-pointer from 3 ft<br>San Antonio leads 3-0"
top:69px;left:474px;,"1st quarter, 10:38.0 remaining<br>Devin Vassell missed 3-pointer from 24 ft<br>San Antonio leads 3-0"
top:144px;left:228px;,"1st quarter, 10:03.0 remaining<br>De'Aaron Fox made 2-pointer from 11 ft<br>San Antonio now leads 5-2"
top:170px;left:22px;,"1st quarter, 9:14.0 remaining<br>De'Aaron Fox missed 3-pointer from 26 ft<br>San Antonio leads 6-2"
top:221px;left:401px;,"1st quarter, 8:55.0 remaining<br>Stephon Castle made 3-pointer from 25 ft<br>San Antonio now leads 9-4"
top:38px;left:247px;,"1st quarter, 8:15.0 remaining<br>Stephon Castle made 2-pointer from 1 ft<br>San Antonio now leads 11-4"
top:12px;left:468px;,"1st quarter, 7:25.0 remaining<br>Victor Wembanyama missed 3-pointer from 23 ft<br>San Antonio leads 11-6"
top:42px;left:247px;,"1st quarter, 7:11.0 remaining<br>Victor Wembanyama made 2-pointer from 1 ft<br>San Antonio now leads 13-9"
top:64px;left:261px;,"1st quarter, 7:02.0 remaining<br>Devin Vassell missed 2-pointer from 4 ft<br>San Antonio leads 13-9"
top:75px;left:473px;,"1st quarter, 6:47.0 remaining<br>Stephon Castle missed 3-pointer from 24 ft<br>San Antonio leads 13-9"
top:132px;left:320px;,"1st quarter, 6:35.0 remaining<br>Devin Vassell missed 2-pointer from 13 ft<br>San Antonio leads 13-9"
top:44px;left:245px;,"1st quarter, 6:28.0 remaining<br>Stephon Castle made 2-pointer from 2 ft<br>San Antonio now leads 15-9"
top:18px;left:7px;,"1st quarter, 5:41.0 remaining<br>Devin Vassell made 3-pointer from 23 ft<br>San Antonio now leads 18-11"
top:95px;left:7px;,"1st quarter, 5:23.0 remaining<br>Julian Champagnie made 3-pointer from 24 ft<br>San Antonio now leads 21-11"
top:187px;left:431px;,"1st quarter, 4:01.0 remaining<br>Dylan Harper made 3-pointer from 25 ft<br>San Antonio now leads 24-16"
top:187px;left:328px;,"1st quarter, 3:21.0 remaining<br>Devin Vassell made 2-pointer from 18 ft<br>San Antonio now leads 26-16"
top:261px;left:351px;,"1st quarter, 2:33.0 remaining<br>Devin Vassell made 3-pointer from 26 ft<br>San Antonio now leads 29-16"
top:46px;left:261px;,"1st quarter, 1:30.0 remaining<br>Keldon Johnson made 2-pointer from 3 ft<br>San Antonio now leads 31-20"
top:69px;left:239px;,"1st quarter, 0:43.0 remaining<br>Keldon Johnson missed 2-pointer from 4 ft<br>San Antonio leads 33-22"
top:38px;left:77px;,"1st quarter, 0:41.0 remaining<br>De'Aaron Fox made 2-pointer from 16 ft<br>San Antonio now leads 35-22"
top:55px;left:244px;,"1st quarter, 0:27.0 remaining<br>Dylan Harper made 2-pointer from 3 ft<br>San Antonio now leads 37-22"
top:138px;left:163px;,"2nd quarter, 11:31.0 remaining<br>De'Aaron Fox made 2-pointer from 13 ft<br>San Antonio now leads 39-24"
top:278px;left:177px;,"2nd quarter, 10:57.0 remaining<br>Julian Champagnie made 3-pointer from 26 ft<br>San Antonio now leads 42-24"
top:159px;left:119px;,"2nd quarter, 10:24.0 remaining<br>Victor Wembanyama missed 2-pointer from 18 ft<br>San Antonio leads 42-24"
