Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Duren,29:03,.635,.571,.000,.286,9.4,33.0,23.9,22.7,0.0,3.9,27.6,16.4,115,85,1.6
Tobias Harris,28:01,.795,.800,.400,.300,0.0,12.5,7.6,22.1,1.8,12.2,15.0,20.8,137,89,15.0
Daniss Jenkins,27:35,.406,.406,.250,.000,9.9,19.0,15.5,21.4,0.0,0.0,15.8,30.2,88,94,-10.9
Duncan Robinson,24:14,.683,.667,.667,.500,0.0,7.2,4.4,10.7,0.0,0.0,0.0,13.2,150,100,1.7
Ausar Thompson,24:01,.500,.500,.000,.000,17.1,10.9,13.3,0.0,8.2,0.0,14.3,12.8,105,80,2.5
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Huerter,21:45,.500,.500,.364,.000,0.0,8.0,4.9,6.9,2.3,0.0,15.4,26.2,88,95,-6.1
Caris LeVert,20:12,.571,.571,.286,.000,0.0,8.6,5.3,28.4,2.4,11.3,22.2,19.5,105,89,4.1
Ron Holland,19:59,.707,.714,.571,.714,6.9,4.4,5.3,0.0,4.9,11.4,30.3,29.0,93,86,4.9
Paul Reed,16:56,.685,.571,.000,.571,16.2,25.8,22.0,26.9,2.9,6.7,10.2,25.3,144,82,16.4
Javonte Green,13:35,.750,.750,1.000,.000,0.0,32.1,19.6,9.8,3.6,0.0,0.0,12.9,156,80,11.3
Marcus Sasser,10:37,,,,,0.0,8.2,5.0,42.1,0.0,0.0,100.0,4.1,117,99,-1.7
Chaz Lanier,2:01,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,200,104,14.1
Tolu Smith,2:01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,100,-23.6
Team Totals,240,.609,.585,.317,.207,28.6,76.4,57.8,65.1,11.3,21.4,18.3,100.0,111.6,89.0,
