Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Donte DiVincenzo,33:04,.557,.528,.778,.222,0.0,12.4,4.8,17.2,0.0,5.2,4.8,26.3,109,114,8.6
Rudy Gobert,31:59,.651,.667,.000,.444,13.6,30.0,20.0,0.0,0.0,2.7,15.7,16.7,113,111,-1.0
Julius Randle,30:46,.342,.154,.231,.538,8.5,22.3,13.9,26.1,0.0,2.8,19.9,27.4,74,113,-7.1
Terrence Shannon Jr.,25:09,.556,.500,.400,1.000,3.5,10.9,6.4,24.7,0.0,0.0,0.0,12.0,131,117,0.8
Mike Conley,21:50,.300,.300,1.000,.000,0.0,6.3,2.4,53.2,2.3,0.0,0.0,9.6,103,113,-0.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bones Hyland,25:59,.300,.300,.900,.000,0.0,5.3,2.1,0.0,3.8,0.0,16.7,19.4,51,110,-9.6
Naz Reid,24:24,.245,.200,.467,.200,3.6,16.9,8.7,9.3,4.0,0.0,15.5,33.2,49,107,-13.7
Jaylen Clark,17:41,.521,.333,.333,1.000,14.8,7.8,12.1,0.0,0.0,0.0,10.4,22.8,110,118,-2.0
Kyle Anderson,15:54,.500,.500,.000,.000,0.0,17.3,6.7,12.6,6.2,0.0,33.3,7.9,72,102,0.1
Julian Phillips,5:44,.000,.000,1.000,.000,0.0,0.0,0.0,31.0,0.0,0.0,0.0,7.3,44,120,-8.5
Joan Beringer,3:45,.725,1.000,.000,4.000,0.0,0.0,0.0,0.0,13.1,0.0,0.0,30.8,141,91,27.4
Joe Ingles,3:45,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-10.6
Team Totals,240,.437,.371,.506,.388,23.6,71.4,42.2,66.7,8.2,7.1,13.1,100.0,89.0,111.6,
