Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jalen Duren,29:03,4,7,.571,0,0,,2,2,1.000,2,11,13,5,0,1,3,5,10,10.6,+8
Tobias Harris,28:01,7,10,.700,2,4,.500,2,3,.667,0,4,4,4,1,3,2,1,18,18.1,+10
Daniss Jenkins,27:35,6,16,.375,1,4,.250,0,0,,2,6,8,4,0,0,3,4,13,5.6,+3
Duncan Robinson,24:14,3,6,.500,2,4,.500,2,3,.667,0,2,2,2,0,0,0,2,10,7.8,+12
Ausar Thompson,24:01,3,6,.500,0,0,,0,0,,3,3,6,0,4,0,1,3,6,7.8,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Kevin Huerter,21:45,5,11,.455,1,4,.250,0,0,,0,2,2,1,1,0,2,1,11,5.2,+9
Caris LeVert,20:12,4,7,.571,0,2,.000,0,0,,0,2,2,4,1,2,2,3,8,7.3,+13
Ron Holland,19:59,4,7,.571,2,4,.500,3,5,.600,1,1,2,0,2,2,4,1,13,8.9,+12
Paul Reed,16:56,4,7,.571,0,0,,4,4,1.000,2,5,7,3,1,1,1,0,12,14.4,+13
Javonte Green,13:35,2,4,.500,2,4,.500,0,0,,0,5,5,1,1,0,0,1,6,6.8,+7
Marcus Sasser,10:37,0,0,,0,0,,0,0,,0,1,1,4,0,0,1,1,0,1.7,+11
Chaz Lanier,2:01,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+1
Tolu Smith,2:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,+1
Team Totals,240,43,82,.524,10,26,.385,13,17,.765,10,42,52,28,11,9,20,24,109,,
