Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Donte DiVincenzo,33:04,7,18,.389,5,14,.357,3,4,.750,0,3,3,2,0,2,1,0,22,14.5,-8
Rudy Gobert,31:59,6,9,.667,0,0,,2,4,.500,5,7,12,0,0,1,2,3,14,12.4,-11
Julius Randle,30:46,2,13,.154,0,3,.000,7,7,1.000,3,5,8,4,0,1,4,2,11,5.0,-13
Terrence Shannon Jr.,25:09,2,5,.400,1,2,.500,3,5,.600,1,2,3,3,0,0,0,2,8,7.1,0
Mike Conley,21:50,1,5,.200,1,5,.200,0,0,,0,1,1,6,1,0,0,3,3,4.2,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Bones Hyland,25:59,2,10,.200,2,9,.222,0,0,,0,1,1,0,2,0,2,1,6,-0.3,-17
Naz Reid,24:24,3,15,.200,0,7,.000,2,3,.667,1,3,4,1,2,0,3,1,8,-0.8,-22
Jaylen Clark,17:41,2,6,.333,0,2,.000,5,6,.833,3,1,4,0,0,0,1,1,9,6.2,-16
Kyle Anderson,15:54,1,2,.500,0,0,,0,0,,0,2,2,1,2,0,1,0,2,3.3,-9
Julian Phillips,5:44,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-4
Joan Beringer,3:45,1,1,1.000,0,0,,2,4,.500,0,0,0,0,1,0,0,0,4,3.9,-1
Joe Ingles,3:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
Team Totals,240,27,85,.318,9,43,.209,24,33,.727,13,25,38,18,8,4,15,13,87,,
