1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Detroit,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Minnesota
12:00.0,Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession)
11:46.0,D. Jenkins misses 2-pt layup from 2 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by J. Randle
11:41.0,,,0-0,,D. DiVincenzo misses 2-pt layup from 3 ft
11:38.0,Defensive rebound by A. Thompson,,0-0,,
11:21.0,D. Jenkins misses 3-pt jump shot from 25 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by J. Randle
11:08.0,,,0-2,+2,R. Gobert makes 2-pt dunk from 1 ft (assist by M. Conley)
10:53.0,T. Harris makes 2-pt jump shot from 11 ft (assist by D. Robinson),+2,2-2,,
10:53.0,Shooting foul by J. Randle (drawn by T. Harris),,2-2,,
10:53.0,T. Harris makes free throw 1 of 1,+1,3-2,,
10:37.0,,,3-4,+2,J. Randle makes 2-pt jump shot from 13 ft (assist by T. Shannon)
10:22.0,D. Jenkins misses 2-pt jump shot from 14 ft,,3-4,,
10:19.0,Offensive rebound by D. Jenkins,,3-4,,
10:17.0,Turnover by J. Duren (off goaltending),,3-4,,
10:05.0,,,3-4,,D. DiVincenzo misses 3-pt jump shot from 26 ft
10:03.0,Defensive rebound by J. Duren,,3-4,,
9:55.0,J. Duren misses 2-pt hook shot from 5 ft (block by D. DiVincenzo),,3-4,,
9:53.0,,,3-4,,Defensive rebound by R. Gobert
9:52.0,,,3-4,,Turnover by R. Gobert (bad pass; steal by A. Thompson)
9:37.0,J. Duren misses 2-pt layup from 2 ft (block by J. Randle),,3-4,,
9:34.0,,,3-4,,Defensive rebound by T. Shannon
9:31.0,,,3-7,+3,M. Conley makes 3-pt jump shot from 23 ft (assist by T. Shannon)
9:16.0,T. Harris makes 3-pt jump shot from 25 ft,+3,6-7,,
9:01.0,,,6-7,,Shooting foul by J. Duren (drawn by R. Gobert)
9:01.0,,,6-8,+1,R. Gobert makes free throw 1 of 2
9:01.0,,,6-9,+1,R. Gobert makes free throw 2 of 2
8:50.0,Offensive foul by J. Duren (drawn by M. Conley),,6-9,,
8:50.0,Turnover by J. Duren (offensive foul),,6-9,,
8:50.0,P. Reed enters the game for J. Duren,,6-9,,
8:39.0,,,6-9,,J. Randle misses 2-pt jump shot from 19 ft
8:36.0,Defensive rebound by D. Robinson,,6-9,,
8:14.0,T. Harris makes 2-pt layup from 4 ft,+2,8-9,,
8:00.0,,,8-9,,D. DiVincenzo misses 3-pt jump shot from 26 ft
7:57.0,Defensive rebound by D. Jenkins,,8-9,,
7:50.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by D. Jenkins),+3,11-9,,
7:32.0,,,11-11,+2,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Randle)
7:21.0,D. Jenkins misses 2-pt jump shot from 4 ft,,11-11,,
7:20.0,Offensive rebound by D. Jenkins,,11-11,,
7:15.0,Shooting foul by T. Shannon (drawn by P. Reed),,11-11,,
7:15.0,P. Reed makes free throw 1 of 2,+1,12-11,,
7:15.0,P. Reed makes free throw 2 of 2,+1,13-11,,
6:50.0,,,13-11,,T. Shannon misses 2-pt layup from 3 ft
6:49.0,,,13-11,,Offensive rebound by R. Gobert
6:38.0,,,13-11,,J. Randle misses 3-pt jump shot from 26 ft
6:36.0,Defensive rebound by P. Reed,,13-11,,
6:31.0,D. Jenkins makes 2-pt layup from 2 ft,+2,15-11,,
6:15.0,,,15-14,+3,T. Shannon makes 3-pt jump shot from 23 ft (assist by M. Conley)
5:56.0,P. Reed makes 2-pt dunk from 1 ft (assist by D. Robinson),+2,17-14,,
5:56.0,,,17-14,,Minnesota full timeout
5:56.0,,,17-14,,B. Hyland enters the game for M. Conley
5:56.0,,,17-14,,N. Reid enters the game for R. Gobert
5:44.0,,,17-14,,N. Reid misses 3-pt jump shot from 22 ft
5:41.0,Defensive rebound by D. Jenkins,,17-14,,
5:34.0,P. Reed makes 2-pt dunk from 1 ft (assist by D. Jenkins),+2,19-14,,
5:16.0,,,19-14,,Personal foul by D. Jenkins (drawn by B. Hyland)
5:16.0,K. Huerter enters the game for D. Robinson,,19-14,,
5:16.0,C. LeVert enters the game for A. Thompson,,19-14,,
5:08.0,,,19-14,,N. Reid misses 3-pt jump shot from 22 ft
5:05.0,,,19-14,,Offensive rebound by J. Randle
5:02.0,,,19-14,,Shooting foul by D. Jenkins (drawn by J. Randle)
