style,tip
top:48px;left:227px;,"1st quarter, 11:46.0 remaining<br>Daniss Jenkins missed 2-pointer from 2 ft<br>Detroit tied 0-0"
top:269px;left:314px;,"1st quarter, 11:21.0 remaining<br>Daniss Jenkins missed 3-pointer from 25 ft<br>Detroit tied 0-0"
top:43px;left:351px;,"1st quarter, 10:53.0 remaining<br>Tobias Harris made 2-pointer from 11 ft<br>Detroit now tied 2-2"
top:159px;left:298px;,"1st quarter, 10:22.0 remaining<br>Daniss Jenkins missed 2-pointer from 14 ft<br>Detroit trails 3-4"
top:74px;left:255px;,"1st quarter, 9:55.0 remaining<br>Jalen Duren missed 2-pointer from 5 ft<br>Detroit trails 3-4"
top:49px;left:232px;,"1st quarter, 9:37.0 remaining<br>Jalen Duren missed 2-pointer from 2 ft<br>Detroit trails 3-4"
top:253px;left:352px;,"1st quarter, 9:16.0 remaining<br>Tobias Harris made 3-pointer from 25 ft<br>Detroit now trails 6-7"
top:55px;left:266px;,"1st quarter, 8:14.0 remaining<br>Tobias Harris made 2-pointer from 4 ft<br>Detroit now trails 8-9"
top:172px;left:440px;,"1st quarter, 7:50.0 remaining<br>Duncan Robinson made 3-pointer from 25 ft<br>Detroit now leads 11-9"
top:62px;left:223px;,"1st quarter, 7:21.0 remaining<br>Daniss Jenkins missed 2-pointer from 4 ft<br>Detroit tied 11-11"
top:49px;left:249px;,"1st quarter, 6:31.0 remaining<br>Daniss Jenkins made 2-pointer from 2 ft<br>Detroit now leads 15-11"
top:42px;left:232px;,"1st quarter, 5:56.0 remaining<br>Paul Reed made 2-pointer from 1 ft<br>Detroit now leads 17-14"
top:37px;left:247px;,"1st quarter, 5:34.0 remaining<br>Paul Reed made 2-pointer from 1 ft<br>Detroit now leads 19-14"
top:262px;left:323px;,"1st quarter, 4:39.0 remaining<br>Tobias Harris made 3-pointer from 25 ft<br>Detroit now leads 22-17"
top:38px;left:237px;,"1st quarter, 4:12.0 remaining<br>Kevin Huerter made 2-pointer from 1 ft<br>Detroit now leads 24-20"
top:265px;left:152px;,"1st quarter, 3:39.0 remaining<br>Caris LeVert missed 3-pointer from 25 ft<br>Detroit leads 24-20"
top:239px;left:383px;,"1st quarter, 2:59.0 remaining<br>Kevin Huerter made 3-pointer from 25 ft<br>Detroit now leads 27-22"
top:84px;left:309px;,"1st quarter, 2:14.0 remaining<br>Caris LeVert made 2-pointer from 9 ft<br>Detroit now leads 29-24"
top:226px;left:69px;,"1st quarter, 1:52.0 remaining<br>Kevin Huerter missed 3-pointer from 26 ft<br>Detroit leads 29-24"
top:44px;left:227px;,"1st quarter, 1:48.0 remaining<br>Kevin Huerter made 2-pointer from 2 ft<br>Detroit now leads 31-24"
top:156px;left:448px;,"1st quarter, 1:03.0 remaining<br>Kevin Huerter missed 3-pointer from 24 ft<br>Detroit leads 31-24"
top:26px;left:364px;,"1st quarter, 0:31.0 remaining<br>Caris LeVert made 2-pointer from 12 ft<br>Detroit now leads 33-24"
top:39px;left:253px;,"2nd quarter, 11:29.0 remaining<br>Jalen Duren made 2-pointer from 2 ft<br>Detroit now leads 35-24"
top:142px;left:187px;,"2nd quarter, 10:10.0 remaining<br>Kevin Huerter missed 2-pointer from 12 ft<br>Detroit leads 35-24"
top:248px;left:103px;,"2nd quarter, 10:04.0 remaining<br>Javonte Green missed 3-pointer from 26 ft<br>Detroit leads 35-24"
top:132px;left:172px;,"2nd quarter, 9:42.0 remaining<br>Kevin Huerter missed 2-pointer from 12 ft<br>Detroit leads 35-24"
top:24px;left:473px;,"2nd quarter, 8:43.0 remaining<br>Ron Holland missed 3-pointer from 23 ft<br>Detroit leads 37-26"
top:162px;left:249px;,"2nd quarter, 8:08.0 remaining<br>Caris LeVert made 2-pointer from 13 ft<br>Detroit now leads 39-28"
top:44px;left:245px;,"2nd quarter, 7:18.0 remaining<br>Ron Holland made 2-pointer from 2 ft<br>Detroit now leads 41-29"
top:24px;left:468px;,"2nd quarter, 6:47.0 remaining<br>Ron Holland missed 3-pointer from 23 ft<br>Detroit leads 41-31"
top:48px;left:261px;,"2nd quarter, 4:39.0 remaining<br>Duncan Robinson missed 2-pointer from 3 ft<br>Detroit leads 43-37"
