style,tip
top:58px;left:254px;,"1st quarter, 11:41.0 remaining<br>Donte DiVincenzo missed 2-pointer from 3 ft<br>Minnesota tied 0-0"
top:26px;left:235px;,"1st quarter, 11:08.0 remaining<br>Rudy Gobert made 2-pointer from 1 ft<br>Minnesota now leads 2-0"
top:155px;left:193px;,"1st quarter, 10:37.0 remaining<br>Julius Randle made 2-pointer from 13 ft<br>Minnesota now leads 4-3"
top:260px;left:112px;,"1st quarter, 10:05.0 remaining<br>Donte DiVincenzo missed 3-pointer from 26 ft<br>Minnesota leads 4-3"
top:37px;left:473px;,"1st quarter, 9:31.0 remaining<br>Mike Conley made 3-pointer from 23 ft<br>Minnesota now leads 7-3"
top:133px;left:80px;,"1st quarter, 8:39.0 remaining<br>Julius Randle missed 2-pointer from 19 ft<br>Minnesota leads 9-6"
top:238px;left:402px;,"1st quarter, 8:00.0 remaining<br>Donte DiVincenzo missed 3-pointer from 26 ft<br>Minnesota leads 9-8"
top:38px;left:235px;,"1st quarter, 7:32.0 remaining<br>Rudy Gobert made 2-pointer from 1 ft<br>Minnesota now tied 11-11"
top:55px;left:253px;,"1st quarter, 6:50.0 remaining<br>Terrence Shannon Jr. missed 2-pointer from 3 ft<br>Minnesota trails 11-13"
top:153px;left:6px;,"1st quarter, 6:38.0 remaining<br>Julius Randle missed 3-pointer from 26 ft<br>Minnesota trails 11-13"
top:57px;left:470px;,"1st quarter, 6:15.0 remaining<br>Terrence Shannon Jr. made 3-pointer from 23 ft<br>Minnesota now trails 14-15"
top:33px;left:15px;,"1st quarter, 5:44.0 remaining<br>Naz Reid missed 3-pointer from 23 ft<br>Minnesota trails 14-17"
top:28px;left:15px;,"1st quarter, 5:08.0 remaining<br>Naz Reid missed 3-pointer from 23 ft<br>Minnesota trails 14-19"
top:98px;left:12px;,"1st quarter, 4:23.0 remaining<br>Bones Hyland made 3-pointer from 24 ft<br>Minnesota now trails 20-22"
top:50px;left:17px;,"1st quarter, 3:21.0 remaining<br>Jaylen Clark missed 3-pointer from 22 ft<br>Minnesota trails 20-24"
top:47px;left:207px;,"1st quarter, 3:16.0 remaining<br>Jaylen Clark made 2-pointer from 4 ft<br>Minnesota now trails 22-24"
top:48px;left:233px;,"1st quarter, 2:39.0 remaining<br>Naz Reid made 2-pointer from 2 ft<br>Minnesota now trails 24-27"
top:43px;left:186px;,"1st quarter, 2:00.0 remaining<br>Julius Randle missed 2-pointer from 6 ft<br>Minnesota trails 24-29"
top:39px;left:252px;,"1st quarter, 1:25.0 remaining<br>Naz Reid missed 2-pointer from 1 ft<br>Minnesota trails 24-31"
top:298px;left:350px;,"1st quarter, 0:51.0 remaining<br>Bones Hyland missed 3-pointer from 29 ft<br>Minnesota trails 24-31"
top:83px;left:280px;,"2nd quarter, 11:45.0 remaining<br>Rudy Gobert missed 2-pointer from 7 ft<br>Minnesota trails 24-33"
top:48px;left:314px;,"2nd quarter, 10:57.0 remaining<br>Kyle Anderson missed 2-pointer from 8 ft<br>Minnesota trails 24-35"
top:47px;left:217px;,"2nd quarter, 10:39.0 remaining<br>Naz Reid missed 2-pointer from 3 ft<br>Minnesota trails 24-35"
top:258px;left:124px;,"2nd quarter, 10:22.0 remaining<br>Naz Reid missed 3-pointer from 26 ft<br>Minnesota trails 24-35"
top:47px;left:244px;,"2nd quarter, 9:25.0 remaining<br>Rudy Gobert made 2-pointer from 2 ft<br>Minnesota now trails 26-37"
top:291px;left:334px;,"2nd quarter, 8:56.0 remaining<br>Donte DiVincenzo missed 3-pointer from 28 ft<br>Minnesota trails 26-37"
top:52px;left:251px;,"2nd quarter, 8:29.0 remaining<br>Rudy Gobert made 2-pointer from 2 ft<br>Minnesota now trails 28-37"
top:275px;left:233px;,"2nd quarter, 7:53.0 remaining<br>Mike Conley missed 3-pointer from 25 ft<br>Minnesota trails 28-39"
top:67px;left:111px;,"2nd quarter, 7:05.0 remaining<br>Donte DiVincenzo made 2-pointer from 13 ft<br>Minnesota now trails 31-41"
top:16px;left:3px;,"2nd quarter, 6:36.0 remaining<br>Donte DiVincenzo made 3-pointer from 24 ft<br>Minnesota now trails 34-41"
top:31px;left:9px;,"2nd quarter, 6:03.0 remaining<br>Donte DiVincenzo made 3-pointer from 23 ft<br>Minnesota now trails 37-43"
top:183px;left:446px;,"2nd quarter, 5:24.0 remaining<br>Donte DiVincenzo missed 3-pointer from 26 ft<br>Minnesota trails 37-43"
top:211px;left:183px;,"2nd quarter, 5:04.0 remaining<br>Julius Randle missed 2-pointer from 19 ft<br>Minnesota trails 37-43"
top:33px;left:236px;,"2nd quarter, 4:32.0 remaining<br>Donte DiVincenzo made 2-pointer from 1 ft<br>Minnesota now trails 39-43"
top:23px;left:468px;,"2nd quarter, 4:07.0 remaining<br>Terrence Shannon Jr. missed 3-pointer from 23 ft<br>Minnesota trails 39-43"
top:37px;left:237px;,"2nd quarter, 4:06.0 remaining<br>Rudy Gobert missed 2-pointer from 1 ft<br>Minnesota trails 39-43"
top:177px;left:38px;,"2nd quarter, 3:40.0 remaining<br>Donte DiVincenzo missed 3-pointer from 25 ft<br>Minnesota trails 39-43"
top:108px;left:467px;,"2nd quarter, 3:06.0 remaining<br>Donte DiVincenzo missed 3-pointer from 24 ft<br>Minnesota trails 39-45"
