Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Oso Ighodaro,28:22,.838,1.000,.000,.667,13.0,13.5,13.3,8.1,0.0,2.5,34.0,15.8,111,110,-2.2
Collin Gillespie,27:27,.000,.000,1.000,.000,0.0,10.5,5.1,23.5,1.7,2.5,11.1,12.5,62,107,-11.7
Devin Booker,26:42,.707,.607,.357,.714,3.5,7.2,5.3,38.2,1.8,2.6,5.2,27.6,162,107,16.3
Jalen Green,22:07,.705,.705,.500,.000,4.2,21.7,12.8,27.4,0.0,0.0,0.0,37.8,155,110,18.1
Royce O'Neale,21:57,.429,.429,.857,.000,8.4,4.4,6.4,9.2,0.0,0.0,0.0,12.1,131,114,-5.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jordan Goodwin,23:09,.571,.571,.429,.000,23.9,12.4,18.3,4.5,4.0,0.0,12.5,13.1,139,103,2.7
Grayson Allen,20:41,.578,.563,.688,.063,0.0,13.9,6.8,19.5,4.5,0.0,10.8,33.9,120,102,5.7
Ryan Dunn,20:07,.571,.643,.429,.286,9.2,28.6,18.7,11.2,4.7,0.0,20.2,18.7,106,97,-0.1
Khaman Maluach,19:38,.685,.714,.000,.571,14.1,29.3,21.6,0.0,0.0,7.1,0.0,17.0,153,102,3.7
Rasheer Fleming,18:26,.500,.500,.571,.000,5.0,26.0,15.3,0.0,0.0,3.8,12.5,16.5,102,105,-7.5
Jamaree Bouyea,6:15,.000,.000,.000,.000,14.8,15.4,15.1,0.0,0.0,0.0,0.0,6.1,73,112,-11.9
Koby Brea,5:09,.750,.750,1.000,.000,0.0,0.0,0.0,21.8,0.0,0.0,0.0,14.8,180,114,1.0
Team Totals,240,.592,.582,.510,.202,40.4,78.0,58.8,55.8,7.8,8.7,10.3,100.0,130.7,106.3,
