Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ace Bailey,34:03,.398,.367,.200,.200,2.8,13.6,8.3,7.8,0.0,8.3,19.7,25.0,71,131,-12.1
Brice Sensabaugh,33:23,.582,.571,.238,.143,0.0,5.5,2.8,10.6,0.0,0.0,4.3,29.3,111,138,-4.3
Kyle Filipowski,29:21,.825,.786,.143,.286,9.8,18.9,14.4,18.4,3.2,0.0,6.0,24.0,157,124,12.3
Cody Williams,28:47,.000,.000,.222,.000,0.0,6.4,3.3,7.8,1.6,3.3,25.0,17.5,12,132,-22.9
Elijah Harkless,26:52,.291,.167,.500,.333,7.1,10.3,8.8,21.7,0.0,0.0,0.0,10.7,107,135,-9.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kennedy Chandler,23:41,.583,.556,.111,.111,0.0,11.7,6.0,49.3,0.0,0.0,29.8,23.8,99,134,-10.1
John Konchar,21:42,.500,.500,.667,.000,4.4,8.5,6.5,27.1,2.2,0.0,0.0,5.8,150,131,1.7
Bez Mbeng,16:42,.868,1.000,.000,1.000,5.7,11.1,8.5,7.7,2.8,0.0,25.8,9.8,129,128,-3.5
Oscar Tshiebwe,16:17,.451,.500,.000,.667,11.8,28.3,20.2,8.6,5.8,0.0,0.0,20.0,106,114,-1.3
Svi Mykhailiuk,9:12,1.000,1.000,.714,.000,10.4,10.0,10.2,30.8,5.1,0.0,0.0,31.9,177,124,41.9
Isaiah Collier,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Kevin Love,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.543,.522,.250,.207,22.0,59.6,41.2,69.8,7.8,7.8,12.2,100.0,106.3,130.7,
