Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Oso Ighodaro,28:22,6,6,1.000,0,0,,1,4,.250,4,4,8,2,0,1,4,2,13,11.3,+19
Collin Gillespie,27:27,0,8,.000,0,8,.000,0,0,,0,3,3,7,1,1,1,1,0,0.5,+15
Devin Booker,26:42,8,14,.571,1,5,.200,9,10,.900,1,2,3,8,1,1,1,1,26,26.2,+21
Jalen Green,22:07,13,22,.591,5,11,.455,0,0,,1,5,6,3,0,0,0,1,31,24.7,+9
Royce O'Neale,21:57,2,7,.286,2,6,.333,0,0,,2,1,3,2,0,0,0,1,6,4.6,+15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jordan Goodwin,23:09,3,7,.429,2,3,.667,0,0,,6,3,9,1,2,0,1,2,8,10.3,+13
Grayson Allen,20:41,7,16,.438,4,11,.364,1,1,1.000,0,3,3,3,2,0,2,1,19,13.2,+14
Ryan Dunn,20:07,4,7,.571,1,3,.333,0,2,.000,2,6,8,2,2,0,2,3,9,8.3,+5
Khaman Maluach,19:38,5,7,.714,0,0,,2,4,.500,3,6,9,0,0,2,0,1,12,13.2,+6
Rasheer Fleming,18:26,3,7,.429,1,4,.250,0,0,,1,5,6,0,0,1,1,2,7,4.4,+14
Jamaree Bouyea,6:15,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-3
Koby Brea,5:09,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,2,3,1.9,-3
Team Totals,240,52,104,.500,17,53,.321,13,21,.619,21,39,60,29,8,6,13,17,134,,
