Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Ace Bailey,34:03,5,15,.333,1,3,.333,2,3,.667,1,5,6,2,0,3,4,1,13,5.4,-19
Brice Sensabaugh,33:23,11,21,.524,2,5,.400,2,3,.667,0,2,2,2,0,0,1,2,26,15.5,-25
Kyle Filipowski,29:21,10,14,.714,2,2,1.000,4,4,1.000,3,6,9,3,2,0,1,3,26,26.0,-12
Cody Williams,28:47,0,9,.000,0,2,.000,0,0,,0,2,2,2,1,1,3,2,0,-6.4,-31
Elijah Harkless,26:52,1,6,.167,0,3,.000,2,2,1.000,2,3,5,5,0,0,0,2,4,5.2,-24
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Kennedy Chandler,23:41,5,9,.556,0,1,.000,1,1,1.000,0,3,3,8,0,0,4,4,11,7.6,-2
John Konchar,21:42,1,3,.333,1,2,.500,0,0,,1,2,3,5,1,0,0,1,3,6.7,-24
Bez Mbeng,16:42,2,2,1.000,0,0,,1,2,.500,1,2,3,1,1,0,1,2,5,5.2,+8
Oscar Tshiebwe,16:17,3,6,.500,0,0,,1,4,.250,2,5,7,1,2,0,0,1,7,8.0,-9
Svi Mykhailiuk,9:12,5,7,.714,4,5,.800,0,0,,1,1,2,1,1,0,0,0,14,13.8,+13
Isaiah Collier,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Kevin Love,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,92,.467,10,23,.435,13,19,.684,11,31,42,30,8,4,14,18,109,,
