1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Utah,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Phoenix
12:00.0,Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession)
11:45.0,,,0-0,,C. Gillespie misses 3-pt jump shot from 27 ft
11:41.0,Defensive rebound by A. Bailey,,0-0,,
11:31.0,A. Bailey misses 2-pt layup from 1 ft,,0-0,,
11:30.0,Offensive rebound by A. Bailey,,0-0,,
11:29.0,A. Bailey misses 2-pt layup at rim,,0-0,,
11:28.0,,,0-0,,Defensive rebound by O. Ighodaro
11:25.0,,,0-0,,Turnover by O. Ighodaro (bad pass; steal by K. Filipowski)
11:21.0,B. Sensabaugh makes 3-pt jump shot from 27 ft (assist by A. Bailey),+3,3-0,,
11:02.0,,,3-3,+3,J. Green makes 3-pt jump shot from 26 ft
10:39.0,K. Filipowski makes 2-pt layup from 1 ft,+2,5-3,,
10:25.0,,,5-3,,J. Green misses 3-pt jump shot from 28 ft
10:22.0,Defensive rebound by B. Sensabaugh,,5-3,,
10:10.0,B. Sensabaugh misses 2-pt jump shot from 12 ft,,5-3,,
10:08.0,Offensive rebound by E. Harkless,,5-3,,
10:08.0,Shooting foul by D. Booker (drawn by E. Harkless),,5-3,,
10:08.0,E. Harkless makes free throw 1 of 2,+1,6-3,,
10:08.0,E. Harkless makes free throw 2 of 2,+1,7-3,,
9:51.0,,,7-3,,D. Booker misses 2-pt jump shot from 18 ft
9:48.0,,,7-3,,Offensive rebound by J. Green
9:46.0,,,7-3,,D. Booker misses 3-pt jump shot from 26 ft
9:46.0,,,7-3,,Offensive rebound by O. Ighodaro
9:42.0,,,7-6,+3,R. O'Neale makes 3-pt jump shot from 28 ft (assist by O. Ighodaro)
9:16.0,K. Filipowski makes 2-pt layup from 1 ft,+2,9-6,,
9:00.0,,,9-8,+2,J. Green makes 2-pt layup from 1 ft (assist by R. O'Neale)
8:51.0,K. Filipowski makes 2-pt layup from 1 ft,+2,11-8,,
8:31.0,,,11-10,+2,D. Booker makes 2-pt jump shot from 7 ft
8:31.0,,,11-10,,Shooting foul by B. Sensabaugh (drawn by D. Booker)
8:31.0,Utah full timeout,,11-10,,
8:31.0,,,11-11,+1,D. Booker makes free throw 1 of 1
8:18.0,C. Williams misses 2-pt layup at rim,,11-11,,
8:16.0,,,11-11,,Defensive rebound by J. Green
8:12.0,,,11-11,,J. Green misses 2-pt layup at rim (block by A. Bailey)
8:10.0,Defensive rebound by E. Harkless,,11-11,,
8:04.0,Shooting foul by R. O'Neale (drawn by K. Filipowski),,11-11,,
8:04.0,K. Filipowski makes free throw 1 of 2,+1,12-11,,
8:04.0,K. Filipowski makes free throw 2 of 2,+1,13-11,,
