style,tip
top:200px;left:447px;,"1st quarter, 11:45.0 remaining<br>Collin Gillespie missed 3-pointer from 27 ft<br>Phoenix tied 0-0"
top:251px;left:98px;,"1st quarter, 11:02.0 remaining<br>Jalen Green made 3-pointer from 26 ft<br>Phoenix now tied 3-3"
top:226px;left:443px;,"1st quarter, 10:25.0 remaining<br>Jalen Green missed 3-pointer from 28 ft<br>Phoenix trails 3-5"
top:196px;left:177px;,"1st quarter, 9:51.0 remaining<br>Devin Booker missed 2-pointer from 18 ft<br>Phoenix trails 3-7"
top:253px;left:101px;,"1st quarter, 9:46.0 remaining<br>Devin Booker missed 3-pointer from 26 ft<br>Phoenix trails 3-7"
top:252px;left:408px;,"1st quarter, 9:42.0 remaining<br>Royce O'Neale made 3-pointer from 28 ft<br>Phoenix now trails 6-7"
top:38px;left:243px;,"1st quarter, 9:00.0 remaining<br>Jalen Green made 2-pointer from 1 ft<br>Phoenix now trails 8-9"
top:80px;left:288px;,"1st quarter, 8:31.0 remaining<br>Devin Booker made 2-pointer from 7 ft<br>Phoenix now trails 10-11"
top:31px;left:236px;,"1st quarter, 8:12.0 remaining<br>Jalen Green missed 2-pointer from 0 ft<br>Phoenix tied 11-11"
top:78px;left:4px;,"1st quarter, 7:51.0 remaining<br>Royce O'Neale made 3-pointer from 24 ft<br>Phoenix now leads 14-13"
top:22px;left:233px;,"1st quarter, 7:30.0 remaining<br>Oso Ighodaro made 2-pointer from 1 ft<br>Phoenix now leads 16-13"
top:251px;left:416px;,"1st quarter, 7:01.0 remaining<br>Jalen Green made 3-pointer from 28 ft<br>Phoenix now leads 19-15"
top:101px;left:3px;,"1st quarter, 6:36.0 remaining<br>Collin Gillespie missed 3-pointer from 25 ft<br>Phoenix leads 19-15"
top:28px;left:244px;,"1st quarter, 6:13.0 remaining<br>Jalen Green missed 2-pointer from 0 ft<br>Phoenix leads 19-15"
top:295px;left:207px;,"1st quarter, 5:45.0 remaining<br>Jalen Green made 3-pointer from 27 ft<br>Phoenix now leads 22-15"
top:241px;left:92px;,"1st quarter, 5:13.0 remaining<br>Jalen Green missed 3-pointer from 26 ft<br>Phoenix leads 22-15"
top:54px;left:257px;,"1st quarter, 5:11.0 remaining<br>Jordan Goodwin missed 2-pointer from 3 ft<br>Phoenix leads 22-15"
top:39px;left:236px;,"1st quarter, 4:26.0 remaining<br>Devin Booker made 2-pointer from 1 ft<br>Phoenix now leads 24-15"
