style,tip
top:27px;left:249px;,"1st quarter, 11:31.0 remaining<br>Ace Bailey missed 2-pointer from 1 ft<br>Utah tied 0-0"
top:30px;left:240px;,"1st quarter, 11:29.0 remaining<br>Ace Bailey missed 2-pointer from 0 ft<br>Utah tied 0-0"
top:213px;left:42px;,"1st quarter, 11:21.0 remaining<br>Brice Sensabaugh made 3-pointer from 27 ft<br>Utah now leads 3-0"
top:41px;left:248px;,"1st quarter, 10:39.0 remaining<br>Kyle Filipowski made 2-pointer from 1 ft<br>Utah now leads 5-3"
top:78px;left:352px;,"1st quarter, 10:10.0 remaining<br>Brice Sensabaugh missed 2-pointer from 12 ft<br>Utah leads 5-3"
top:18px;left:245px;,"1st quarter, 9:16.0 remaining<br>Kyle Filipowski made 2-pointer from 1 ft<br>Utah now leads 9-6"
top:34px;left:236px;,"1st quarter, 8:51.0 remaining<br>Kyle Filipowski made 2-pointer from 1 ft<br>Utah now leads 11-8"
top:32px;left:240px;,"1st quarter, 8:18.0 remaining<br>Cody Williams missed 2-pointer from 0 ft<br>Utah tied 11-11"
top:36px;left:257px;,"1st quarter, 7:39.0 remaining<br>Cody Williams missed 2-pointer from 2 ft<br>Utah trails 13-14"
top:205px;left:158px;,"1st quarter, 7:15.0 remaining<br>Brice Sensabaugh made 2-pointer from 19 ft<br>Utah now trails 15-16"
top:24px;left:249px;,"1st quarter, 6:43.0 remaining<br>Brice Sensabaugh missed 2-pointer from 1 ft<br>Utah trails 15-19"
top:93px;left:10px;,"1st quarter, 6:24.0 remaining<br>Brice Sensabaugh missed 3-pointer from 24 ft<br>Utah trails 15-19"
top:37px;left:483px;,"1st quarter, 5:54.0 remaining<br>Elijah Harkless missed 3-pointer from 24 ft<br>Utah trails 15-19"
top:33px;left:248px;,"1st quarter, 4:56.0 remaining<br>Cody Williams missed 2-pointer from 1 ft<br>Utah trails 15-22"
top:49px;left:238px;,"1st quarter, 4:01.0 remaining<br>Elijah Harkless missed 2-pointer from 2 ft<br>Utah trails 15-24"
top:36px;left:234px;,"1st quarter, 3:50.0 remaining<br>Elijah Harkless made 2-pointer from 1 ft<br>Utah now trails 17-24"
top:19px;left:228px;,"1st quarter, 2:37.0 remaining<br>Oscar Tshiebwe missed 2-pointer from 2 ft<br>Utah trails 17-28"
top:21px;left:233px;,"1st quarter, 2:29.0 remaining<br>Brice Sensabaugh missed 2-pointer from 1 ft<br>Utah trails 17-28"
top:8px;left:468px;,"1st quarter, 1:40.0 remaining<br>Ace Bailey missed 3-pointer from 23 ft<br>Utah trails 17-34"
top:11px;left:369px;,"1st quarter, 1:11.0 remaining<br>Ace Bailey missed 2-pointer from 13 ft<br>Utah trails 17-37"
top:19px;left:236px;,"1st quarter, 1:05.0 remaining<br>Oscar Tshiebwe missed 2-pointer from 1 ft<br>Utah trails 17-37"
top:44px;left:252px;,"1st quarter, 0:55.0 remaining<br>Ace Bailey missed 2-pointer from 2 ft<br>Utah trails 17-37"
top:26px;left:247px;,"1st quarter, 0:35.0 remaining<br>Brice Sensabaugh made 2-pointer from 1 ft<br>Utah now trails 19-37"
top:32px;left:228px;,"1st quarter, 0:12.0 remaining<br>Brice Sensabaugh made 2-pointer from 1 ft<br>Utah now trails 21-37"
top:34px;left:238px;,"2nd quarter, 11:38.0 remaining<br>Kyle Filipowski made 2-pointer from 0 ft<br>Utah now trails 23-39"
top:23px;left:239px;,"2nd quarter, 11:22.0 remaining<br>Kyle Filipowski made 2-pointer from 1 ft<br>Utah now trails 25-39"
top:37px;left:10px;,"2nd quarter, 10:52.0 remaining<br>Ace Bailey missed 3-pointer from 23 ft<br>Utah trails 25-39"
top:28px;left:239px;,"2nd quarter, 10:15.0 remaining<br>Kennedy Chandler made 2-pointer from 0 ft<br>Utah now trails 27-41"
top:227px;left:243px;,"2nd quarter, 9:49.0 remaining<br>Ace Bailey missed 2-pointer from 20 ft<br>Utah trails 27-41"
top:259px;left:370px;,"2nd quarter, 9:27.0 remaining<br>Brice Sensabaugh made 3-pointer from 26 ft<br>Utah now trails 30-43"
top:22px;left:2px;,"2nd quarter, 8:53.0 remaining<br>John Konchar made 3-pointer from 24 ft<br>Utah now trails 33-43"
top:106px;left:286px;,"2nd quarter, 8:15.0 remaining<br>Kennedy Chandler missed 2-pointer from 9 ft<br>Utah trails 33-45"
top:33px;left:227px;,"2nd quarter, 7:53.0 remaining<br>John Konchar missed 2-pointer from 1 ft<br>Utah trails 33-48"
top:23px;left:249px;,"2nd quarter, 7:49.0 remaining<br>Kyle Filipowski missed 2-pointer from 1 ft<br>Utah trails 33-48"
