Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nique Clifford,37:03,.607,.607,.286,.000,3.2,18.1,10.9,10.1,0.0,0.0,22.2,21.2,97,126,-8.4
Precious Achiuwa,34:19,.468,.500,.071,.500,14.0,13.0,13.5,5.3,1.5,0.0,14.9,25.5,91,124,-10.2
Maxime Raynaud,31:49,.481,.400,.000,.800,7.5,21.1,14.5,10.1,1.6,0.0,6.9,19.9,109,121,-7.4
Devin Carter,28:58,.704,.625,.417,.417,8.3,23.1,16.0,31.8,1.8,0.0,12.3,24.4,140,120,9.2
Daeqwon Plowden,25:40,.125,.125,.875,.000,0.0,8.7,4.5,16.4,2.0,0.0,11.1,15.3,47,124,-18.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
DaQuan Jeffries,26:22,.651,.556,.667,.444,4.6,4.2,4.4,0.0,3.9,0.0,0.0,17.8,145,121,-0.5
Doug McDermott,23:28,.750,.750,1.000,.000,0.0,14.3,7.4,0.0,0.0,0.0,11.1,16.7,127,127,-0.3
Killian Hayes,18:18,.092,.000,.200,.200,0.0,12.2,6.3,51.0,2.8,6.0,35.5,20.1,57,118,-9.6
Dylan Cardwell,14:03,.500,.500,.000,.000,17.1,7.9,12.3,11.7,0.0,15.5,0.0,12.4,131,120,-0.4
Drew Eubanks,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Malik Monk,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Keegan Murray,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.521,.488,.381,.298,30.0,72.1,51.8,58.3,7.4,6.8,13.6,100.0,104.9,122.9,
