Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Nique Clifford,37:03,8,14,.571,1,4,.250,0,0,,1,6,7,2,0,0,4,3,17,9.1,-15
Precious Achiuwa,34:19,7,14,.500,0,1,.000,2,7,.286,4,4,8,1,1,0,3,2,16,8.9,-20
Maxime Raynaud,31:49,4,10,.400,0,0,,5,8,.625,2,6,8,2,1,0,1,5,13,9.0,-7
Devin Carter,28:58,6,12,.500,3,5,.600,5,5,1.000,2,6,8,5,1,0,2,1,20,19.3,-11
Daeqwon Plowden,25:40,1,8,.125,0,7,.000,0,0,,0,2,2,3,1,0,1,5,2,-2.5,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
DaQuan Jeffries,26:22,4,9,.444,2,6,.333,4,4,1.000,1,1,2,0,2,0,0,5,14,10.3,-6
Doug McDermott,23:28,4,8,.500,4,8,.500,0,0,,0,3,3,0,0,0,1,0,12,7.9,-2
Killian Hayes,18:18,0,5,.000,0,1,.000,1,1,1.000,0,2,2,7,1,1,3,1,1,1.3,-5
Dylan Cardwell,14:03,2,4,.500,0,0,,0,0,,2,1,3,1,0,2,0,1,4,5.4,-3
Drew Eubanks,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Malik Monk,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Keegan Murray,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,36,84,.429,10,32,.313,17,25,.680,12,31,43,21,7,3,15,23,99,,
