style,tip
top:77px;left:270px;,"1st quarter, 11:36.0 remaining<br>Maxime Raynaud made 2-pointer from 6 ft<br>Sacramento now leads 2-0"
top:103px;left:295px;,"1st quarter, 11:01.0 remaining<br>Maxime Raynaud missed 2-pointer from 9 ft<br>Sacramento trails 2-3"
top:83px;left:293px;,"1st quarter, 9:38.0 remaining<br>Maxime Raynaud made 2-pointer from 8 ft<br>Sacramento now trails 4-9"
top:38px;left:264px;,"1st quarter, 9:00.0 remaining<br>Precious Achiuwa made 2-pointer from 3 ft<br>Sacramento now trails 6-11"
top:131px;left:298px;,"1st quarter, 8:18.0 remaining<br>Devin Carter missed 2-pointer from 12 ft<br>Sacramento trails 6-13"
top:206px;left:418px;,"1st quarter, 7:52.0 remaining<br>Devin Carter missed 3-pointer from 25 ft<br>Sacramento trails 6-13"
top:283px;left:230px;,"1st quarter, 7:27.0 remaining<br>DaQuan Jeffries missed 3-pointer from 25 ft<br>Sacramento trails 6-13"
top:83px;left:215px;,"1st quarter, 6:50.0 remaining<br>DaQuan Jeffries made 2-pointer from 6 ft<br>Sacramento now trails 8-15"
top:113px;left:319px;,"1st quarter, 5:44.0 remaining<br>Maxime Raynaud missed 2-pointer from 11 ft<br>Sacramento trails 8-17"
top:269px;left:350px;,"1st quarter, 5:29.0 remaining<br>Nique Clifford missed 3-pointer from 26 ft<br>Sacramento trails 8-17"
top:42px;left:197px;,"1st quarter, 4:59.0 remaining<br>Killian Hayes missed 2-pointer from 4 ft<br>Sacramento trails 8-17"
top:59px;left:244px;,"1st quarter, 4:54.0 remaining<br>Maxime Raynaud made 2-pointer from 3 ft<br>Sacramento now trails 10-17"
top:95px;left:147px;,"1st quarter, 4:01.0 remaining<br>Killian Hayes missed 2-pointer from 11 ft<br>Sacramento trails 10-22"
top:278px;left:251px;,"1st quarter, 3:55.0 remaining<br>Doug McDermott made 3-pointer from 25 ft<br>Sacramento now trails 13-22"
top:113px;left:376px;,"1st quarter, 2:44.0 remaining<br>Nique Clifford made 2-pointer from 16 ft<br>Sacramento now trails 16-24"
top:63px;left:163px;,"1st quarter, 2:06.0 remaining<br>Maxime Raynaud missed 2-pointer from 8 ft<br>Sacramento trails 16-27"
top:103px;left:308px;,"1st quarter, 1:35.0 remaining<br>Dylan Cardwell missed 2-pointer from 10 ft<br>Sacramento trails 16-29"
top:146px;left:273px;,"1st quarter, 0:52.0 remaining<br>Nique Clifford made 2-pointer from 12 ft<br>Sacramento now trails 18-29"
top:274px;left:160px;,"1st quarter, 0:06.0 remaining<br>Killian Hayes missed 3-pointer from 26 ft<br>Sacramento trails 18-31"
top:83px;left:321px;,"2nd quarter, 11:27.0 remaining<br>Nique Clifford made 2-pointer from 10 ft<br>Sacramento now trails 20-31"
top:234px;left:103px;,"2nd quarter, 10:48.0 remaining<br>Nique Clifford missed 3-pointer from 25 ft<br>Sacramento trails 20-33"
top:132px;left:275px;,"2nd quarter, 9:59.0 remaining<br>Precious Achiuwa missed 2-pointer from 11 ft<br>Sacramento trails 20-35"
