Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Payton Pritchard,37:14,.678,.611,.333,.333,3.7,15.7,10.2,26.6,1.4,0.0,8.8,29.3,138,111,6.7
Jordan Walsh,33:43,.202,.143,.571,.143,8.1,17.4,13.1,7.0,1.6,0.0,0.0,10.6,82,110,-7.5
Sam Hauser,33:34,.717,.750,1.000,.500,0.0,10.5,5.6,0.0,0.0,0.0,0.0,7.0,142,116,-2.8
Jayson Tatum,30:47,.635,.630,.435,.217,0.0,19.0,10.3,53.6,0.0,3.9,0.0,39.4,142,112,19.2
Neemias Queta,28:45,.612,.615,.077,.154,14.3,20.4,17.6,5.8,1.9,4.2,0.0,23.2,136,107,2.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Baylor Scheierman,28:22,.549,.500,.636,.364,0.0,4.1,2.2,14.4,0.0,0.0,13.6,25.1,106,118,-3.5
Ron Harper Jr.,14:16,1.167,1.167,.333,.000,0.0,24.6,13.3,10.5,3.8,8.4,0.0,10.1,233,99,17.4
Luka Garza,13:22,1.000,1.000,.000,.000,0.0,8.8,4.7,18.7,0.0,0.0,0.0,3.6,215,117,0.6
Hugo GonzÃ¡lez,12:59,.750,.750,.500,.000,10.6,18.0,14.6,0.0,4.1,0.0,0.0,7.4,164,105,6.0
Max Shulga,2:26,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0,119,-35.3
Amari Williams,2:26,,,,,0.0,48.1,26.0,0.0,0.0,0.0,100.0,19.8,0,105,-23.3
Charles Bassey,1:03,.568,,,,100.0,0.0,60.2,0.0,0.0,0.0,0.0,40.4,159,120,5.9
John Tonje,1:03,,,,,0.0,0.0,0.0,0.0,51.0,0.0,,0.0,0,4,59.0
Team Totals,240,.615,.590,.410,.265,22.9,75.6,51.3,54.8,6.7,7.5,7.0,100.0,127.3,110.5,
