Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Payton Pritchard,37:14,10,18,.556,2,6,.333,6,6,1.000,1,5,6,6,1,0,2,3,28,23.6,+12
Jordan Walsh,33:43,1,7,.143,0,4,.000,1,1,1.000,2,5,7,2,1,0,0,2,3,3.0,+14
Sam Hauser,33:34,2,4,.500,2,4,.500,1,2,.500,0,3,3,0,0,0,0,1,7,5.1,+13
Jayson Tatum,30:47,12,23,.522,5,10,.500,3,5,.600,0,5,5,8,0,1,0,2,32,26.9,+15
Neemias Queta,28:45,8,13,.615,0,1,.000,1,2,.500,3,5,8,1,1,1,0,4,17,15.1,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Baylor Scheierman,28:22,4,11,.364,3,7,.429,3,4,.750,0,1,1,3,0,0,2,1,14,7.5,+6
Ron Harper Jr.,14:16,3,3,1.000,1,1,1.000,0,0,,0,3,3,1,1,1,0,2,7,8.6,+10
Luka Garza,13:22,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,0,2,2,2.6,+8
Hugo GonzÃ¡lez,12:59,1,2,.500,1,1,1.000,0,0,,1,2,3,0,1,0,0,0,3,4.3,-12
Max Shulga,2:26,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1
Amari Williams,2:26,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-1
Charles Bassey,1:03,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1,1.3,-1
John Tonje,1:03,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-1
Team Totals,240,42,83,.506,14,34,.412,16,22,.727,8,31,39,23,6,3,7,18,114,,
