style,tip
top:222px;left:421px;,"1st quarter, 11:55.0 remaining<br>Sam Hauser missed 3-pointer from 26 ft<br>Boston tied 0-0"
top:80px;left:475px;,"1st quarter, 11:12.0 remaining<br>Jordan Walsh missed 3-pointer from 24 ft<br>Boston tied 0-0"
top:236px;left:82px;,"1st quarter, 10:45.0 remaining<br>Payton Pritchard missed 3-pointer from 26 ft<br>Boston trails 0-3"
top:41px;left:243px;,"1st quarter, 10:22.0 remaining<br>Jayson Tatum made 2-pointer from 1 ft<br>Boston now trails 2-3"
top:119px;left:328px;,"1st quarter, 9:59.0 remaining<br>Jayson Tatum made 2-pointer from 12 ft<br>Boston now leads 4-3"
top:117px;left:304px;,"1st quarter, 9:28.0 remaining<br>Jayson Tatum missed 2-pointer from 11 ft<br>Boston trails 4-5"
top:83px;left:243px;,"1st quarter, 9:01.0 remaining<br>Jordan Walsh missed 2-pointer from 5 ft<br>Boston trails 4-7"
top:178px;left:27px;,"1st quarter, 8:40.0 remaining<br>Jayson Tatum missed 3-pointer from 26 ft<br>Boston trails 4-7"
top:247px;left:429px;,"1st quarter, 8:17.0 remaining<br>Sam Hauser made 3-pointer from 29 ft<br>Boston now tied 7-7"
top:267px;left:394px;,"1st quarter, 7:50.0 remaining<br>Payton Pritchard missed 3-pointer from 28 ft<br>Boston trails 7-9"
top:83px;left:256px;,"1st quarter, 7:43.0 remaining<br>Neemias Queta missed 2-pointer from 6 ft<br>Boston trails 7-9"
top:218px;left:41px;,"1st quarter, 7:15.0 remaining<br>Payton Pritchard made 3-pointer from 27 ft<br>Boston now leads 10-9"
top:59px;left:279px;,"1st quarter, 6:38.0 remaining<br>Jayson Tatum made 2-pointer from 5 ft<br>Boston now leads 12-9"
top:303px;left:217px;,"1st quarter, 6:13.0 remaining<br>Jayson Tatum made 3-pointer from 27 ft<br>Boston now leads 15-9"
top:42px;left:12px;,"1st quarter, 5:49.0 remaining<br>Baylor Scheierman missed 3-pointer from 23 ft<br>Boston leads 15-9"
top:126px;left:248px;,"1st quarter, 4:53.0 remaining<br>Neemias Queta made 2-pointer from 10 ft<br>Boston now leads 17-12"
top:215px;left:442px;,"1st quarter, 4:37.0 remaining<br>Baylor Scheierman missed 3-pointer from 27 ft<br>Boston leads 17-12"
top:146px;left:303px;,"1st quarter, 4:07.0 remaining<br>Baylor Scheierman missed 2-pointer from 13 ft<br>Boston leads 17-14"
top:198px;left:43px;,"1st quarter, 3:58.0 remaining<br>Payton Pritchard missed 3-pointer from 26 ft<br>Boston leads 17-14"
top:64px;left:288px;,"1st quarter, 3:55.0 remaining<br>Neemias Queta made 2-pointer from 6 ft<br>Boston now leads 19-14"
