Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola JokiÄ,36:08,.612,.600,.400,.050,10.5,37.1,24.6,35.8,1.4,0.0,8.9,28.9,128,97,9.1
Jamal Murray,34:27,.704,.667,.333,.417,0.0,19.4,10.3,29.3,3.0,3.4,22.0,24.6,120,97,5.1
Christian Braun,32:49,.676,.625,.375,.250,0.0,10.2,5.4,0.0,0.0,0.0,0.0,12.6,132,109,-5.2
Peyton Watson,22:16,.421,.364,.455,.182,11.3,20.1,16.0,29.5,0.0,5.3,14.4,29.0,100,103,-5.9
Cameron Johnson,19:08,.600,.600,.800,.000,0.0,5.8,3.1,19.8,2.7,6.1,0.0,12.1,137,100,7.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tim Hardaway Jr.,26:07,.735,.700,.800,.200,4.8,8.5,6.8,10.9,3.9,0.0,0.0,19.4,149,100,10.6
Bruce Brown,24:41,.682,.682,.364,.000,0.0,4.5,2.4,0.0,4.2,0.0,8.3,22.6,109,100,-1.1
Julian Strawther,17:38,.500,.500,.429,.000,0.0,12.7,6.7,15.6,0.0,0.0,12.5,21.1,95,108,-7.5
Zeke Nnaji,7:56,,,,,0.0,28.1,14.9,0.0,0.0,0.0,,0.0,0,103,-7.3
Spencer Jones,5:59,,,,,0.0,0.0,0.0,18.7,8.6,19.6,100.0,7.8,55,79,6.9
Jonas ValanÄiÅ«nas,5:07,,,,,0.0,21.8,11.6,21.8,0.0,0.0,,0.0,244,105,2.5
DaRon Holmes,1:56,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1,250,112,67.1
Curtis Jones,1:56,,,,,0.0,0.0,0.0,57.7,26.5,0.0,,0.0,244,48,45.1
Tyus Jones,1:56,,,,,0.0,0.0,0.0,57.7,26.5,0.0,,0.0,244,48,43.9
Jalen Pickett,1:56,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-8.7
Team Totals,240,.635,.610,.465,.140,15.8,79.1,49.4,72.1,11.8,9.8,11.6,100.0,123.9,99.4,
