Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Gui Santos,32:31,.455,.389,.444,.222,6.9,31.1,18.2,14.5,1.6,0.0,28.8,19.9,80,123,-10.5
Brandin Podziemski,31:45,.773,.750,.571,.143,0.0,19.9,9.3,13.2,3.2,3.3,0.0,21.9,147,118,13.8
Draymond Green,29:33,.568,.545,.636,.091,0.0,17.1,8.0,48.3,1.7,0.0,14.9,21.2,115,125,3.7
Kristaps PorziÅÄ£is,28:39,.773,.750,.357,.143,0.0,13.2,6.2,15.5,1.8,0.0,11.8,27.5,124,125,9.3
De'Anthony Melton,25:20,.000,.000,.600,.000,0.0,5.0,2.3,16.2,4.0,0.0,28.6,12.9,27,121,-13.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Pat Spencer,24:10,.339,.333,.444,.333,13.9,10.5,12.3,54.7,4.2,0.0,0.0,19.9,115,120,3.1
Gary Payton II,20:59,.948,.938,.250,.125,5.3,24.1,14.1,12.0,0.0,0.0,0.0,18.8,188,128,7.1
LJ Cryer,16:01,.000,.000,1.000,.000,0.0,0.0,0.0,17.1,0.0,0.0,14.3,20.4,20,132,-25.8
Nate Williams,11:24,.000,.000,.667,.000,9.8,22.2,15.6,0.0,0.0,0.0,25.0,16.4,18,128,-24.8
Seth Curry,7:10,.000,.000,1.000,.000,0.0,17.6,8.3,0.0,0.0,0.0,0.0,6.5,0,129,-19.7
Quinten Post,4:38,.000,.000,.000,.000,24.1,27.3,25.6,0.0,0.0,22.5,0.0,10.1,61,109,-6.3
Malevy Leons,3:55,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,200,132,1.6
Omer Yurtseven,3:55,.000,.000,.000,.000,28.5,32.3,30.3,0.0,0.0,0.0,50.0,23.8,31,127,-28.2
Moses Moody,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Will Richard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.529,.506,.506,.133,20.9,84.2,50.6,82.9,9.6,4.3,14.6,100.0,99.4,123.9,
