Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Gui Santos,32:31,3,9,.333,1,4,.250,2,2,1.000,2,8,10,3,1,0,4,4,9,5.2,-12
Brandin Podziemski,31:45,8,14,.571,5,8,.625,2,2,1.000,0,5,5,2,2,1,0,1,23,21.6,-8
Draymond Green,29:33,5,11,.455,2,7,.286,1,1,1.000,0,4,4,8,1,0,2,2,13,12.3,-14
Kristaps PorziÅÄ£is,28:39,8,14,.571,5,5,1.000,2,2,1.000,0,3,3,2,1,0,2,1,23,17.3,-15
De'Anthony Melton,25:20,0,5,.000,0,3,.000,0,0,,0,1,1,3,2,0,2,0,0,-1.1,-29
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Pat Spencer,24:10,3,9,.333,0,4,.000,1,3,.333,3,2,5,8,2,0,0,2,7,10.6,0
Gary Payton II,20:59,7,8,.875,1,2,.500,1,1,1.000,1,4,5,1,0,0,0,5,16,13.8,-2
LJ Cryer,16:01,0,6,.000,0,6,.000,0,0,,0,0,0,2,0,0,1,1,0,-4.2,-15
Nate Williams,11:24,0,3,.000,0,2,.000,0,0,,1,2,3,0,0,0,1,1,0,-2.2,-3
Seth Curry,7:10,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-8
Quinten Post,4:38,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,0,0,0,1.0,+1
Malevy Leons,3:55,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-5
Omer Yurtseven,3:55,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-0.7,-5
Moses Moody,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Will Richard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,35,83,.422,14,42,.333,9,11,.818,9,32,41,29,9,2,15,18,93,,
