style,tip
top:283px;left:285px;,"1st quarter, 11:25.0 remaining<br>Nikola JokiÄ made 3-pointer from 26 ft<br>Denver now tied 3-3"
top:33px;left:230px;,"1st quarter, 11:01.0 remaining<br>Christian Braun made 2-pointer from 1 ft<br>Denver now tied 5-5"
top:203px;left:64px;,"1st quarter, 10:45.0 remaining<br>Cameron Johnson missed 3-pointer from 25 ft<br>Denver tied 5-5"
top:42px;left:264px;,"1st quarter, 10:19.0 remaining<br>Jamal Murray made 2-pointer from 3 ft<br>Denver now leads 7-5"
top:124px;left:470px;,"1st quarter, 9:53.0 remaining<br>Peyton Watson missed 3-pointer from 25 ft<br>Denver tied 7-7"
top:88px;left:384px;,"1st quarter, 9:12.0 remaining<br>Jamal Murray missed 2-pointer from 16 ft<br>Denver trails 7-10"
top:108px;left:122px;,"1st quarter, 8:40.0 remaining<br>Nikola JokiÄ missed 2-pointer from 14 ft<br>Denver trails 7-10"
top:93px;left:470px;,"1st quarter, 8:05.0 remaining<br>Cameron Johnson made 3-pointer from 24 ft<br>Denver now tied 10-10"
top:93px;left:470px;,"1st quarter, 7:33.0 remaining<br>Peyton Watson made 3-pointer from 24 ft<br>Denver now leads 13-10"
top:38px;left:8px;,"1st quarter, 7:04.0 remaining<br>Christian Braun missed 3-pointer from 23 ft<br>Denver leads 13-10"
top:65px;left:340px;,"1st quarter, 6:33.0 remaining<br>Nikola JokiÄ missed 2-pointer from 11 ft<br>Denver tied 13-13"
top:113px;left:288px;,"1st quarter, 5:49.0 remaining<br>Nikola JokiÄ missed 2-pointer from 10 ft<br>Denver trails 13-15"
top:263px;left:142px;,"1st quarter, 5:19.0 remaining<br>Nikola JokiÄ missed 3-pointer from 25 ft<br>Denver trails 13-18"
top:234px;left:98px;,"1st quarter, 4:17.0 remaining<br>Tim Hardaway Jr. missed 3-pointer from 25 ft<br>Denver trails 15-18"
top:63px;left:246px;,"1st quarter, 3:19.0 remaining<br>Jamal Murray made 2-pointer from 3 ft<br>Denver now trails 17-21"
top:21px;left:249px;,"1st quarter, 2:53.0 remaining<br>Bruce Brown made 2-pointer from 1 ft<br>Denver now trails 19-21"
top:105px;left:277px;,"1st quarter, 2:24.0 remaining<br>Nikola JokiÄ made 2-pointer from 8 ft<br>Denver now trails 21-23"
top:211px;left:441px;,"1st quarter, 1:59.0 remaining<br>Tim Hardaway Jr. missed 3-pointer from 27 ft<br>Denver trails 21-23"
top:279px;left:246px;,"1st quarter, 1:03.0 remaining<br>Cameron Johnson missed 3-pointer from 25 ft<br>Denver trails 21-25"
top:23px;left:374px;,"1st quarter, 0:26.0 remaining<br>Nikola JokiÄ made 2-pointer from 13 ft<br>Denver now trails 23-28"
top:215px;left:293px;,"2nd quarter, 11:48.0 remaining<br>Jamal Murray made 2-pointer from 19 ft<br>Denver now trails 25-28"
top:131px;left:217px;,"2nd quarter, 11:06.0 remaining<br>Cameron Johnson missed 2-pointer from 10 ft<br>Denver trails 25-28"
top:328px;left:303px;,"2nd quarter, 11:01.0 remaining<br>Bruce Brown made 3-pointer from 30 ft<br>Denver now tied 28-28"
top:203px;left:429px;,"2nd quarter, 10:24.0 remaining<br>Jamal Murray missed 3-pointer from 26 ft<br>Denver tied 28-28"
top:308px;left:296px;,"2nd quarter, 8:51.0 remaining<br>Tim Hardaway Jr. made 3-pointer from 28 ft<br>Denver now leads 32-28"
top:132px;left:253px;,"2nd quarter, 8:01.0 remaining<br>Jamal Murray missed 2-pointer from 10 ft<br>Denver leads 32-30"
top:122px;left:478px;,"2nd quarter, 7:19.0 remaining<br>Tim Hardaway Jr. missed 3-pointer from 26 ft<br>Denver tied 32-32"
top:88px;left:246px;,"2nd quarter, 6:32.0 remaining<br>Jamal Murray missed 2-pointer from 6 ft<br>Denver trails 32-36"
top:175px;left:283px;,"2nd quarter, 5:56.0 remaining<br>Bruce Brown made 2-pointer from 15 ft<br>Denver now trails 34-39"
top:52px;left:264px;,"2nd quarter, 5:37.0 remaining<br>Julian Strawther missed 2-pointer from 3 ft<br>Denver trails 34-41"
top:226px;left:403px;,"2nd quarter, 5:08.0 remaining<br>Julian Strawther missed 3-pointer from 25 ft<br>Denver trails 34-44"
top:59px;left:290px;,"2nd quarter, 3:54.0 remaining<br>Bruce Brown missed 2-pointer from 6 ft<br>Denver trails 34-47"
top:243px;left:381px;,"2nd quarter, 3:18.0 remaining<br>Nikola JokiÄ made 3-pointer from 26 ft<br>Denver now trails 39-49"
top:83px;left:308px;,"2nd quarter, 2:51.0 remaining<br>Nikola JokiÄ made 2-pointer from 9 ft<br>Denver now trails 41-49"
top:113px;left:346px;,"2nd quarter, 2:04.0 remaining<br>Peyton Watson missed 2-pointer from 13 ft<br>Denver trails 42-51"
top:31px;left:227px;,"2nd quarter, 2:01.0 remaining<br>Nikola JokiÄ missed 2-pointer from 1 ft<br>Denver trails 42-51"
top:118px;left:322px;,"2nd quarter, 1:34.0 remaining<br>Peyton Watson made 2-pointer from 12 ft<br>Denver now trails 44-51"
top:114px;left:244px;,"2nd quarter, 0:55.0 remaining<br>Nikola JokiÄ missed 2-pointer from 8 ft<br>Denver trails 44-53"
top:116px;left:237px;,"2nd quarter, 0:09.0 remaining<br>Nikola JokiÄ made 2-pointer from 9 ft<br>Denver now trails 46-53"
top:256px;left:358px;,"3rd quarter, 11:49.0 remaining<br>Nikola JokiÄ missed 3-pointer from 26 ft<br>Denver trails 46-53"
top:115px;left:11px;,"3rd quarter, 11:26.0 remaining<br>Cameron Johnson made 3-pointer from 24 ft<br>Denver now trails 49-53"
top:296px;left:299px;,"3rd quarter, 10:50.0 remaining<br>Peyton Watson made 3-pointer from 27 ft<br>Denver now trails 52-55"
top:233px;left:57px;,"3rd quarter, 10:09.0 remaining<br>Nikola JokiÄ made 3-pointer from 27 ft<br>Denver now trails 55-57"
top:86px;left:124px;,"3rd quarter, 9:49.0 remaining<br>Peyton Watson missed 2-pointer from 13 ft<br>Denver trails 55-57"
top:208px;left:434px;,"3rd quarter, 9:20.0 remaining<br>Peyton Watson missed 3-pointer from 26 ft<br>Denver trails 55-59"
top:77px;left:468px;,"3rd quarter, 8:49.0 remaining<br>Christian Braun missed 3-pointer from 23 ft<br>Denver trails 55-61"
top:193px;left:42px;,"3rd quarter, 8:39.0 remaining<br>Jamal Murray made 3-pointer from 26 ft<br>Denver now trails 58-61"
top:231px;left:396px;,"3rd quarter, 7:26.0 remaining<br>Tim Hardaway Jr. made 3-pointer from 25 ft<br>Denver now tied 61-61"
