style,tip
top:200px;left:42px;,"1st quarter, 11:45.0 remaining<br>Kristaps PorziÅÄ£is made 3-pointer from 26 ft<br>Golden State now leads 3-0"
top:34px;left:244px;,"1st quarter, 11:08.0 remaining<br>Draymond Green made 2-pointer from 1 ft<br>Golden State now leads 5-3"
top:298px;left:201px;,"1st quarter, 10:50.0 remaining<br>Brandin Podziemski missed 3-pointer from 27 ft<br>Golden State tied 5-5"
top:287px;left:263px;,"1st quarter, 10:34.0 remaining<br>Draymond Green missed 3-pointer from 26 ft<br>Golden State tied 5-5"
top:228px;left:62px;,"1st quarter, 10:29.0 remaining<br>Brandin Podziemski missed 3-pointer from 27 ft<br>Golden State tied 5-5"
top:38px;left:237px;,"1st quarter, 10:06.0 remaining<br>Gui Santos made 2-pointer from 1 ft<br>Golden State now tied 7-7"
top:69px;left:5px;,"1st quarter, 9:34.0 remaining<br>Draymond Green made 3-pointer from 24 ft<br>Golden State now leads 10-7"
top:75px;left:463px;,"1st quarter, 8:57.0 remaining<br>Draymond Green missed 3-pointer from 23 ft<br>Golden State leads 10-7"
top:180px;left:122px;,"1st quarter, 8:25.0 remaining<br>Kristaps PorziÅÄ£is missed 2-pointer from 19 ft<br>Golden State leads 10-7"
top:257px;left:333px;,"1st quarter, 7:49.0 remaining<br>De'Anthony Melton missed 3-pointer from 25 ft<br>Golden State tied 10-10"
top:296px;left:304px;,"1st quarter, 7:18.0 remaining<br>LJ Cryer missed 3-pointer from 27 ft<br>Golden State trails 10-13"
top:51px;left:240px;,"1st quarter, 6:46.0 remaining<br>Gary Payton II made 2-pointer from 2 ft<br>Golden State now trails 12-13"
top:136px;left:338px;,"1st quarter, 6:17.0 remaining<br>Pat Spencer made 2-pointer from 14 ft<br>Golden State now leads 15-13"
top:293px;left:271px;,"1st quarter, 5:33.0 remaining<br>Draymond Green made 3-pointer from 26 ft<br>Golden State now leads 18-13"
top:53px;left:12px;,"1st quarter, 4:59.0 remaining<br>Draymond Green missed 3-pointer from 23 ft<br>Golden State leads 18-13"
top:265px;left:62px;,"1st quarter, 4:50.0 remaining<br>Pat Spencer missed 3-pointer from 30 ft<br>Golden State leads 18-13"
top:122px;left:2px;,"1st quarter, 4:24.0 remaining<br>Gui Santos missed 3-pointer from 25 ft<br>Golden State leads 18-15"
top:68px;left:474px;,"1st quarter, 3:59.0 remaining<br>Nate Williams missed 3-pointer from 24 ft<br>Golden State leads 18-15"
top:59px;left:465px;,"1st quarter, 3:33.0 remaining<br>Gui Santos made 3-pointer from 23 ft<br>Golden State now leads 21-15"
top:142px;left:187px;,"1st quarter, 2:39.0 remaining<br>Brandin Podziemski made 2-pointer from 12 ft<br>Golden State now leads 23-19"
top:63px;left:5px;,"1st quarter, 1:36.0 remaining<br>Nate Williams missed 3-pointer from 24 ft<br>Golden State leads 23-21"
top:179px;left:218px;,"1st quarter, 1:22.0 remaining<br>Brandin Podziemski made 2-pointer from 15 ft<br>Golden State now leads 25-21"
top:160px;left:17px;,"1st quarter, 0:44.0 remaining<br>Gui Santos missed 3-pointer from 26 ft<br>Golden State leads 25-21"
top:74px;left:200px;,"1st quarter, 0:39.0 remaining<br>Gui Santos missed 2-pointer from 6 ft<br>Golden State leads 25-21"
top:218px;left:44px;,"1st quarter, 0:37.0 remaining<br>Kristaps PorziÅÄ£is made 3-pointer from 27 ft<br>Golden State now leads 28-21"
top:32px;left:268px;,"2nd quarter, 10:46.0 remaining<br>Gui Santos missed 2-pointer from 3 ft<br>Golden State tied 28-28"
top:118px;left:465px;,"2nd quarter, 10:43.0 remaining<br>De'Anthony Melton missed 3-pointer from 24 ft<br>Golden State tied 28-28"
top:215px;left:147px;,"2nd quarter, 10:13.0 remaining<br>De'Anthony Melton missed 2-pointer from 21 ft<br>Golden State tied 28-28"
top:96px;left:227px;,"2nd quarter, 8:30.0 remaining<br>Kristaps PorziÅÄ£is made 2-pointer from 7 ft<br>Golden State now trails 30-32"
top:44px;left:242px;,"2nd quarter, 7:44.0 remaining<br>Draymond Green made 2-pointer from 1 ft<br>Golden State now tied 32-32"
top:27px;left:219px;,"2nd quarter, 7:11.0 remaining<br>Gary Payton II made 2-pointer from 2 ft<br>Golden State now leads 34-32"
top:41px;left:231px;,"2nd quarter, 6:48.0 remaining<br>Gary Payton II made 2-pointer from 1 ft<br>Golden State now leads 36-32"
top:93px;left:472px;,"2nd quarter, 6:10.0 remaining<br>Kristaps PorziÅÄ£is made 3-pointer from 24 ft<br>Golden State now leads 39-32"
top:127px;left:254px;,"2nd quarter, 5:46.0 remaining<br>Gary Payton II made 2-pointer from 10 ft<br>Golden State now leads 41-34"
top:287px;left:76px;,"2nd quarter, 5:33.0 remaining<br>Kristaps PorziÅÄ£is made 3-pointer from 30 ft<br>Golden State now leads 44-34"
top:165px;left:184px;,"2nd quarter, 4:48.0 remaining<br>Kristaps PorziÅÄ£is missed 2-pointer from 15 ft<br>Golden State leads 44-34"
top:256px;left:93px;,"2nd quarter, 4:32.0 remaining<br>Pat Spencer missed 3-pointer from 27 ft<br>Golden State leads 44-34"
top:36px;left:-5px;,"2nd quarter, 4:08.0 remaining<br>Brandin Podziemski made 3-pointer from 25 ft<br>Golden State now leads 47-34"
top:51px;left:223px;,"2nd quarter, 3:38.0 remaining<br>Brandin Podziemski missed 2-pointer from 3 ft<br>Golden State leads 47-36"
top:51px;left:227px;,"2nd quarter, 3:34.0 remaining<br>Pat Spencer made 2-pointer from 2 ft<br>Golden State now leads 49-36"
top:41px;left:224px;,"2nd quarter, 2:58.0 remaining<br>De'Anthony Melton missed 2-pointer from 2 ft<br>Golden State leads 49-39"
top:84px;left:257px;,"2nd quarter, 1:51.0 remaining<br>Quinten Post missed 2-pointer from 6 ft<br>Golden State leads 51-42"
top:33px;left:248px;,"2nd quarter, 1:13.0 remaining<br>Gui Santos made 2-pointer from 1 ft<br>Golden State now leads 53-44"
