Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Andrew Wiggins,37:29,.504,.464,.429,.143,10.5,7.3,9.1,16.2,2.5,4.8,6.3,17.9,119,124,1.5
Tyler Herro,36:21,.677,.659,.591,.091,2.7,7.5,4.7,17.5,0.0,0.0,0.0,26.5,139,134,6.6
Pelle Larsson,35:45,.609,.636,.091,.273,0.0,19.2,8.0,11.0,0.0,0.0,7.5,15.7,116,134,-6.6
Davion Mitchell,35:29,.761,.786,.286,.286,0.0,11.6,4.8,27.6,2.6,0.0,11.3,10.5,151,128,0.2
Bam Adebayo,32:57,.422,.375,.188,.250,0.0,49.9,20.8,11.7,0.0,2.7,5.3,24.0,90,129,-6.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaime Jaquez Jr.,25:43,.487,.471,.294,.059,11.4,26.7,17.8,11.3,0.0,0.0,5.4,30.2,104,133,-4.2
Kel'el Ware,15:03,.500,.500,.600,.000,0.0,27.3,11.4,16.1,3.1,0.0,0.0,14.0,115,126,1.1
Kasparas JakuÄionis,12:31,.868,.750,1.000,1.000,0.0,0.0,0.0,9.1,0.0,0.0,25.8,13.1,131,135,-3.8
Simone Fontecchio,7:14,.102,.000,.500,.500,13.5,0.0,7.9,14.4,0.0,0.0,0.0,28.4,52,134,-27.4
Myron Gardner,1:28,1.000,1.000,.000,.000,66.8,0.0,39.0,0.0,0.0,61.7,50.0,57.5,95,73,11.3
Keshad Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nikola JoviÄ,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Norman Powell,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Dru Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.552,.530,.374,.182,20.4,91.4,50.0,63.0,4.8,7.5,6.1,100.0,113.9,130.3,
