Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Andrew Wiggins,37:29,5,14,.357,3,6,.500,2,2,1.000,4,2,6,5,2,2,1,3,15,15.3,-13
Tyler Herro,36:21,12,22,.545,5,13,.385,2,2,1.000,1,2,3,4,0,0,0,1,31,24.1,-11
Pelle Larsson,35:45,7,11,.636,0,1,.000,1,3,.333,0,5,5,3,0,0,1,3,15,10.7,-6
Davion Mitchell,35:29,5,7,.714,1,2,.500,1,2,.500,0,3,3,8,2,0,1,4,12,14.6,-9
Bam Adebayo,32:57,6,16,.375,0,3,.000,3,4,.750,0,12,12,3,0,1,1,1,15,10.8,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaime Jaquez Jr.,25:43,7,17,.412,2,5,.400,1,1,1.000,3,5,8,2,0,0,1,1,17,11.5,-10
Kel'el Ware,15:03,2,5,.400,1,3,.333,0,0,,0,3,3,2,1,0,0,1,5,5.2,-8
Kasparas JakuÄionis,12:31,1,2,.500,1,2,.500,2,2,1.000,0,0,0,1,0,0,1,0,5,3.7,-8
Simone Fontecchio,7:14,0,4,.000,0,2,.000,1,2,.500,1,0,1,1,0,0,0,2,1,-1.6,-4
Myron Gardner,1:28,1,1,1.000,0,0,,0,0,,1,0,1,0,0,1,1,1,2,1.7,-7
Keshad Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nikola JoviÄ,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Norman Powell,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Dru Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,99,.465,13,37,.351,13,18,.722,10,32,42,29,5,4,7,17,118,,
