style,tip
top:263px;left:318px;,"1st quarter, 11:39.0 remaining<br>Pascal Siakam missed 3-pointer from 25 ft<br>Indiana tied 0-0"
top:70px;left:268px;,"1st quarter, 11:22.0 remaining<br>Andrew Nembhard made 2-pointer from 5 ft<br>Indiana now leads 2-0"
top:158px;left:187px;,"1st quarter, 8:47.0 remaining<br>Andrew Nembhard missed 2-pointer from 14 ft<br>Indiana trails 3-7"
top:67px;left:468px;,"1st quarter, 8:30.0 remaining<br>Micah Potter missed 3-pointer from 23 ft<br>Indiana trails 3-9"
top:54px;left:224px;,"1st quarter, 8:07.0 remaining<br>Quenton Jackson made 2-pointer from 3 ft<br>Indiana now trails 5-9"
top:259px;left:81px;,"1st quarter, 7:42.0 remaining<br>Jalen Slawson missed 3-pointer from 28 ft<br>Indiana trails 5-11"
top:62px;left:255px;,"1st quarter, 6:29.0 remaining<br>Andrew Nembhard made 2-pointer from 4 ft<br>Indiana now trails 7-13"
top:28px;left:2px;,"1st quarter, 6:06.0 remaining<br>Micah Potter made 3-pointer from 24 ft<br>Indiana now trails 10-15"
top:80px;left:5px;,"1st quarter, 5:42.0 remaining<br>Micah Potter made 3-pointer from 24 ft<br>Indiana now trails 13-17"
top:34px;left:252px;,"1st quarter, 5:11.0 remaining<br>Kobe Brown made 2-pointer from 1 ft<br>Indiana now trails 15-20"
top:278px;left:101px;,"1st quarter, 4:33.0 remaining<br>T.J. McConnell made 3-pointer from 28 ft<br>Indiana now trails 18-22"
top:49px;left:0px;,"1st quarter, 4:05.0 remaining<br>Micah Potter made 3-pointer from 24 ft<br>Indiana now trails 21-22"
top:52px;left:463px;,"1st quarter, 3:31.0 remaining<br>Micah Potter made 3-pointer from 22 ft<br>Indiana now trails 24-25"
top:147px;left:205px;,"1st quarter, 3:07.0 remaining<br>T.J. McConnell missed 2-pointer from 12 ft<br>Indiana trails 24-26"
top:279px;left:145px;,"1st quarter, 2:48.0 remaining<br>T.J. McConnell made 3-pointer from 27 ft<br>Indiana now leads 27-26"
top:51px;left:236px;,"1st quarter, 2:17.0 remaining<br>Micah Potter made 2-pointer from 2 ft<br>Indiana now leads 29-26"
top:34px;left:483px;,"1st quarter, 1:52.0 remaining<br>Ben Sheppard missed 3-pointer from 24 ft<br>Indiana tied 29-29"
top:48px;left:150px;,"1st quarter, 1:18.0 remaining<br>T.J. McConnell made 2-pointer from 9 ft<br>Indiana now tied 31-31"
top:36px;left:369px;,"1st quarter, 0:05.0 remaining<br>T.J. McConnell made 2-pointer from 13 ft<br>Indiana now tied 33-33"
top:37px;left:253px;,"2nd quarter, 11:33.0 remaining<br>Kobe Brown made 2-pointer from 1 ft<br>Indiana now trails 36-38"
top:292px;left:294px;,"2nd quarter, 10:54.0 remaining<br>Kobe Brown made 3-pointer from 27 ft<br>Indiana now tied 40-40"
top:58px;left:0px;,"2nd quarter, 9:55.0 remaining<br>Pascal Siakam made 3-pointer from 24 ft<br>Indiana now leads 43-41"
top:58px;left:2px;,"2nd quarter, 9:34.0 remaining<br>Ethan Thompson missed 3-pointer from 24 ft<br>Indiana tied 43-43"
top:277px;left:357px;,"2nd quarter, 9:04.0 remaining<br>Obi Toppin made 3-pointer from 27 ft<br>Indiana now leads 46-43"
top:64px;left:224px;,"2nd quarter, 8:31.0 remaining<br>Pascal Siakam made 2-pointer from 4 ft<br>Indiana now leads 48-43"
top:38px;left:261px;,"2nd quarter, 8:07.0 remaining<br>Quenton Jackson made 2-pointer from 2 ft<br>Indiana now leads 50-46"
top:290px;left:148px;,"2nd quarter, 7:46.0 remaining<br>Obi Toppin missed 3-pointer from 28 ft<br>Indiana leads 50-48"
top:53px;left:106px;,"2nd quarter, 7:07.0 remaining<br>Obi Toppin made 2-pointer from 14 ft<br>Indiana now leads 52-50"
top:43px;left:265px;,"2nd quarter, 6:43.0 remaining<br>Quenton Jackson missed 2-pointer from 3 ft<br>Indiana leads 53-50"
top:198px;left:458px;,"2nd quarter, 6:17.0 remaining<br>Pascal Siakam made 3-pointer from 28 ft<br>Indiana now leads 56-52"
top:288px;left:252px;,"2nd quarter, 6:04.0 remaining<br>Pascal Siakam made 3-pointer from 26 ft<br>Indiana now leads 59-52"
top:46px;left:273px;,"2nd quarter, 5:19.0 remaining<br>Pascal Siakam made 2-pointer from 4 ft<br>Indiana now leads 61-57"
top:154px;left:477px;,"2nd quarter, 5:02.0 remaining<br>Obi Toppin missed 3-pointer from 27 ft<br>Indiana leads 61-57"
top:29px;left:234px;,"2nd quarter, 4:48.0 remaining<br>Quenton Jackson made 2-pointer from 1 ft<br>Indiana now leads 63-57"
top:115px;left:114px;,"2nd quarter, 4:13.0 remaining<br>Pascal Siakam made 2-pointer from 15 ft<br>Indiana now leads 65-59"
top:184px;left:273px;,"2nd quarter, 3:17.0 remaining<br>Pascal Siakam made 2-pointer from 16 ft<br>Indiana now leads 69-62"
top:80px;left:2px;,"2nd quarter, 2:55.0 remaining<br>Micah Potter made 3-pointer from 24 ft<br>Indiana now leads 72-62"
top:48px;left:268px;,"2nd quarter, 2:25.0 remaining<br>Ben Sheppard made 2-pointer from 3 ft<br>Indiana now leads 74-64"
top:49px;left:259px;,"2nd quarter, 2:05.0 remaining<br>Pascal Siakam missed 2-pointer from 3 ft<br>Indiana leads 74-64"
top:49px;left:7px;,"2nd quarter, 1:46.0 remaining<br>Kobe Brown missed 3-pointer from 23 ft<br>Indiana leads 74-66"
top:292px;left:217px;,"2nd quarter, 1:25.0 remaining<br>Pascal Siakam missed 3-pointer from 26 ft<br>Indiana leads 74-68"
top:96px;left:333px;,"2nd quarter, 1:02.0 remaining<br>Kobe Brown made 2-pointer from 11 ft<br>Indiana now leads 76-70"
