style,tip
top:39px;left:129px;,"1st quarter, 11:29.0 remaining<br>Andrew Wiggins missed 2-pointer from 11 ft<br>Miami tied 0-0"
top:168px;left:467px;,"1st quarter, 11:06.0 remaining<br>Tyler Herro missed 3-pointer from 27 ft<br>Miami trails 0-2"
top:106px;left:298px;,"1st quarter, 10:14.0 remaining<br>Tyler Herro made 2-pointer from 10 ft<br>Miami now trails 2-3"
top:47px;left:19px;,"1st quarter, 9:35.0 remaining<br>Andrew Wiggins made 3-pointer from 22 ft<br>Miami now leads 5-3"
top:45px;left:257px;,"1st quarter, 8:40.0 remaining<br>Pelle Larsson made 2-pointer from 2 ft<br>Miami now leads 9-3"
top:167px;left:22px;,"1st quarter, 8:16.0 remaining<br>Tyler Herro missed 3-pointer from 26 ft<br>Miami leads 9-3"
top:88px;left:265px;,"1st quarter, 7:57.0 remaining<br>Tyler Herro made 2-pointer from 6 ft<br>Miami now leads 11-5"
top:48px;left:215px;,"1st quarter, 7:20.0 remaining<br>Davion Mitchell made 2-pointer from 3 ft<br>Miami now leads 13-5"
top:139px;left:463px;,"1st quarter, 6:38.0 remaining<br>Tyler Herro missed 3-pointer from 25 ft<br>Miami leads 13-5"
top:80px;left:296px;,"1st quarter, 6:19.0 remaining<br>Tyler Herro made 2-pointer from 7 ft<br>Miami now leads 15-7"
top:238px;left:94px;,"1st quarter, 5:26.0 remaining<br>Davion Mitchell made 3-pointer from 25 ft<br>Miami now leads 20-13"
top:57px;left:124px;,"1st quarter, 4:50.0 remaining<br>Tyler Herro made 2-pointer from 12 ft<br>Miami now leads 22-15"
top:27px;left:8px;,"1st quarter, 4:16.0 remaining<br>Jaime Jaquez Jr. missed 3-pointer from 23 ft<br>Miami leads 22-18"
top:158px;left:17px;,"1st quarter, 3:46.0 remaining<br>Tyler Herro made 3-pointer from 26 ft<br>Miami now leads 25-21"
top:68px;left:274px;,"1st quarter, 3:16.0 remaining<br>Simone Fontecchio missed 2-pointer from 5 ft<br>Miami leads 25-24"
top:42px;left:273px;,"1st quarter, 3:02.0 remaining<br>Simone Fontecchio missed 2-pointer from 3 ft<br>Miami leads 26-24"
top:303px;left:220px;,"1st quarter, 2:32.0 remaining<br>Simone Fontecchio missed 3-pointer from 27 ft<br>Miami trails 26-27"
top:337px;left:220px;,"1st quarter, 2:03.0 remaining<br>Tyler Herro made 3-pointer from 31 ft<br>Miami now tied 29-29"
top:293px;left:334px;,"1st quarter, 1:45.0 remaining<br>Tyler Herro missed 3-pointer from 28 ft<br>Miami tied 29-29"
top:48px;left:332px;,"1st quarter, 1:32.0 remaining<br>Tyler Herro made 2-pointer from 9 ft<br>Miami now leads 31-29"
top:38px;left:215px;,"1st quarter, 0:25.0 remaining<br>Kel'el Ware made 2-pointer from 3 ft<br>Miami now leads 33-31"
top:308px;left:328px;,"1st quarter, 0:00.0 remaining<br>Jaime Jaquez Jr. made 3-pointer from 29 ft<br>Miami now leads 36-34"
top:77px;left:263px;,"2nd quarter, 11:44.0 remaining<br>Jaime Jaquez Jr. made 2-pointer from 5 ft<br>Miami now leads 38-34"
top:88px;left:232px;,"2nd quarter, 11:12.0 remaining<br>Pelle Larsson made 2-pointer from 6 ft<br>Miami now leads 40-37"
top:88px;left:328px;,"2nd quarter, 10:39.0 remaining<br>Jaime Jaquez Jr. missed 2-pointer from 11 ft<br>Miami tied 40-40"
top:247px;left:87px;,"2nd quarter, 10:19.0 remaining<br>Simone Fontecchio missed 3-pointer from 27 ft<br>Miami tied 40-40"
top:290px;left:228px;,"2nd quarter, 9:14.0 remaining<br>Kasparas JakuÄionis missed 3-pointer from 26 ft<br>Miami tied 43-43"
top:52px;left:222px;,"2nd quarter, 8:50.0 remaining<br>Kel'el Ware missed 2-pointer from 3 ft<br>Miami trails 43-46"
top:37px;left:186px;,"2nd quarter, 8:22.0 remaining<br>Jaime Jaquez Jr. made 2-pointer from 5 ft<br>Miami now trails 45-48"
top:55px;left:261px;,"2nd quarter, 7:57.0 remaining<br>Bam Adebayo made 2-pointer from 3 ft<br>Miami now trails 48-50"
top:45px;left:220px;,"2nd quarter, 7:29.0 remaining<br>Pelle Larsson made 2-pointer from 3 ft<br>Miami now tied 50-50"
top:44px;left:217px;,"2nd quarter, 6:31.0 remaining<br>Pelle Larsson missed 2-pointer from 3 ft<br>Miami trails 50-53"
top:55px;left:248px;,"2nd quarter, 6:28.0 remaining<br>Myron Gardner made 2-pointer from 3 ft<br>Miami now trails 52-53"
top:291px;left:173px;,"2nd quarter, 5:48.0 remaining<br>Tyler Herro made 3-pointer from 27 ft<br>Miami now trails 55-59"
top:50px;left:228px;,"2nd quarter, 5:25.0 remaining<br>Tyler Herro made 2-pointer from 2 ft<br>Miami now trails 57-59"
top:182px;left:27px;,"2nd quarter, 5:09.0 remaining<br>Tyler Herro missed 3-pointer from 26 ft<br>Miami trails 57-61"
top:27px;left:209px;,"2nd quarter, 4:28.0 remaining<br>Pelle Larsson made 2-pointer from 3 ft<br>Miami now trails 59-63"
top:200px;left:170px;,"2nd quarter, 3:39.0 remaining<br>Andrew Wiggins missed 2-pointer from 18 ft<br>Miami trails 60-67"
top:206px;left:63px;,"2nd quarter, 3:08.0 remaining<br>Andrew Wiggins missed 3-pointer from 25 ft<br>Miami trails 62-69"
top:52px;left:220px;,"2nd quarter, 2:42.0 remaining<br>Davion Mitchell made 2-pointer from 3 ft<br>Miami now trails 64-72"
top:113px;left:273px;,"2nd quarter, 2:15.0 remaining<br>Bam Adebayo missed 2-pointer from 9 ft<br>Miami trails 64-74"
top:60px;left:261px;,"2nd quarter, 1:58.0 remaining<br>Andrew Wiggins made 2-pointer from 4 ft<br>Miami now trails 66-74"
top:59px;left:282px;,"2nd quarter, 1:35.0 remaining<br>Jaime Jaquez Jr. made 2-pointer from 5 ft<br>Miami now trails 68-74"
top:47px;left:256px;,"2nd quarter, 1:16.0 remaining<br>Jaime Jaquez Jr. made 2-pointer from 2 ft<br>Miami now trails 70-74"
