Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
John Collins,35:13,.724,.692,.154,.385,4.5,7.6,6.2,12.5,0.0,4.1,6.2,21.0,146,121,-2.9
Darius Garland,26:40,.759,.722,.778,.222,0.0,10.0,5.5,55.0,3.7,0.0,33.6,25.4,125,115,4.3
Derrick Jones Jr.,25:43,.722,.722,.111,.000,0.0,20.7,11.3,0.0,3.8,5.7,10.0,17.7,122,110,-2.0
Brook Lopez,25:19,.769,.667,.333,1.667,0.0,36.9,20.1,4.6,7.7,11.5,0.0,9.4,168,95,8.7
Kawhi Leonard,22:34,.625,.625,.438,.000,21.3,29.5,25.8,15.2,0.0,0.0,5.9,34.3,128,122,1.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kris Dunn,31:35,1.000,1.000,.600,.000,0.0,8.4,4.6,19.5,3.1,0.0,28.6,10.1,147,116,1.7
Bennedict Mathurin,27:12,.866,.750,.100,1.400,5.9,24.5,16.0,5.4,0.0,0.0,19.8,33.8,142,122,-0.1
Jordan Miller,23:51,.317,.286,.429,.286,13.4,16.8,15.2,14.7,6.1,0.0,11.3,17.0,95,108,-5.4
Nicolas Batum,11:53,.375,.375,1.000,.000,0.0,22.4,12.2,9.9,0.0,0.0,0.0,15.3,96,122,-8.9
Kobe Sanders,10:00,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,4.9,0.0,50.0,9.1,96,113,0.1
Bogdan BogdanoviÄ,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cam Christie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Norchad Omier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Sean Pedulla,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.711,.669,.390,.364,23.3,88.9,59.1,60.0,14.2,12.1,15.2,100.0,129.1,114.8,
