Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Pete Nance,38:33,.278,.278,.667,.000,3.5,8.3,5.7,3.3,2.5,0.0,18.2,13.0,58,131,-12.9
Gary Trent Jr.,37:17,.791,.786,.714,.190,0.0,8.6,3.9,21.0,2.6,0.0,18.0,33.8,123,131,4.7
Andre Jackson Jr.,33:09,.732,.688,.250,.250,4.0,24.1,13.2,0.0,2.9,0.0,31.1,17.7,96,128,-7.8
Jericho Sims,22:34,.600,.600,.000,.000,11.8,21.3,16.1,19.0,2.2,0.0,28.6,14.1,116,130,-4.4
Ousmane Dieng,21:49,.394,.375,.500,.250,0.0,14.7,6.7,26.3,2.2,0.0,25.3,24.8,79,131,-16.3
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Taurean Prince,38:13,.750,.750,.583,.000,0.0,25.1,11.4,32.2,2.6,2.7,29.4,20.2,118,127,4.3
A.J. Green,28:03,.735,.625,.625,.625,0.0,17.1,7.8,15.5,3.5,0.0,0.0,16.5,158,128,1.9
Cormac Ryan,20:22,.945,.917,.833,.333,0.0,0.0,0.0,0.0,2.4,0.0,12.7,17.6,148,133,1.9
Bobby Portis,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Ryan Rollins,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Myles Turner,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.676,.649,.571,.195,11.1,76.7,40.9,57.5,13.2,2.1,20.8,100.0,114.8,129.1,
