Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
John Collins,35:13,9,13,.692,0,2,.000,4,5,.800,1,2,3,3,0,1,1,5,22,17.2,-1
Darius Garland,26:40,5,9,.556,3,7,.429,2,2,1.000,0,2,2,11,2,0,5,0,15,16.0,+19
Derrick Jones Jr.,25:43,6,9,.667,1,1,1.000,0,0,,0,4,4,0,2,1,1,4,13,10.4,+14
Brook Lopez,25:19,2,3,.667,0,1,.000,4,5,.800,0,7,7,1,4,2,0,2,8,13.7,+23
Kawhi Leonard,22:34,8,16,.500,4,7,.571,0,0,,3,5,8,2,0,0,1,1,20,15.6,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Kris Dunn,31:35,4,5,.800,2,3,.667,0,0,,0,2,2,5,2,0,2,3,10,11.0,+10
Bennedict Mathurin,27:12,7,10,.700,1,1,1.000,13,14,.929,1,5,6,1,0,0,4,2,28,21.5,-3
Jordan Miller,23:51,2,7,.286,0,3,.000,1,2,.500,2,3,5,3,3,0,1,1,5,6.5,+1
Nicolas Batum,11:53,1,4,.250,1,4,.250,0,0,,0,2,2,1,0,0,0,0,3,1.9,+5
Kobe Sanders,10:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,1,1,3,2.3,-9
Bogdan BogdanoviÄ,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cam Christie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Norchad Omier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Sean Pedulla,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,77,.584,13,30,.433,24,28,.857,7,32,39,27,14,4,16,19,127,,
