Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Pete Nance,38:33,2,9,.222,1,6,.167,0,0,,1,2,3,1,2,0,2,2,5,0.7,-10
Gary Trent Jr.,37:17,12,21,.571,9,15,.600,3,4,.750,0,2,2,4,2,0,5,4,36,24.5,-8
Andre Jackson Jr.,33:09,5,8,.625,1,2,.500,2,2,1.000,1,5,6,0,2,0,4,5,13,7.6,-15
Jericho Sims,22:34,3,5,.600,0,0,,0,0,,2,3,5,3,1,0,2,3,6,5.9,-16
Ousmane Dieng,21:49,3,8,.375,0,4,.000,1,2,.500,0,2,2,4,1,0,3,6,7,1.2,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Taurean Prince,38:13,7,12,.583,4,7,.571,0,0,,0,6,6,8,2,1,5,1,18,17.1,-2
A.J. Green,28:03,4,8,.500,2,5,.400,5,5,1.000,0,3,3,3,2,0,0,6,15,13.6,-18
Cormac Ryan,20:22,4,6,.667,3,5,.600,2,2,1.000,0,0,0,0,1,0,1,3,13,9.2,+4
Bobby Portis,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Ryan Rollins,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Myles Turner,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,40,77,.519,20,44,.455,13,15,.867,4,23,27,23,13,1,22,30,113,,
