style,tip
top:303px;left:241px;,"1st quarter, 11:20.0 remaining<br>Darius Garland missed 3-pointer from 27 ft<br>LA Clippers tied 0-0"
top:132px;left:121px;,"1st quarter, 11:04.0 remaining<br>John Collins made 2-pointer from 16 ft<br>LA Clippers now leads 2-0"
top:298px;left:269px;,"1st quarter, 10:28.0 remaining<br>John Collins missed 3-pointer from 27 ft<br>LA Clippers tied 2-2"
top:316px;left:202px;,"1st quarter, 10:02.0 remaining<br>Darius Garland made 3-pointer from 29 ft<br>LA Clippers now leads 5-4"
top:168px;left:233px;,"1st quarter, 9:35.0 remaining<br>Kawhi Leonard made 2-pointer from 14 ft<br>LA Clippers now leads 7-4"
top:48px;left:228px;,"1st quarter, 9:06.0 remaining<br>John Collins made 2-pointer from 2 ft<br>LA Clippers now leads 9-7"
top:148px;left:240px;,"1st quarter, 8:38.0 remaining<br>Derrick Jones Jr. missed 2-pointer from 12 ft<br>LA Clippers leads 9-7"
top:52px;left:231px;,"1st quarter, 8:20.0 remaining<br>Darius Garland made 2-pointer from 2 ft<br>LA Clippers now leads 11-7"
top:38px;left:238px;,"1st quarter, 7:29.0 remaining<br>Derrick Jones Jr. made 2-pointer from 1 ft<br>LA Clippers now tied 13-13"
top:265px;left:105px;,"1st quarter, 6:54.0 remaining<br>Kawhi Leonard missed 3-pointer from 27 ft<br>LA Clippers trails 13-15"
top:63px;left:467px;,"1st quarter, 6:40.0 remaining<br>Kawhi Leonard made 3-pointer from 23 ft<br>LA Clippers now leads 16-15"
top:59px;left:235px;,"1st quarter, 5:33.0 remaining<br>Kawhi Leonard missed 2-pointer from 3 ft<br>LA Clippers leads 16-15"
top:42px;left:251px;,"1st quarter, 5:32.0 remaining<br>Kawhi Leonard missed 2-pointer from 2 ft<br>LA Clippers leads 16-15"
top:31px;left:240px;,"1st quarter, 5:30.0 remaining<br>Kawhi Leonard missed 2-pointer from 0 ft<br>LA Clippers leads 16-15"
top:34px;left:257px;,"1st quarter, 5:29.0 remaining<br>Kawhi Leonard missed 2-pointer from 2 ft<br>LA Clippers leads 16-15"
top:49px;left:232px;,"1st quarter, 4:45.0 remaining<br>Derrick Jones Jr. missed 2-pointer from 2 ft<br>LA Clippers trails 16-18"
top:55px;left:7px;,"1st quarter, 4:22.0 remaining<br>Kris Dunn made 3-pointer from 23 ft<br>LA Clippers now leads 19-18"
top:57px;left:230px;,"1st quarter, 4:02.0 remaining<br>Derrick Jones Jr. made 2-pointer from 3 ft<br>LA Clippers now leads 21-18"
top:233px;left:173px;,"1st quarter, 3:23.0 remaining<br>Bennedict Mathurin made 2-pointer from 21 ft<br>LA Clippers now leads 23-18"
top:326px;left:223px;,"1st quarter, 2:51.0 remaining<br>Darius Garland missed 3-pointer from 30 ft<br>LA Clippers leads 23-20"
top:229px;left:172px;,"1st quarter, 2:16.0 remaining<br>Bennedict Mathurin missed 2-pointer from 21 ft<br>LA Clippers tied 23-23"
top:31px;left:232px;,"1st quarter, 1:39.0 remaining<br>Kris Dunn made 2-pointer from 1 ft<br>LA Clippers now leads 25-23"
top:31px;left:257px;,"1st quarter, 1:17.0 remaining<br>Bennedict Mathurin made 2-pointer from 2 ft<br>LA Clippers now leads 27-23"
top:28px;left:2px;,"1st quarter, 0:45.0 remaining<br>Nicolas Batum missed 3-pointer from 24 ft<br>LA Clippers leads 27-25"
top:50px;left:243px;,"1st quarter, 0:08.0 remaining<br>Jordan Miller missed 2-pointer from 2 ft<br>LA Clippers leads 27-25"
top:31px;left:240px;,"1st quarter, 0:06.0 remaining<br>Bennedict Mathurin made 2-pointer from 0 ft<br>LA Clippers now leads 29-25"
top:91px;left:100px;,"2nd quarter, 11:43.0 remaining<br>John Collins made 2-pointer from 15 ft<br>LA Clippers now leads 31-25"
top:287px;left:157px;,"2nd quarter, 11:08.0 remaining<br>Nicolas Batum made 3-pointer from 27 ft<br>LA Clippers now leads 34-25"
top:49px;left:223px;,"2nd quarter, 10:43.0 remaining<br>Jordan Miller missed 2-pointer from 3 ft<br>LA Clippers leads 34-25"
top:251px;left:381px;,"2nd quarter, 9:52.0 remaining<br>Nicolas Batum missed 3-pointer from 26 ft<br>LA Clippers leads 34-28"
top:185px;left:139px;,"2nd quarter, 9:11.0 remaining<br>Bennedict Mathurin made 2-pointer from 18 ft<br>LA Clippers now leads 36-31"
top:293px;left:218px;,"2nd quarter, 8:42.0 remaining<br>Kris Dunn missed 3-pointer from 26 ft<br>LA Clippers leads 36-33"
top:217px;left:413px;,"2nd quarter, 7:32.0 remaining<br>Jordan Miller missed 3-pointer from 25 ft<br>LA Clippers leads 36-33"
top:293px;left:243px;,"2nd quarter, 5:45.0 remaining<br>Kawhi Leonard made 3-pointer from 26 ft<br>LA Clippers now leads 40-34"
top:131px;left:259px;,"2nd quarter, 5:13.0 remaining<br>Kawhi Leonard made 2-pointer from 10 ft<br>LA Clippers now leads 42-34"
top:192px;left:62px;,"2nd quarter, 4:33.0 remaining<br>Darius Garland made 3-pointer from 24 ft<br>LA Clippers now leads 45-37"
top:31px;left:222px;,"2nd quarter, 3:57.0 remaining<br>Derrick Jones Jr. made 2-pointer from 2 ft<br>LA Clippers now leads 47-37"
top:252px;left:404px;,"2nd quarter, 3:17.0 remaining<br>Darius Garland missed 3-pointer from 28 ft<br>LA Clippers leads 47-37"
top:201px;left:250px;,"2nd quarter, 2:42.0 remaining<br>Kawhi Leonard made 2-pointer from 17 ft<br>LA Clippers now leads 49-41"
top:284px;left:259px;,"2nd quarter, 2:14.0 remaining<br>Kawhi Leonard made 3-pointer from 25 ft<br>LA Clippers now leads 52-41"
top:69px;left:178px;,"2nd quarter, 1:38.0 remaining<br>Darius Garland made 2-pointer from 7 ft<br>LA Clippers now leads 54-41"
top:228px;left:33px;,"2nd quarter, 0:31.0 remaining<br>Kawhi Leonard missed 3-pointer from 29 ft<br>LA Clippers leads 57-41"
