style,tip
top:64px;left:5px;,"1st quarter, 11:42.0 remaining<br>Pete Nance missed 3-pointer from 24 ft<br>Milwaukee tied 0-0"
top:39px;left:250px;,"1st quarter, 10:46.0 remaining<br>Jericho Sims made 2-pointer from 1 ft<br>Milwaukee now tied 2-2"
top:37px;left:237px;,"1st quarter, 10:16.0 remaining<br>Jericho Sims made 2-pointer from 1 ft<br>Milwaukee now leads 4-2"
top:23px;left:476px;,"1st quarter, 9:47.0 remaining<br>Pete Nance missed 3-pointer from 24 ft<br>Milwaukee trails 4-5"
top:23px;left:9px;,"1st quarter, 9:16.0 remaining<br>Gary Trent Jr. made 3-pointer from 23 ft<br>Milwaukee now tied 7-7"
top:44px;left:236px;,"1st quarter, 8:47.0 remaining<br>Jericho Sims missed 2-pointer from 1 ft<br>Milwaukee trails 7-9"
top:173px;left:101px;,"1st quarter, 8:28.0 remaining<br>Ousmane Dieng missed 2-pointer from 20 ft<br>Milwaukee trails 7-9"
top:170px;left:16px;,"1st quarter, 8:05.0 remaining<br>Gary Trent Jr. made 3-pointer from 26 ft<br>Milwaukee now trails 10-11"
top:217px;left:398px;,"1st quarter, 7:53.0 remaining<br>Gary Trent Jr. made 3-pointer from 24 ft<br>Milwaukee now leads 13-11"
top:164px;left:224px;,"1st quarter, 7:02.0 remaining<br>Gary Trent Jr. made 2-pointer from 14 ft<br>Milwaukee now leads 15-13"
top:23px;left:9px;,"1st quarter, 5:40.0 remaining<br>Gary Trent Jr. missed 3-pointer from 23 ft<br>Milwaukee trails 15-16"
top:28px;left:473px;,"1st quarter, 5:22.0 remaining<br>Taurean Prince made 3-pointer from 23 ft<br>Milwaukee now leads 18-16"
top:232px;left:388px;,"1st quarter, 4:38.0 remaining<br>Gary Trent Jr. missed 3-pointer from 25 ft<br>Milwaukee leads 18-16"
top:169px;left:466px;,"1st quarter, 3:30.0 remaining<br>Pete Nance missed 3-pointer from 27 ft<br>Milwaukee trails 18-21"
top:46px;left:240px;,"1st quarter, 3:08.0 remaining<br>Pete Nance made 2-pointer from 2 ft<br>Milwaukee now trails 20-23"
top:68px;left:2px;,"1st quarter, 2:37.0 remaining<br>Andre Jackson Jr. made 3-pointer from 24 ft<br>Milwaukee now tied 23-23"
top:8px;left:471px;,"1st quarter, 1:58.0 remaining<br>Cormac Ryan missed 3-pointer from 23 ft<br>Milwaukee tied 23-23"
top:44px;left:243px;,"1st quarter, 0:56.0 remaining<br>Cormac Ryan made 2-pointer from 1 ft<br>Milwaukee now trails 25-27"
top:168px;left:7px;,"1st quarter, 0:29.0 remaining<br>A.J. Green missed 3-pointer from 27 ft<br>Milwaukee trails 25-27"
top:84px;left:253px;,"1st quarter, 0:00.0 remaining<br>Andre Jackson Jr. missed 2-pointer from 6 ft<br>Milwaukee trails 25-29"
top:213px;left:70px;,"2nd quarter, 10:53.0 remaining<br>Taurean Prince missed 3-pointer from 25 ft<br>Milwaukee trails 25-34"
top:68px;left:248px;,"2nd quarter, 10:37.0 remaining<br>Pete Nance missed 2-pointer from 4 ft<br>Milwaukee trails 25-34"
top:29px;left:470px;,"2nd quarter, 10:09.0 remaining<br>Cormac Ryan made 3-pointer from 23 ft<br>Milwaukee now trails 28-34"
top:26px;left:468px;,"2nd quarter, 9:35.0 remaining<br>Taurean Prince made 3-pointer from 23 ft<br>Milwaukee now trails 31-34"
top:94px;left:318px;,"2nd quarter, 8:55.0 remaining<br>Ousmane Dieng made 2-pointer from 10 ft<br>Milwaukee now trails 33-36"
top:264px;left:82px;,"2nd quarter, 8:18.0 remaining<br>Ousmane Dieng missed 3-pointer from 28 ft<br>Milwaukee trails 33-36"
top:38px;left:4px;,"2nd quarter, 7:50.0 remaining<br>Cormac Ryan missed 3-pointer from 24 ft<br>Milwaukee trails 33-36"
top:38px;left:2px;,"2nd quarter, 7:16.0 remaining<br>Ousmane Dieng missed 3-pointer from 24 ft<br>Milwaukee trails 33-36"
top:157px;left:198px;,"2nd quarter, 6:31.0 remaining<br>A.J. Green missed 2-pointer from 13 ft<br>Milwaukee trails 34-36"
top:223px;left:49px;,"2nd quarter, 5:29.0 remaining<br>Gary Trent Jr. missed 3-pointer from 27 ft<br>Milwaukee trails 34-40"
top:263px;left:346px;,"2nd quarter, 4:53.0 remaining<br>Ousmane Dieng missed 3-pointer from 26 ft<br>Milwaukee trails 34-42"
top:211px;left:42px;,"2nd quarter, 4:46.0 remaining<br>Gary Trent Jr. missed 3-pointer from 27 ft<br>Milwaukee trails 34-42"
top:248px;left:377px;,"2nd quarter, 4:40.0 remaining<br>A.J. Green made 3-pointer from 26 ft<br>Milwaukee now trails 37-42"
top:283px;left:401px;,"2nd quarter, 3:30.0 remaining<br>A.J. Green missed 3-pointer from 30 ft<br>Milwaukee trails 37-47"
top:19px;left:470px;,"2nd quarter, 3:04.0 remaining<br>Pete Nance missed 3-pointer from 23 ft<br>Milwaukee trails 37-47"
top:213px;left:37px;,"2nd quarter, 2:58.0 remaining<br>Gary Trent Jr. made 3-pointer from 27 ft<br>Milwaukee now trails 40-47"
top:43px;left:9px;,"2nd quarter, 2:30.0 remaining<br>Gary Trent Jr. missed 3-pointer from 23 ft<br>Milwaukee trails 41-49"
top:296px;left:215px;,"2nd quarter, 1:26.0 remaining<br>A.J. Green missed 3-pointer from 27 ft<br>Milwaukee trails 41-54"
top:146px;left:127px;,"2nd quarter, 1:02.0 remaining<br>Gary Trent Jr. missed 2-pointer from 16 ft<br>Milwaukee trails 41-55"
top:110px;left:233px;,"2nd quarter, 0:38.0 remaining<br>Taurean Prince missed 2-pointer from 8 ft<br>Milwaukee trails 41-57"
top:2px;left:385px;,"2nd quarter, 0:21.0 remaining<br>Taurean Prince made 2-pointer from 15 ft<br>Milwaukee now trails 43-57"
top:289px;left:65px;,"2nd quarter, 0:01.0 remaining<br>Gary Trent Jr. made 3-pointer from 31 ft<br>Milwaukee now trails 46-57"
top:188px;left:232px;,"3rd quarter, 11:14.0 remaining<br>Pete Nance missed 2-pointer from 16 ft<br>Milwaukee trails 46-60"
top:256px;left:351px;,"3rd quarter, 10:34.0 remaining<br>Pete Nance made 3-pointer from 25 ft<br>Milwaukee now trails 49-62"
top:85px;left:250px;,"3rd quarter, 9:39.0 remaining<br>Andre Jackson Jr. made 2-pointer from 6 ft<br>Milwaukee now trails 51-65"
top:165px;left:178px;,"3rd quarter, 8:42.0 remaining<br>Taurean Prince made 2-pointer from 15 ft<br>Milwaukee now trails 53-70"
top:18px;left:470px;,"3rd quarter, 8:25.0 remaining<br>Taurean Prince missed 3-pointer from 23 ft<br>Milwaukee trails 53-70"
top:44px;left:226px;,"3rd quarter, 8:08.0 remaining<br>Jericho Sims made 2-pointer from 2 ft<br>Milwaukee now trails 55-73"
top:180px;left:403px;,"3rd quarter, 7:44.0 remaining<br>Gary Trent Jr. made 2-pointer from 22 ft<br>Milwaukee now trails 57-73"
top:43px;left:240px;,"3rd quarter, 7:24.0 remaining<br>Andre Jackson Jr. made 2-pointer from 1 ft<br>Milwaukee now trails 59-73"
top:258px;left:258px;,"3rd quarter, 6:04.0 remaining<br>Andre Jackson Jr. missed 2-pointer from 23 ft<br>Milwaukee trails 61-76"
top:44px;left:1px;,"3rd quarter, 5:38.0 remaining<br>Taurean Prince made 3-pointer from 24 ft<br>Milwaukee now trails 64-78"
top:70px;left:470px;,"3rd quarter, 4:36.0 remaining<br>Taurean Prince made 3-pointer from 23 ft<br>Milwaukee now trails 67-81"
top:75px;left:240px;,"3rd quarter, 4:07.0 remaining<br>Jericho Sims missed 2-pointer from 5 ft<br>Milwaukee trails 67-83"
top:248px;left:192px;,"3rd quarter, 4:02.0 remaining<br>Gary Trent Jr. missed 2-pointer from 22 ft<br>Milwaukee trails 67-83"
top:164px;left:277px;,"3rd quarter, 3:11.0 remaining<br>Taurean Prince missed 2-pointer from 14 ft<br>Milwaukee trails 67-85"
top:22px;left:467px;,"3rd quarter, 2:41.0 remaining<br>Pete Nance missed 3-pointer from 23 ft<br>Milwaukee trails 67-86"
top:137px;left:312px;,"3rd quarter, 2:13.0 remaining<br>Gary Trent Jr. missed 2-pointer from 13 ft<br>Milwaukee trails 67-88"
top:34px;left:222px;,"3rd quarter, 0:42.0 remaining<br>A.J. Green made 2-pointer from 2 ft<br>Milwaukee now trails 72-92"
