Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Amen Thompson,34:55,.554,.500,.100,.600,5.5,18.3,11.6,16.3,4.3,0.0,0.0,14.2,148,102,3.3
Jabari Smith Jr.,33:18,.630,.600,.600,.133,5.8,6.4,6.1,11.1,0.0,5.1,0.0,18.7,157,109,3.3
Alperen ÅengÃ¼n,31:46,.679,.630,.304,.348,21.2,20.1,20.7,34.3,4.7,8.0,0.0,32.8,170,94,30.3
Kevin Durant,28:46,.549,.469,.438,.313,0.0,14.8,7.0,26.8,1.7,0.0,9.9,27.6,128,108,0.2
Reed Sheppard,21:19,.500,.500,.833,.000,0.0,10.0,4.7,10.1,0.0,4.0,14.3,12.9,111,109,-7.5
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Aaron Holiday,25:10,.563,.563,.875,.000,3.8,8.5,6.0,8.8,0.0,0.0,11.1,14.0,126,113,-5.7
Tari Eason,22:19,.625,.625,.417,.000,12.9,23.9,18.1,6.0,2.2,0.0,0.0,21.1,152,105,5.1
Clint Capela,16:09,.500,.500,.000,.000,35.7,52.8,43.8,22.2,0.0,10.4,14.3,17.0,139,94,3.6
Jae'Sean Tate,13:24,.667,.667,.333,.000,7.2,8.0,7.5,0.0,0.0,0.0,0.0,8.8,154,113,-8.0
Josh Okogie,5:28,.333,.333,.333,.000,0.0,19.5,9.2,65.5,9.1,0.0,0.0,21.5,132,90,10.9
Isaiah Crawford,3:43,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,31.7,0,115,-46.6
Jeff Green,3:43,1.000,1.000,.000,.000,0.0,0.0,0.0,35.8,0.0,0.0,0.0,10.6,210,115,12.1
Dorian Finney-Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.586,.552,.419,.200,44.0,82.2,62.1,67.3,9.3,14.0,6.5,100.0,138.2,105.2,
