Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Yves Missi,31:10,.532,.500,.000,2.000,3.4,12.3,8.1,4.5,0.0,10.1,0.0,10.6,120,137,-3.2
Saddiq Bey,31:05,.692,.692,.462,.000,3.4,18.5,11.4,5.9,0.0,2.5,7.1,19.8,126,137,3.0
Herbert Jones,29:44,.460,.400,.600,.200,0.0,9.7,5.1,10.0,0.0,0.0,15.5,19.0,85,143,-11.9
Dejounte Murray,28:12,.638,.607,.214,.143,0.0,13.6,7.2,43.7,1.8,2.8,6.3,24.7,130,136,8.1
Zion Williamson,25:18,.781,.750,.000,1.000,4.2,11.4,8.0,22.2,0.0,0.0,8.0,21.7,152,142,4.3
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Derik Queen,23:58,.472,.458,.250,.333,8.9,4.0,6.3,7.4,0.0,3.3,12.7,28.9,90,145,-7.9
Jeremiah Fears,22:05,.381,.321,.286,.286,4.8,4.3,4.6,38.4,4.5,3.6,11.3,35.3,85,134,-2.7
Karlo MatkoviÄ,16:57,.250,.250,.750,.000,0.0,17.0,8.9,0.0,0.0,4.6,20.0,13.0,41,137,-15.5
Micah Peavy,16:14,.000,.000,1.000,.000,0.0,5.9,3.1,0.0,3.0,0.0,0.0,2.7,0,138,-9.4
Jordan Poole,6:11,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0,149,-24.1
Jordan Hawkins,5:27,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,99,149,-8.9
Kevon Looney,3:39,.000,.000,.000,.000,58.4,52.6,55.4,0.0,0.0,0.0,0.0,24.1,64,118,-21.8
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.519,.483,.337,.326,17.8,56.0,37.9,51.4,4.1,14.8,10.1,100.0,105.2,138.2,
