Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Amen Thompson,34:55,5,10,.500,0,1,.000,4,6,.667,2,6,8,5,3,0,0,0,14,17.9,+32
Jabari Smith Jr.,33:18,7,15,.467,4,9,.444,2,2,1.000,2,2,4,3,0,2,0,3,20,16.6,+16
Alperen ÅengÃ¼n,31:46,12,23,.522,5,7,.714,7,8,.875,7,6,13,7,3,3,0,2,36,40.2,+26
Kevin Durant,28:46,7,16,.438,1,7,.143,5,5,1.000,0,4,4,6,1,0,2,1,20,15.6,+1
Reed Sheppard,21:19,2,6,.333,2,5,.400,0,0,,0,2,2,2,0,1,1,2,6,3.5,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Aaron Holiday,25:10,3,8,.375,3,7,.429,0,0,,1,2,3,2,0,0,1,1,9,5.9,+41
Tari Eason,22:19,6,12,.500,3,5,.600,0,0,,3,5,8,1,1,0,0,1,15,13.9,+15
Clint Capela,16:09,3,6,.500,0,0,,0,0,,6,8,14,3,0,2,1,4,6,10.5,+6
Jae'Sean Tate,13:24,2,3,.667,0,1,.000,0,0,,1,1,2,0,0,0,0,2,4,2.9,+27
Josh Okogie,5:28,1,3,.333,0,1,.000,0,0,,0,1,1,3,1,0,0,1,2,3.3,+4
Jeff Green,3:43,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+1
Isaiah Crawford,3:43,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,+1
Dorian Finney-Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,49,105,.467,18,44,.409,18,21,.857,22,37,59,33,9,8,8,17,134,,
