Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Yves Missi,31:10,2,4,.500,0,0,,4,8,.500,1,4,5,1,0,4,0,3,8,8.6,-5
Saddiq Bey,31:05,7,13,.538,4,6,.667,0,0,,1,6,7,1,0,1,1,1,18,14.2,-7
Herbert Jones,29:44,3,10,.300,2,6,.333,2,2,1.000,0,3,3,2,0,0,2,4,10,2.9,-5
Dejounte Murray,28:12,8,14,.571,1,3,.333,2,2,1.000,0,4,4,6,1,1,1,1,19,18.1,-3
Zion Williamson,25:18,6,8,.750,0,0,,6,8,.750,1,3,4,3,0,0,1,3,18,15.5,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Derik Queen,23:58,5,12,.417,1,3,.333,2,4,.500,2,1,3,1,0,1,2,1,13,6.5,-35
Jeremiah Fears,22:05,4,14,.286,1,4,.250,3,4,.750,1,1,2,5,2,1,2,3,12,7.4,-26
Karlo MatkoviÄ,16:57,1,4,.250,0,3,.000,0,0,,0,3,3,0,0,1,1,1,2,-0.2,-25
Micah Peavy,16:14,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,1,0,0.2,-18
Jordan Poole,6:11,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-16
Jordan Hawkins,5:27,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-4
Kevon Looney,3:39,0,2,.000,0,0,,0,0,,2,2,4,0,0,0,0,0,0,0.6,-5
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,86,.430,9,29,.310,19,28,.679,8,28,36,19,4,9,11,18,102,,
