1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Houston,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,New Orleans
12:00.0,Jump ball: A. ÅengÃ¼n vs. Y. Missi (Z. Williamson gains possession),Jump ball: A. ÅengÃ¼n vs. Y. Missi (Z. Williamson gains possession),Jump ball: A. ÅengÃ¼n vs. Y. Missi (Z. Williamson gains possession),Jump ball: A. ÅengÃ¼n vs. Y. Missi (Z. Williamson gains possession),Jump ball: A. ÅengÃ¼n vs. Y. Missi (Z. Williamson gains possession)
11:35.0,,,0-2,+2,Z. Williamson makes 2-pt dunk at rim (assist by H. Jones)
11:19.0,A. ÅengÃ¼n makes 2-pt jump shot from 16 ft (assist by K. Durant),+2,2-2,,
11:01.0,,,2-2,,H. Jones misses 3-pt jump shot from 25 ft
11:00.0,Defensive rebound by A. ÅengÃ¼n,,2-2,,
10:52.0,R. Sheppard misses 3-pt jump shot from 24 ft,,2-2,,
10:49.0,,,2-2,,Defensive rebound by Y. Missi
10:40.0,,,2-2,,D. Murray misses 2-pt jump shot from 16 ft
10:37.0,Defensive rebound by A. Thompson,,2-2,,
10:33.0,K. Durant makes 3-pt jump shot from 26 ft (assist by A. Thompson),+3,5-2,,
10:17.0,,,5-2,,Personal foul by R. Sheppard (drawn by H. Jones)
10:05.0,,,5-4,+2,S. Bey makes 2-pt layup from 2 ft
9:51.0,J. Smith makes 3-pt jump shot from 25 ft (assist by R. Sheppard),+3,8-4,,
9:38.0,,,8-6,+2,Z. Williamson makes 2-pt layup from 2 ft
9:13.0,K. Durant misses 3-pt jump shot from 25 ft,,8-6,,
9:11.0,,,8-6,,Defensive rebound by Team
9:00.0,,,8-6,,Shooting foul by J. Smith (drawn by Y. Missi)
9:00.0,,,8-6,,Y. Missi misses free throw 1 of 2
9:00.0,,,8-6,,Offensive rebound by Team
9:00.0,,,8-6,,Y. Missi misses free throw 2 of 2
8:58.0,Defensive rebound by A. ÅengÃ¼n,,8-6,,
8:46.0,A. ÅengÃ¼n makes 2-pt jump shot from 9 ft,+2,10-6,,
8:33.0,,,10-6,,S. Bey misses 3-pt jump shot from 26 ft
8:27.0,Defensive rebound by K. Durant,,10-6,,
8:25.0,J. Smith makes 2-pt dunk at rim (assist by R. Sheppard),+2,12-6,,
8:09.0,,,12-8,+2,D. Murray makes 2-pt layup from 2 ft
7:58.0,A. Thompson makes 2-pt layup from 5 ft,+2,14-8,,
7:46.0,,,14-8,,Z. Williamson misses 2-pt jump shot from 6 ft
7:45.0,Defensive rebound by A. ÅengÃ¼n,,14-8,,
7:44.0,A. Thompson misses 2-pt layup from 2 ft (block by D. Murray),,14-8,,
7:43.0,,,14-8,,Defensive rebound by Team
7:30.0,,,14-11,+3,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Murray)
