style,tip
top:188px;left:259px;,"1st quarter, 11:19.0 remaining<br>Alperen ÅengÃ¼n made 2-pointer from 16 ft<br>Houston now tied 2-2"
top:98px;left:472px;,"1st quarter, 10:52.0 remaining<br>Reed Sheppard missed 3-pointer from 24 ft<br>Houston tied 2-2"
top:213px;left:421px;,"1st quarter, 10:33.0 remaining<br>Kevin Durant made 3-pointer from 26 ft<br>Houston now leads 5-2"
top:282px;left:255px;,"1st quarter, 9:51.0 remaining<br>Jabari Smith Jr. made 3-pointer from 25 ft<br>Houston now leads 8-4"
top:277px;left:302px;,"1st quarter, 9:13.0 remaining<br>Kevin Durant missed 3-pointer from 25 ft<br>Houston leads 8-6"
top:120px;left:212px;,"1st quarter, 8:46.0 remaining<br>Alperen ÅengÃ¼n made 2-pointer from 9 ft<br>Houston now leads 10-6"
top:34px;left:240px;,"1st quarter, 8:25.0 remaining<br>Jabari Smith Jr. made 2-pointer from 0 ft<br>Houston now leads 12-6"
top:57px;left:197px;,"1st quarter, 7:58.0 remaining<br>Amen Thompson made 2-pointer from 5 ft<br>Houston now leads 14-8"
top:42px;left:259px;,"1st quarter, 7:44.0 remaining<br>Amen Thompson missed 2-pointer from 2 ft<br>Houston leads 14-8"
top:72px;left:111px;,"1st quarter, 7:11.0 remaining<br>Jabari Smith Jr. missed 2-pointer from 14 ft<br>Houston leads 14-11"
top:95px;left:237px;,"1st quarter, 6:37.0 remaining<br>Alperen ÅengÃ¼n made 2-pointer from 7 ft<br>Houston now leads 16-14"
top:168px;left:97px;,"1st quarter, 5:57.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 20 ft<br>Houston tied 16-16"
top:31px;left:255px;,"1st quarter, 5:33.0 remaining<br>Reed Sheppard missed 2-pointer from 2 ft<br>Houston trails 16-18"
top:167px;left:237px;,"1st quarter, 5:04.0 remaining<br>Kevin Durant missed 2-pointer from 14 ft<br>Houston trails 16-18"
top:223px;left:52px;,"1st quarter, 4:46.0 remaining<br>Reed Sheppard missed 3-pointer from 27 ft<br>Houston trails 16-18"
top:198px;left:429px;,"1st quarter, 4:18.0 remaining<br>Jabari Smith Jr. missed 3-pointer from 25 ft<br>Houston trails 16-20"
top:41px;left:260px;,"1st quarter, 4:00.0 remaining<br>Tari Eason made 2-pointer from 2 ft<br>Houston now trails 18-20"
top:188px;left:151px;,"1st quarter, 3:26.0 remaining<br>Kevin Durant made 2-pointer from 18 ft<br>Houston now trails 20-23"
top:91px;left:301px;,"1st quarter, 2:52.0 remaining<br>Tari Eason missed 2-pointer from 9 ft<br>Houston trails 20-23"
top:37px;left:226px;,"1st quarter, 2:40.0 remaining<br>Tari Eason missed 2-pointer from 2 ft<br>Houston trails 20-23"
top:46px;left:260px;,"1st quarter, 2:38.0 remaining<br>Clint Capela missed 2-pointer from 3 ft<br>Houston trails 20-23"
top:30px;left:240px;,"1st quarter, 2:35.0 remaining<br>Clint Capela missed 2-pointer from 0 ft<br>Houston trails 20-23"
top:216px;left:416px;,"1st quarter, 2:13.0 remaining<br>Tari Eason made 3-pointer from 26 ft<br>Houston now trails 23-26"
top:41px;left:468px;,"1st quarter, 1:33.0 remaining<br>Aaron Holiday made 3-pointer from 23 ft<br>Houston now tied 26-26"
top:39px;left:219px;,"1st quarter, 1:13.0 remaining<br>Amen Thompson missed 2-pointer from 2 ft<br>Houston tied 26-26"
top:133px;left:466px;,"1st quarter, 1:02.0 remaining<br>Kevin Durant missed 3-pointer from 25 ft<br>Houston tied 26-26"
top:27px;left:240px;,"1st quarter, 0:43.0 remaining<br>Kevin Durant made 2-pointer from 0 ft<br>Houston now leads 28-26"
top:169px;left:428px;,"1st quarter, 0:02.0 remaining<br>Tari Eason missed 2-pointer from 23 ft<br>Houston tied 29-29"
top:111px;left:254px;,"2nd quarter, 11:36.0 remaining<br>Alperen ÅengÃ¼n made 2-pointer from 8 ft<br>Houston now leads 31-29"
top:47px;left:13px;,"2nd quarter, 11:11.0 remaining<br>Jabari Smith Jr. made 3-pointer from 23 ft<br>Houston now leads 34-29"
top:289px;left:242px;,"2nd quarter, 10:40.0 remaining<br>Alperen ÅengÃ¼n made 3-pointer from 26 ft<br>Houston now leads 37-29"
top:328px;left:132px;,"2nd quarter, 10:07.0 remaining<br>Aaron Holiday missed 3-pointer from 32 ft<br>Houston leads 37-29"
top:262px;left:374px;,"2nd quarter, 9:57.0 remaining<br>Jae'Sean Tate missed 3-pointer from 27 ft<br>Houston leads 37-29"
top:286px;left:286px;,"2nd quarter, 9:37.0 remaining<br>Alperen ÅengÃ¼n made 3-pointer from 26 ft<br>Houston now leads 40-32"
top:236px;left:417px;,"2nd quarter, 9:18.0 remaining<br>Jabari Smith Jr. made 3-pointer from 27 ft<br>Houston now leads 43-32"
top:282px;left:323px;,"2nd quarter, 8:44.0 remaining<br>Jabari Smith Jr. missed 3-pointer from 26 ft<br>Houston leads 43-32"
top:72px;left:182px;,"2nd quarter, 7:47.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 7 ft<br>Houston leads 45-32"
top:26px;left:218px;,"2nd quarter, 7:15.0 remaining<br>Amen Thompson missed 2-pointer from 2 ft<br>Houston leads 45-32"
top:30px;left:240px;,"2nd quarter, 7:11.0 remaining<br>Jae'Sean Tate made 2-pointer from 0 ft<br>Houston now leads 47-32"
top:26px;left:244px;,"2nd quarter, 6:58.0 remaining<br>Jabari Smith Jr. made 2-pointer from 1 ft<br>Houston now leads 49-32"
top:191px;left:44px;,"2nd quarter, 6:12.0 remaining<br>Tari Eason missed 3-pointer from 25 ft<br>Houston leads 49-32"
top:187px;left:43px;,"2nd quarter, 6:07.0 remaining<br>Tari Eason made 3-pointer from 25 ft<br>Houston now leads 52-32"
top:118px;left:313px;,"2nd quarter, 5:29.0 remaining<br>Jabari Smith Jr. missed 2-pointer from 11 ft<br>Houston leads 52-34"
top:30px;left:240px;,"2nd quarter, 5:23.0 remaining<br>Tari Eason made 2-pointer from 0 ft<br>Houston now leads 54-34"
top:272px;left:117px;,"2nd quarter, 4:32.0 remaining<br>Reed Sheppard missed 3-pointer from 27 ft<br>Houston leads 54-34"
top:208px;left:57px;,"2nd quarter, 3:55.0 remaining<br>Jabari Smith Jr. missed 3-pointer from 26 ft<br>Houston leads 54-34"
top:44px;left:254px;,"2nd quarter, 3:30.0 remaining<br>Kevin Durant made 2-pointer from 2 ft<br>Houston now leads 56-34"
top:95px;left:283px;,"2nd quarter, 2:45.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 8 ft<br>Houston leads 56-36"
top:113px;left:117px;,"2nd quarter, 1:55.0 remaining<br>Kevin Durant made 2-pointer from 15 ft<br>Houston now leads 59-40"
top:42px;left:243px;,"2nd quarter, 1:38.0 remaining<br>Tari Eason made 2-pointer from 1 ft<br>Houston now leads 61-40"
top:159px;left:322px;,"2nd quarter, 1:07.0 remaining<br>Kevin Durant missed 2-pointer from 15 ft<br>Houston leads 61-41"
top:303px;left:234px;,"2nd quarter, 0:58.0 remaining<br>Alperen ÅengÃ¼n made 3-pointer from 27 ft<br>Houston now leads 64-41"
top:110px;left:234px;,"2nd quarter, 0:28.0 remaining<br>Amen Thompson made 2-pointer from 8 ft<br>Houston now leads 66-45"
top:31px;left:244px;,"2nd quarter, 0:02.0 remaining<br>Amen Thompson made 2-pointer from 0 ft<br>Houston now leads 68-47"
top:252px;left:379px;,"3rd quarter, 11:48.0 remaining<br>Kevin Durant missed 3-pointer from 26 ft<br>Houston leads 68-47"
