style,tip
top:29px;left:243px;,"1st quarter, 11:35.0 remaining<br>Zion Williamson made 2-pointer from 0 ft<br>New Orleans now leads 2-0"
top:223px;left:84px;,"1st quarter, 11:01.0 remaining<br>Herbert Jones missed 3-pointer from 25 ft<br>New Orleans tied 2-2"
top:190px;left:259px;,"1st quarter, 10:40.0 remaining<br>Dejounte Murray missed 2-pointer from 16 ft<br>New Orleans tied 2-2"
top:28px;left:225px;,"1st quarter, 10:05.0 remaining<br>Saddiq Bey made 2-pointer from 2 ft<br>New Orleans now trails 4-5"
top:21px;left:222px;,"1st quarter, 9:38.0 remaining<br>Zion Williamson made 2-pointer from 2 ft<br>New Orleans now trails 6-8"
top:275px;left:167px;,"1st quarter, 8:33.0 remaining<br>Saddiq Bey missed 3-pointer from 26 ft<br>New Orleans trails 6-10"
top:34px;left:258px;,"1st quarter, 8:09.0 remaining<br>Dejounte Murray made 2-pointer from 2 ft<br>New Orleans now trails 8-12"
top:93px;left:252px;,"1st quarter, 7:46.0 remaining<br>Zion Williamson missed 2-pointer from 6 ft<br>New Orleans trails 8-14"
top:9px;left:12px;,"1st quarter, 7:30.0 remaining<br>Saddiq Bey made 3-pointer from 23 ft<br>New Orleans now trails 11-14"
top:244px;left:378px;,"1st quarter, 7:00.0 remaining<br>Dejounte Murray made 3-pointer from 26 ft<br>New Orleans now tied 14-14"
top:28px;left:272px;,"1st quarter, 6:12.0 remaining<br>Yves Missi made 2-pointer from 3 ft<br>New Orleans now tied 16-16"
top:64px;left:236px;,"1st quarter, 5:50.0 remaining<br>Dejounte Murray made 2-pointer from 3 ft<br>New Orleans now leads 18-16"
top:110px;left:194px;,"1st quarter, 5:12.0 remaining<br>Dejounte Murray missed 2-pointer from 9 ft<br>New Orleans leads 18-16"
top:47px;left:244px;,"1st quarter, 4:56.0 remaining<br>Dejounte Murray missed 2-pointer from 2 ft<br>New Orleans leads 18-16"
top:31px;left:243px;,"1st quarter, 4:35.0 remaining<br>Zion Williamson made 2-pointer from 0 ft<br>New Orleans now leads 20-16"
top:28px;left:259px;,"1st quarter, 4:10.0 remaining<br>Jeremiah Fears missed 2-pointer from 2 ft<br>New Orleans leads 20-16"
top:246px;left:379px;,"1st quarter, 3:47.0 remaining<br>Herbert Jones made 3-pointer from 26 ft<br>New Orleans now leads 23-18"
top:229px;left:432px;,"1st quarter, 3:10.0 remaining<br>Jeremiah Fears missed 3-pointer from 28 ft<br>New Orleans leads 23-20"
