Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,36:49,.599,.472,.167,.889,3.4,6.2,4.9,21.2,1.4,0.0,13.8,35.5,118,115,3.7
Chet Holmgren,32:41,.612,.500,.300,.700,7.7,24.5,16.5,10.6,1.6,0.0,7.1,19.4,133,107,4.2
Jalen Williams,28:39,.781,.682,.091,.636,4.4,0.0,2.1,14.4,1.8,0.0,12.4,25.2,146,117,10.5
Luguentz Dort,27:06,.761,.714,.714,.286,9.3,0.0,4.4,6.3,3.9,0.0,0.0,13.1,169,112,12.1
Isaiah Hartenstein,24:04,.500,.500,.000,.000,26.2,38.0,32.4,6.9,2.2,0.0,25.0,15.0,107,99,-0.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ajay Mitchell,24:11,.694,.750,.500,1.000,0.0,18.9,9.9,32.0,0.0,0.0,0.0,10.7,165,113,8.1
Alex Caruso,18:06,.600,.600,.800,.000,0.0,12.6,6.6,17.9,2.9,0.0,16.7,14.9,114,109,3.3
Cason Wallace,15:03,.512,.500,.250,.500,0.0,7.6,4.0,11.1,3.5,0.0,0.0,14.6,119,109,-0.4
Jaylin Williams,12:02,.500,.500,1.000,.000,0.0,9.5,5.0,38.6,4.4,0.0,25.0,15.0,108,107,9.5
Jared McCain,11:19,.000,.000,.667,.000,11.2,10.1,10.6,0.0,0.0,0.0,25.0,15.9,21,117,-21.4
Isaiah Joe,10:00,.375,.375,1.000,.000,0.0,11.4,6.0,0.0,5.3,0.0,20.0,22.5,64,104,-8.5
Branden Carlson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nikola TopiÄ,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Aaron Wiggins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kenrich Williams,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.605,.533,.373,.507,31.6,64.3,48.8,60.0,11.0,0.0,14.1,100.0,122.0,109.9,
