style,tip
top:206px;left:236px;,"1st quarter, 10:22.0 remaining<br>Jalen Brunson missed 2-pointer from 18 ft<br>New York trails 2-5"
top:62px;left:108px;,"1st quarter, 9:51.0 remaining<br>Jalen Brunson missed 2-pointer from 14 ft<br>New York trails 2-7"
top:129px;left:238px;,"1st quarter, 9:30.0 remaining<br>Mikal Bridges made 2-pointer from 10 ft<br>New York now trails 4-9"
top:74px;left:466px;,"1st quarter, 9:05.0 remaining<br>OG Anunoby missed 3-pointer from 23 ft<br>New York trails 4-9"
top:84px;left:268px;,"1st quarter, 8:34.0 remaining<br>Josh Hart missed 2-pointer from 6 ft<br>New York trails 4-9"
top:7px;left:7px;,"1st quarter, 8:28.0 remaining<br>Jalen Brunson made 3-pointer from 23 ft<br>New York now trails 7-9"
top:27px;left:288px;,"1st quarter, 8:07.0 remaining<br>Mikal Bridges made 2-pointer from 5 ft<br>New York now tied 9-9"
top:39px;left:268px;,"1st quarter, 7:45.0 remaining<br>Josh Hart missed 2-pointer from 3 ft<br>New York tied 9-9"
top:53px;left:252px;,"1st quarter, 7:26.0 remaining<br>OG Anunoby missed 2-pointer from 3 ft<br>New York tied 9-9"
top:279px;left:307px;,"1st quarter, 6:56.0 remaining<br>Josh Hart missed 3-pointer from 26 ft<br>New York tied 9-9"
top:238px;left:386px;,"1st quarter, 6:13.0 remaining<br>OG Anunoby missed 3-pointer from 25 ft<br>New York trails 9-12"
top:41px;left:463px;,"1st quarter, 5:38.0 remaining<br>Miles McBride missed 3-pointer from 22 ft<br>New York trails 11-14"
top:43px;left:213px;,"1st quarter, 4:30.0 remaining<br>Jalen Brunson made 2-pointer from 3 ft<br>New York now trails 15-16"
top:53px;left:307px;,"1st quarter, 4:06.0 remaining<br>Jordan Clarkson missed 2-pointer from 7 ft<br>New York trails 15-18"
top:30px;left:240px;,"1st quarter, 4:05.0 remaining<br>Mitchell Robinson missed 2-pointer from 0 ft<br>New York trails 15-18"
top:285px;left:296px;,"1st quarter, 3:37.0 remaining<br>Jalen Brunson missed 3-pointer from 26 ft<br>New York trails 15-20"
top:201px;left:47px;,"1st quarter, 3:35.0 remaining<br>Miles McBride missed 3-pointer from 26 ft<br>New York trails 15-20"
top:21px;left:7px;,"1st quarter, 3:27.0 remaining<br>Josh Hart made 3-pointer from 23 ft<br>New York now trails 18-20"
top:65px;left:226px;,"1st quarter, 2:47.0 remaining<br>Jalen Brunson made 2-pointer from 4 ft<br>New York now tied 20-20"
top:62px;left:343px;,"1st quarter, 2:06.0 remaining<br>Mikal Bridges missed 2-pointer from 11 ft<br>New York trails 20-23"
top:30px;left:240px;,"1st quarter, 2:02.0 remaining<br>Jordan Clarkson missed 2-pointer from 0 ft<br>New York trails 20-23"
top:98px;left:284px;,"1st quarter, 1:38.0 remaining<br>Jordan Clarkson missed 2-pointer from 8 ft<br>New York trails 20-24"
top:21px;left:466px;,"1st quarter, 0:45.0 remaining<br>Mikal Bridges made 3-pointer from 23 ft<br>New York now trails 23-24"
top:12px;left:331px;,"1st quarter, 0:06.0 remaining<br>Mikal Bridges missed 2-pointer from 9 ft<br>New York trails 23-26"
top:7px;left:10px;,"1st quarter, 0:00.0 remaining<br>Jordan Clarkson missed 3-pointer from 23 ft<br>New York trails 23-26"
top:287px;left:167px;,"2nd quarter, 11:17.0 remaining<br>Jose Alvarado missed 3-pointer from 27 ft<br>New York trails 23-28"
top:31px;left:472px;,"2nd quarter, 10:44.0 remaining<br>Mikal Bridges missed 3-pointer from 23 ft<br>New York trails 23-30"
top:57px;left:237px;,"2nd quarter, 10:26.0 remaining<br>Jordan Clarkson missed 2-pointer from 3 ft<br>New York trails 23-30"
top:16px;left:132px;,"2nd quarter, 10:16.0 remaining<br>Jose Alvarado missed 2-pointer from 11 ft<br>New York trails 23-30"
top:308px;left:208px;,"2nd quarter, 9:55.0 remaining<br>OG Anunoby made 3-pointer from 28 ft<br>New York now trails 26-31"
top:39px;left:16px;,"2nd quarter, 9:07.0 remaining<br>OG Anunoby missed 3-pointer from 22 ft<br>New York trails 26-33"
top:275px;left:87px;,"2nd quarter, 8:34.0 remaining<br>Mikal Bridges made 3-pointer from 29 ft<br>New York now trails 29-35"
top:88px;left:153px;,"2nd quarter, 8:07.0 remaining<br>Karl-Anthony Towns made 2-pointer from 10 ft<br>New York now trails 31-35"
top:7px;left:468px;,"2nd quarter, 7:31.0 remaining<br>Miles McBride missed 3-pointer from 23 ft<br>New York trails 31-35"
top:98px;left:312px;,"2nd quarter, 7:12.0 remaining<br>Jose Alvarado missed 2-pointer from 10 ft<br>New York trails 31-35"
top:232px;left:65px;,"2nd quarter, 6:45.0 remaining<br>Jose Alvarado made 3-pointer from 27 ft<br>New York now trails 34-38"
top:164px;left:315px;,"2nd quarter, 5:57.0 remaining<br>Jalen Brunson made 2-pointer from 15 ft<br>New York now trails 36-40"
top:251px;left:403px;,"2nd quarter, 5:30.0 remaining<br>Jose Alvarado made 3-pointer from 27 ft<br>New York now trails 39-40"
top:254px;left:95px;,"2nd quarter, 4:51.0 remaining<br>Jose Alvarado missed 3-pointer from 27 ft<br>New York trails 39-42"
top:300px;left:208px;,"2nd quarter, 4:46.0 remaining<br>Jalen Brunson made 3-pointer from 27 ft<br>New York now tied 42-42"
top:67px;left:239px;,"2nd quarter, 3:55.0 remaining<br>Jose Alvarado missed 2-pointer from 4 ft<br>New York trails 42-44"
top:260px;left:369px;,"2nd quarter, 2:22.0 remaining<br>Mikal Bridges missed 3-pointer from 26 ft<br>New York trails 42-49"
top:2px;left:2px;,"2nd quarter, 1:50.0 remaining<br>Josh Hart made 3-pointer from 24 ft<br>New York now trails 45-49"
top:267px;left:361px;,"2nd quarter, 0:54.0 remaining<br>Jalen Brunson made 3-pointer from 27 ft<br>New York now trails 49-51"
top:284px;left:127px;,"2nd quarter, 0:00.0 remaining<br>Josh Hart made 3-pointer from 28 ft<br>New York now trails 52-53"
top:178px;left:217px;,"3rd quarter, 11:43.0 remaining<br>Jalen Brunson made 2-pointer from 15 ft<br>New York now leads 54-53"
top:249px;left:408px;,"3rd quarter, 9:32.0 remaining<br>Jalen Brunson missed 3-pointer from 28 ft<br>New York trails 54-59"
top:31px;left:240px;,"3rd quarter, 9:31.0 remaining<br>Mikal Bridges made 2-pointer from 0 ft<br>New York now trails 56-59"
top:48px;left:237px;,"3rd quarter, 9:05.0 remaining<br>OG Anunoby missed 2-pointer from 2 ft<br>New York trails 56-59"
top:-5px;left:12px;,"3rd quarter, 8:59.0 remaining<br>Jalen Brunson missed 3-pointer from 23 ft<br>New York trails 56-59"
top:280px;left:244px;,"3rd quarter, 8:26.0 remaining<br>Josh Hart missed 3-pointer from 25 ft<br>New York trails 56-59"
top:17px;left:127px;,"3rd quarter, 7:47.0 remaining<br>Karl-Anthony Towns made 2-pointer from 11 ft<br>New York now trails 58-62"
top:272px;left:140px;,"3rd quarter, 6:56.0 remaining<br>Josh Hart made 3-pointer from 26 ft<br>New York now trails 61-64"
top:93px;left:322px;,"3rd quarter, 6:27.0 remaining<br>Mikal Bridges made 2-pointer from 10 ft<br>New York now trails 63-64"
top:124px;left:256px;,"3rd quarter, 5:54.0 remaining<br>Jalen Brunson missed 2-pointer from 10 ft<br>New York trails 63-66"
top:24px;left:376px;,"3rd quarter, 4:44.0 remaining<br>Jalen Brunson made 2-pointer from 14 ft<br>New York now trails 65-69"
top:33px;left:221px;,"3rd quarter, 4:09.0 remaining<br>Jordan Clarkson made 2-pointer from 2 ft<br>New York now trails 67-70"
top:21px;left:223px;,"3rd quarter, 3:30.0 remaining<br>Mitchell Robinson missed 2-pointer from 2 ft<br>New York trails 67-73"
top:215px;left:233px;,"3rd quarter, 2:42.0 remaining<br>Jalen Brunson missed 2-pointer from 19 ft<br>New York trails 67-73"
