Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Toumani Camara,28:14,.730,.714,.643,.286,4.1,21.7,13.5,5.6,5.1,0.0,6.0,25.0,141,81,12.9
Deni Avdija,27:34,.536,.531,.188,.375,4.2,22.2,13.9,29.0,3.5,0.0,17.7,34.6,101,85,2.3
Scoot Henderson,24:35,.702,.591,.273,.818,0.0,12.5,6.7,42.3,0.0,0.0,11.8,29.0,143,95,7.3
Jrue Holiday,21:49,.799,.750,.833,.333,0.0,4.7,2.5,11.8,0.0,0.0,12.7,15.2,146,97,2.3
Donovan Clingan,20:36,.500,.500,.333,.000,11.4,14.9,13.2,6.3,0.0,17.9,0.0,12.3,126,80,4.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kris Murray,30:59,.563,.563,.625,.000,7.6,0.0,3.5,8.2,0.0,0.0,11.1,12.2,120,99,-3.3
Matisse Thybulle,19:02,.833,.833,.500,.000,0.0,26.8,14.3,14.9,0.0,3.9,14.3,15.5,143,88,7.5
Sidy Cissoko,18:17,.266,.000,1.000,2.000,12.8,11.2,11.9,17.9,2.6,0.0,34.7,6.6,109,90,0.4
Robert Williams,14:53,.667,.667,.000,.000,7.9,34.3,22.0,8.6,3.2,9.9,0.0,8.5,155,74,8.2
Jayson Kent,12:31,.727,.667,.333,.333,0.0,16.3,8.7,0.0,3.8,5.9,0.0,11.6,151,81,6.6
Blake Wesley,10:45,.400,.429,.286,.571,10.9,19.0,15.2,0.0,0.0,0.0,10.2,38.2,79,93,-16.5
Yang Hansen,10:45,.444,.200,.400,.800,10.9,28.5,20.3,0.0,0.0,6.9,22.8,34.3,83,85,-16.9
Jerami Grant,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
VÃ­t KrejÄÃ­,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Shaedon Sharpe,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.615,.581,.419,.372,26.8,80.9,55.7,54.5,7.9,15.4,12.3,100.0,122.2,87.4,
