Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Julian Reese,38:50,.311,.333,.000,.167,7.9,30.1,18.3,18.3,1.2,0.0,23.7,18.5,64,119,-9.3
Bilal Coulibaly,24:09,.143,.143,.357,.000,4.2,19.4,11.3,14.2,0.0,0.0,12.5,28.2,36,125,-20.8
Bub Carrington,22:26,.396,.346,.385,.154,4.6,5.2,4.9,36.5,2.1,0.0,22.4,34.0,73,123,-8.3
Leaky Black,22:20,.425,.400,.000,.400,18.3,21.0,19.5,15.5,0.0,0.0,0.0,11.2,118,125,-1.1
Tristan Vukcevic,16:04,.740,.600,.600,.800,0.0,14.6,6.8,0.0,3.0,6.0,0.0,17.9,155,115,7.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Gill,30:36,.571,.571,.143,.000,0.0,11.5,5.3,0.0,1.6,0.0,22.2,12.5,83,123,-9.0
Will Riley,25:34,.625,.500,.333,.556,0.0,4.6,2.1,7.7,3.7,0.0,0.0,18.7,134,120,4.6
Justin Champagnie,24:15,.592,.563,.250,.125,0.0,9.7,4.5,8.2,0.0,4.0,0.0,14.8,123,125,-0.1
Sharife Cooper,19:00,.506,.444,.111,.222,0.0,6.2,2.9,23.1,0.0,0.0,16.8,26.6,90,128,-6.3
Jamir Watkins,16:46,.592,.400,.400,.800,0.0,14.0,6.5,0.0,2.8,0.0,12.9,19.7,108,119,-5.1
Jaden Hardy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Alex Sarr,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.455,.397,.253,.253,19.1,73.2,44.3,50.0,7.0,4.0,14.2,100.0,87.4,122.2,
