Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Julian Reese,38:50,4,12,.333,0,0,,0,2,.000,3,10,13,4,1,0,4,5,8,3.3,-28
Bilal Coulibaly,24:09,2,14,.143,0,5,.000,0,0,,1,4,5,2,0,0,2,2,4,-4.5,-32
Bub Carrington,22:26,4,13,.308,1,5,.200,2,2,1.000,1,1,2,4,1,0,4,3,11,3.1,-25
Leaky Black,22:20,2,5,.400,0,0,,1,2,.500,4,4,8,2,0,0,0,1,5,6.9,-11
Tristan Vukcevic,16:04,2,5,.400,2,3,.667,4,4,1.000,0,2,2,0,1,1,0,4,10,8.0,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Anthony Gill,30:36,4,7,.571,0,1,.000,0,0,,0,3,3,0,1,0,2,4,8,3.0,-34
Will Riley,25:34,4,9,.444,1,3,.333,5,5,1.000,0,1,1,1,2,0,0,2,14,11.5,-10
Justin Champagnie,24:15,4,8,.500,1,2,.500,1,1,1.000,0,2,2,1,0,1,0,2,10,7.2,-11
Sharife Cooper,19:00,4,9,.444,0,1,.000,2,2,1.000,0,1,1,2,0,0,2,1,10,4.6,-11
Jamir Watkins,16:46,2,5,.400,0,2,.000,4,4,1.000,0,2,2,0,1,0,1,4,8,4.3,-1
Jaden Hardy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Alex Sarr,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,32,87,.368,5,22,.227,19,22,.864,9,30,39,16,7,2,16,28,88,,
