style,tip
top:265px;left:107px;,"1st quarter, 11:20.0 remaining<br>Bub Carrington missed 3-pointer from 27 ft<br>Washington trails 0-2"
top:162px;left:248px;,"1st quarter, 10:37.0 remaining<br>Julian Reese missed 2-pointer from 13 ft<br>Washington trails 0-4"
top:283px;left:363px;,"1st quarter, 10:32.0 remaining<br>Bilal Coulibaly missed 3-pointer from 28 ft<br>Washington trails 0-4"
top:183px;left:438px;,"1st quarter, 10:11.0 remaining<br>Bub Carrington missed 3-pointer from 25 ft<br>Washington trails 0-4"
top:213px;left:59px;,"1st quarter, 9:36.0 remaining<br>Tristan Vukcevic missed 3-pointer from 26 ft<br>Washington trails 0-4"
top:195px;left:335px;,"1st quarter, 9:11.0 remaining<br>Bub Carrington missed 2-pointer from 19 ft<br>Washington trails 0-4"
top:45px;left:227px;,"1st quarter, 8:22.0 remaining<br>Julian Reese missed 2-pointer from 2 ft<br>Washington trails 0-6"
top:38px;left:230px;,"1st quarter, 7:56.0 remaining<br>Julian Reese made 2-pointer from 1 ft<br>Washington now trails 2-8"
top:191px;left:323px;,"1st quarter, 7:21.0 remaining<br>Bilal Coulibaly missed 2-pointer from 18 ft<br>Washington trails 2-10"
top:155px;left:90px;,"1st quarter, 6:55.0 remaining<br>Bub Carrington made 2-pointer from 20 ft<br>Washington now trails 4-10"
top:201px;left:129px;,"1st quarter, 6:32.0 remaining<br>Bub Carrington made 2-pointer from 20 ft<br>Washington now trails 6-10"
top:278px;left:353px;,"1st quarter, 6:06.0 remaining<br>Bilal Coulibaly missed 3-pointer from 27 ft<br>Washington trails 6-13"
top:44px;left:231px;,"1st quarter, 5:24.0 remaining<br>Sharife Cooper made 2-pointer from 2 ft<br>Washington now trails 8-15"
top:85px;left:303px;,"1st quarter, 5:03.0 remaining<br>Bilal Coulibaly missed 2-pointer from 8 ft<br>Washington trails 8-15"
top:183px;left:241px;,"1st quarter, 4:21.0 remaining<br>Sharife Cooper missed 2-pointer from 15 ft<br>Washington trails 8-15"
top:179px;left:238px;,"1st quarter, 3:52.0 remaining<br>Julian Reese missed 2-pointer from 15 ft<br>Washington trails 8-17"
top:98px;left:390px;,"1st quarter, 3:24.0 remaining<br>Will Riley missed 2-pointer from 16 ft<br>Washington trails 8-17"
top:50px;left:207px;,"1st quarter, 2:47.0 remaining<br>Will Riley missed 2-pointer from 4 ft<br>Washington trails 8-19"
top:39px;left:220px;,"1st quarter, 2:19.0 remaining<br>Justin Champagnie missed 2-pointer from 2 ft<br>Washington trails 8-19"
top:68px;left:64px;,"1st quarter, 2:05.0 remaining<br>Sharife Cooper made 2-pointer from 18 ft<br>Washington now trails 10-19"
top:69px;left:12px;,"1st quarter, 1:34.0 remaining<br>Jamir Watkins missed 3-pointer from 23 ft<br>Washington trails 10-21"
top:45px;left:225px;,"1st quarter, 0:21.0 remaining<br>Anthony Gill made 2-pointer from 2 ft<br>Washington now trails 12-23"
top:326px;left:372px;,"1st quarter, 0:01.0 remaining<br>Will Riley made 3-pointer from 32 ft<br>Washington now trails 15-24"
top:253px;left:103px;,"2nd quarter, 11:45.0 remaining<br>Anthony Gill missed 3-pointer from 26 ft<br>Washington trails 16-24"
top:52px;left:12px;,"2nd quarter, 11:13.0 remaining<br>Justin Champagnie missed 3-pointer from 23 ft<br>Washington trails 16-24"
top:42px;left:249px;,"2nd quarter, 10:35.0 remaining<br>Jamir Watkins made 2-pointer from 1 ft<br>Washington now trails 18-24"
top:74px;left:235px;,"2nd quarter, 9:54.0 remaining<br>Anthony Gill made 2-pointer from 4 ft<br>Washington now trails 20-24"
top:223px;left:346px;,"2nd quarter, 9:25.0 remaining<br>Will Riley missed 2-pointer from 22 ft<br>Washington trails 20-24"
top:164px;left:215px;,"2nd quarter, 9:20.0 remaining<br>Leaky Black made 2-pointer from 14 ft<br>Washington now trails 22-24"
top:85px;left:304px;,"2nd quarter, 8:30.0 remaining<br>Will Riley made 2-pointer from 8 ft<br>Washington now trails 24-26"
top:54px;left:237px;,"2nd quarter, 7:54.0 remaining<br>Anthony Gill made 2-pointer from 2 ft<br>Washington now trails 26-28"
top:168px;left:149px;,"2nd quarter, 7:04.0 remaining<br>Bub Carrington missed 2-pointer from 16 ft<br>Washington trails 28-31"
top:50px;left:220px;,"2nd quarter, 7:01.0 remaining<br>Julian Reese made 2-pointer from 3 ft<br>Washington now trails 30-31"
top:73px;left:385px;,"2nd quarter, 6:30.0 remaining<br>Bilal Coulibaly missed 2-pointer from 15 ft<br>Washington trails 30-34"
top:251px;left:416px;,"2nd quarter, 6:04.0 remaining<br>Bub Carrington made 3-pointer from 28 ft<br>Washington now tied 34-34"
top:48px;left:470px;,"2nd quarter, 5:25.0 remaining<br>Bilal Coulibaly missed 3-pointer from 23 ft<br>Washington trails 34-37"
top:41px;left:223px;,"2nd quarter, 4:58.0 remaining<br>Julian Reese made 2-pointer from 2 ft<br>Washington now trails 36-39"
top:218px;left:69px;,"2nd quarter, 4:43.0 remaining<br>Tristan Vukcevic made 3-pointer from 25 ft<br>Washington now tied 39-39"
top:190px;left:333px;,"2nd quarter, 3:44.0 remaining<br>Bub Carrington made 2-pointer from 18 ft<br>Washington now trails 43-44"
top:44px;left:269px;,"2nd quarter, 3:08.0 remaining<br>Bub Carrington missed 2-pointer from 3 ft<br>Washington trails 43-48"
top:188px;left:222px;,"2nd quarter, 2:57.0 remaining<br>Leaky Black missed 2-pointer from 16 ft<br>Washington trails 43-48"
top:251px;left:115px;,"2nd quarter, 2:29.0 remaining<br>Bilal Coulibaly missed 3-pointer from 25 ft<br>Washington trails 43-51"
top:88px;left:298px;,"2nd quarter, 1:12.0 remaining<br>Bilal Coulibaly missed 2-pointer from 8 ft<br>Washington trails 45-53"
top:31px;left:240px;,"2nd quarter, 1:10.0 remaining<br>Bilal Coulibaly made 2-pointer from 0 ft<br>Washington now trails 47-53"
top:134px;left:52px;,"2nd quarter, 0:30.0 remaining<br>Leaky Black missed 2-pointer from 21 ft<br>Washington trails 47-55"
top:288px;left:244px;,"2nd quarter, 0:00.0 remaining<br>Bub Carrington missed 3-pointer from 26 ft<br>Washington trails 47-58"
top:205px;left:206px;,"3rd quarter, 11:42.0 remaining<br>Julian Reese missed 2-pointer from 18 ft<br>Washington trails 47-58"
top:131px;left:416px;,"3rd quarter, 11:15.0 remaining<br>Tristan Vukcevic missed 2-pointer from 20 ft<br>Washington trails 47-58"
top:175px;left:156px;,"3rd quarter, 11:00.0 remaining<br>Julian Reese missed 2-pointer from 17 ft<br>Washington trails 47-58"
top:260px;left:323px;,"3rd quarter, 10:49.0 remaining<br>Tristan Vukcevic made 3-pointer from 24 ft<br>Washington now trails 50-58"
